#name: S.typhimurium - Whole organism (Integrated)
#score: 11.79
#weight: 
#description: integrated dataset: weighted average of all S.typhimurium WHOLE_ORGANISM datasets<br/><b>Interaction consistency score</b>: 11.79&nbsp<b>Coverage</b>: 59
#organ: WHOLE_ORGANISM
#integrated : true
#coverage: 59
#publication_year: 2015
#filename: 99287-WHOLE_ORGANISM-integrated.txt
#
#internal_id	string_external_id	abundance
3093055	99287.STM0759	4361
3094748	99287.STM2508	12.5
3094744	99287.STM2502	19.0
3094742	99287.STM2500	9.79
3094743	99287.STM2501	51.7
3093299	99287.STM1008.S	5.72
3093244	99287.STM0952	3.06
3093070	99287.STM0775	44.5
3093069	99287.STM0774	194
3093068	99287.STM0773	95.1
3093067	99287.STM0772	3265
3096078	99287.STM3879	27.1
3096307	99287.STM4129	22.8
3095417	99287.STM3200	191
3095418	99287.STM3201	6.99
3095885	99287.STM3683	17.5
3093074	99287.STM0779	147
3096302	99287.STM4123	57.8
3096615	99287.STM4460	111
3095882	99287.STM3680	1849
3093380	99287.STM1088	5.87
3093376	99287.STM1083	17.7
3093373	99287.STM1080	52.8
3093379	99287.STM1087	1.38
3093377	99287.STM1084	11.7
3093990	99287.STM1718	42.2
3093991	99287.STM1719	56.9
3093533	99287.STM1249	286
3093984	99287.STM1712	575
3093985	99287.STM1713	72.2
3093532	99287.STM1246	2408
3093983	99287.STM1711	134
3093988	99287.STM1716	145
3093989	99287.STM1717	261
3093986	99287.STM1714	102
3093987	99287.STM1715	317
3096224	99287.STM4044	46.2
3094148	99287.STM1882	19.8
3094149	99287.STM1883	28.3
3094146	99287.STM1880	47.8
3094147	99287.STM1881	852
3094152	99287.STM1886	203
3094153	99287.STM1887	29.3
3094150	99287.STM1884	609
3094151	99287.STM1885	0.563
3094154	99287.STM1888	568
3094155	99287.STM1889	27.4
3096161	99287.STM3976.S	14.8
3092762	99287.STM0449	435
3092761	99287.STM0448	314
3096236	99287.STM4056.S	31.4
3092758	99287.STM0445	541
3092760	99287.STM0447	2440
3092759	99287.STM0446	64.0
3094014	99287.STM1743	94.9
3092756	99287.STM0443	454
3092755	99287.STM0442	188
3096280	99287.STM4100	41.6
3093689	99287.STM1407	32.1
3096283	99287.STM4103	0.471
3093684	99287.STM1402	13.9
3096285	99287.STM4105	6.63
3093682	99287.STM1400	104
3093683	99287.STM1401	99.5
3096288	99287.STM4108	166
3096289	99287.STM4109	224
3095260	99287.STM3041c	150
3093690	99287.STM1408	452
3093691	99287.STM1409	26.2
3095178	99287.STM2955.S	9.19
3096492	99287.STM4329	5309
3096485	99287.STM4322	55.4
3096488	99287.STM4325	64.8
3096489	99287.STM4326	1572
3096490	99287.STM4327	13.2
3096001	99287.STM3800	3.53
3096003	99287.STM3802	70.8
3096004	99287.STM3803	3.25
3096006	99287.STM3805	1.54
3096007	99287.STM3807	1.96
3093934	99287.STM1661	708
3093937	99287.STM1664	16.3
3093938	99287.STM1665	6.58
3092378	99287.STM0049	30.1
3092377	99287.STM0048	66.5
3093359	99287.STM1066	103
3093360	99287.STM1067	449
3093353	99287.STM1060	17.9
3093354	99287.STM1061	40.7
3093355	99287.STM1062	59.6
3092370	99287.STM0041	1.75
3092369	99287.STM0040	22.6
3092372	99287.STM0043	7516
3096216	99287.STM4037	19.8
3092374	99287.STM0045	30.9
3093362	99287.STM1069	95.7
3092375	99287.STM0046	248
3096418	99287.STM4254	53.2
3096420	99287.STM4256	623
3096421	99287.STM4257	6.36
3096414	99287.STM4250	32.7
3096415	99287.STM4251	53.8
3096422	99287.STM4258	165
3096423	99287.STM4259	206
3092569	99287.STM0244	61.7
3092934	99287.STM0626	3.78
3092929	99287.STM0621	1.27
3092930	99287.STM0622	11.8
3096121	99287.STM3935	293
3096122	99287.STM3936	421
3096123	99287.STM3937	18.0
3092937	99287.STM0629	3161
3092936	99287.STM0628	79.2
3092796	99287.STM0483	242
3093121	99287.STM0829	5.07
3093120	99287.STM0828	187
3093116	99287.STM0823	31.4
3095213	99287.STM2994	3.84
3093113	99287.STM0820	22.9
3095210	99287.STM2991	15.9
