#name: M.musculus - Brain (Integrated)
#score: 8.22
#weight: 
#description: integrated dataset: weighted average of all M.musculus BRAIN datasets<br/><b>Interaction consistency score</b>: 8.22&nbsp<b>Coverage</b>: 44
#organ: BRAIN
#integrated : true
#coverage: 44
#publication_year: 2015
#filename: 10090-BRAIN-integrated.txt
#
#internal_id	string_external_id	abundance
2109159	10090.ENSMUSP00000095303	0.074
2109158	10090.ENSMUSP00000095300	0.825
2093102	10090.ENSMUSP00000000365	18.6
2095514	10090.ENSMUSP00000022507	186
2108131	10090.ENSMUSP00000088285	177
2108132	10090.ENSMUSP00000088287	145
2108130	10090.ENSMUSP00000088281	177
2099687	10090.ENSMUSP00000036845	0.301
2105538	10090.ENSMUSP00000071623	0.084
2099689	10090.ENSMUSP00000036849	1.94
2105540	10090.ENSMUSP00000071627	0.028
2096002	10090.ENSMUSP00000024026	0.157
2104391	10090.ENSMUSP00000063474	0.098
2108133	10090.ENSMUSP00000088288	559
2106651	10090.ENSMUSP00000077687	271
2095834	10090.ENSMUSP00000023455	0.128
2095833	10090.ENSMUSP00000023453	19.1
2098258	10090.ENSMUSP00000031640	0.035
2107668	10090.ENSMUSP00000084427	0.243
2098145	10090.ENSMUSP00000031314	2786
2098699	10090.ENSMUSP00000033159	1.11
2098259	10090.ENSMUSP00000031646	0.112
2114573	10090.ENSMUSP00000135058	0.163
2104808	10090.ENSMUSP00000066536	0.014
2113905	10090.ENSMUSP00000129895	0.026
2103442	10090.ENSMUSP00000057725	0.138
2105783	10090.ENSMUSP00000072829	523
2113417	10090.ENSMUSP00000127148	0.012
2110830	10090.ENSMUSP00000102078	973
2101440	10090.ENSMUSP00000046302	0.299
2105782	10090.ENSMUSP00000072826	0.032
2104354	10090.ENSMUSP00000063217	6.35
2110673	10090.ENSMUSP00000101004	64.1
2110672	10090.ENSMUSP00000101002	123
2100713	10090.ENSMUSP00000042224	1.17
2112802	10090.ENSMUSP00000120115	317
2105231	10090.ENSMUSP00000069692	22.7
2098697	10090.ENSMUSP00000033157	21.3
2112385	10090.ENSMUSP00000113400	1.65
2112386	10090.ENSMUSP00000113401	15.9
2108374	10090.ENSMUSP00000090374	0.783
2108141	10090.ENSMUSP00000088334	0.082
2108373	10090.ENSMUSP00000090373	0.783
2108332	10090.ENSMUSP00000090086	8.79
2113093	10090.ENSMUSP00000124947	0.731
2113451	10090.ENSMUSP00000127368	0.366
2096445	10090.ENSMUSP00000025885	8.71
2114350	10090.ENSMUSP00000132725	11.4
2110808	10090.ENSMUSP00000101914	0.028
2110807	10090.ENSMUSP00000101913	0.036
2104999	10090.ENSMUSP00000067953	0.042
2104981	10090.ENSMUSP00000067774	4.53
2093226	10090.ENSMUSP00000001365	56.3
2105880	10090.ENSMUSP00000073371	0.534
2105185	10090.ENSMUSP00000069350	138
2108429	10090.ENSMUSP00000090886	0.104
2096187	10090.ENSMUSP00000025083	63.4
2105323	10090.ENSMUSP00000070280	2.68
2098837	10090.ENSMUSP00000033643	0.8
2098836	10090.ENSMUSP00000033642	1.93
2098835	10090.ENSMUSP00000033640	92.8
2111207	10090.ENSMUSP00000104725	6.23
2101024	10090.ENSMUSP00000044049	0.196
2101023	10090.ENSMUSP00000044048	0.222
2100995	10090.ENSMUSP00000043903	0.013
2099008	10090.ENSMUSP00000034147	0.257
2099007	10090.ENSMUSP00000034146	0.063
2097780	10090.ENSMUSP00000030192	13.0
2099005	10090.ENSMUSP00000034140	2.49
2097779	10090.ENSMUSP00000030191	0.151
2100227	10090.ENSMUSP00000039648	0.053
2094769	10090.ENSMUSP00000020107	218
2094766	10090.ENSMUSP00000020102	0.084
2107036	10090.ENSMUSP00000079752	0.006
2093204	10090.ENSMUSP00000001181	0.287
2098331	10090.ENSMUSP00000031866	343
2093207	10090.ENSMUSP00000001185	0.033
2093209	10090.ENSMUSP00000001187	49.1
2098329	10090.ENSMUSP00000031862	248
2093754	10090.ENSMUSP00000005953	0.49
2115433	10090.ENSMUSP00000137299	2.43
2108773	10090.ENSMUSP00000092836	0.012
2103100	10090.ENSMUSP00000055619	1.04
2093755	10090.ENSMUSP00000005954	0.615
2093313	10090.ENSMUSP00000001989	1125
