#id: 251
#name: M.musculus - Cell line (Integrated)
#score: 3.29
#weight: 
#description: integrated dataset: weighted average of all M.musculus CELL_LINE datasets<br/><b>Interaction consistency score</b>: 3.29&nbsp<b>Coverage</b>: 42
#organ: CELL_LINE
#integrated : true
#coverage: 42
#publication_year: 2017
#filename: 10090-CELL_LINE-integrated.txt
#
#internal_id	string_external_id	abundance
2098640	10090.ENSMUSP00000032992	244
2099276	10090.ENSMUSP00000034868	4.07
2100708	10090.ENSMUSP00000042204	59.6
2112349	10090.ENSMUSP00000113213	9401
2110191	10090.ENSMUSP00000099428	2.4
2104850	10090.ENSMUSP00000066797	52.3
2104907	10090.ENSMUSP00000067164	57.0
2114628	10090.ENSMUSP00000135902	4.83
2099636	10090.ENSMUSP00000036580	3.04
2094881	10090.ENSMUSP00000020490	179
2096331	10090.ENSMUSP00000025561	347
2099758	10090.ENSMUSP00000037173	3.49
2113087	10090.ENSMUSP00000124881	1.74
2112824	10090.ENSMUSP00000120516	8.07
2101059	10090.ENSMUSP00000044250	3.71
2098674	10090.ENSMUSP00000033086	14.9
2102309	10090.ENSMUSP00000050996	3.45
2101522	10090.ENSMUSP00000046759	47.2
2098986	10090.ENSMUSP00000034079	54.5
2101903	10090.ENSMUSP00000048696	126
2099964	10090.ENSMUSP00000038321	1.62
2101241	10090.ENSMUSP00000045222	1.91
2099143	10090.ENSMUSP00000034492	1.46
2101354	10090.ENSMUSP00000045807	15.5
2093933	10090.ENSMUSP00000007977	119
2095690	10090.ENSMUSP00000022993	3.7
2110022	10090.ENSMUSP00000098558	8.98
2104049	10090.ENSMUSP00000061470	1.18
2094391	10090.ENSMUSP00000016897	1.23
2095737	10090.ENSMUSP00000023129	97.1
2096081	10090.ENSMUSP00000024766	5.34
2094278	10090.ENSMUSP00000015501	113
2094981	10090.ENSMUSP00000020822	70.9
2108407	10090.ENSMUSP00000090727	60.1
2097372	10090.ENSMUSP00000028977	23.6
2108856	10090.ENSMUSP00000093325	0.873
2105821	10090.ENSMUSP00000073038	0.102
2112537	10090.ENSMUSP00000115044	220
2105837	10090.ENSMUSP00000073124	15.8
2099607	10090.ENSMUSP00000036361	10.9
2112212	10090.ENSMUSP00000112174	1.16
2093056	10090.ENSMUSP00000000095	2.5
2112962	10090.ENSMUSP00000123374	125
2106396	10090.ENSMUSP00000076217	129
2110437	10090.ENSMUSP00000099962	867
2107426	10090.ENSMUSP00000082270	2.27
2104965	10090.ENSMUSP00000067681	257
2094245	10090.ENSMUSP00000015100	247
2113561	10090.ENSMUSP00000128000	1.77
2097108	10090.ENSMUSP00000028118	4.4
2093089	10090.ENSMUSP00000000305	141
2094388	10090.ENSMUSP00000016703	99.5
2095060	10090.ENSMUSP00000021062	123
2105323	10090.ENSMUSP00000070280	4.81
2099601	10090.ENSMUSP00000036330	2.2
2114969	10090.ENSMUSP00000136486	0.968
2102449	10090.ENSMUSP00000051907	3.55
2110433	10090.ENSMUSP00000099955	2.7
2097314	10090.ENSMUSP00000028829	11.6
2112240	10090.ENSMUSP00000112466	17.0
2102104	10090.ENSMUSP00000049823	5.17
2108540	10090.ENSMUSP00000091595	5.44
2101926	10090.ENSMUSP00000048809	1.03
2097210	10090.ENSMUSP00000028430	4.15
2096715	10090.ENSMUSP00000026823	2.03
2096884	10090.ENSMUSP00000027393	1.16
2107527	10090.ENSMUSP00000083205	2.52
2103143	10090.ENSMUSP00000055886	0.425
2101247	10090.ENSMUSP00000045252	2.53
2112693	10090.ENSMUSP00000118097	0.041
2096233	10090.ENSMUSP00000025250	166
2106583	10090.ENSMUSP00000077350	5.41
2096139	10090.ENSMUSP00000024946	227
2101588	10090.ENSMUSP00000047126	1.28
2102756	10090.ENSMUSP00000053665	0.638
2107626	10090.ENSMUSP00000084043	4.91
2099540	10090.ENSMUSP00000036021	383
2102503	10090.ENSMUSP00000052170	5.88
2104546	10090.ENSMUSP00000064608	2.21
2101195	10090.ENSMUSP00000045005	1.54
2097555	10090.ENSMUSP00000029548	2.98
2095529	10090.ENSMUSP00000022543	7.03
2094884	10090.ENSMUSP00000020499	6.21
2107835	10090.ENSMUSP00000085867	11.7
2109607	10090.ENSMUSP00000097048	4.32
2100168	10090.ENSMUSP00000039335	157
2101114	10090.ENSMUSP00000044548	1346
2102200	10090.ENSMUSP00000050398	1.15
2096269	10090.ENSMUSP00000025375	47.2
2110819	10090.ENSMUSP00000102015	76.0
2099141	10090.ENSMUSP00000034487	1.89
2098501	10090.ENSMUSP00000032476	260
2109345	10090.ENSMUSP00000095977	1.65
2096659	10090.ENSMUSP00000026565	14.3
2104798	10090.ENSMUSP00000066488	2.12
2108623	10090.ENSMUSP00000092087	0.426
2097430	10090.ENSMUSP00000029141	16.0
2098860	10090.ENSMUSP00000033727	2.04
2111516	10090.ENSMUSP00000106906	1.83
2096327	10090.ENSMUSP00000025542	102
2107087	10090.ENSMUSP00000080081	13.0
2094926	10090.ENSMUSP00000020628	2.09
2110311	10090.ENSMUSP00000099688	98.1
2102509	10090.ENSMUSP00000052185	7.81
2098778	10090.ENSMUSP00000033483	41.9
2097549	10090.ENSMUSP00000029540	0.528
2112671	10090.ENSMUSP00000117572	11.8
2112179	10090.ENSMUSP00000111639	12.0
2111730	10090.ENSMUSP00000108617	2.63
2095878	10090.ENSMUSP00000023580	1.46
2095789	10090.ENSMUSP00000023289	49.0
