#id: 74
#name: M.musculus - Lung (Integrated)
#score: 10.85
#weight: 
#description: integrated dataset: weighted average of all M.musculus LUNG datasets<br/><b>Interaction consistency score</b>: 10.85&nbsp<b>Coverage</b>: 38
#organ: LUNG
#integrated : true
#coverage: 38
#publication_year: 2017
#filename: 10090-LUNG-integrated.txt
#
#internal_id	string_external_id	abundance
2098640	10090.ENSMUSP00000032992	117
2101586	10090.ENSMUSP00000047119	0
2111522	10090.ENSMUSP00000106964	1.83
2112349	10090.ENSMUSP00000113213	924
2110242	10090.ENSMUSP00000099544	3.08
2104850	10090.ENSMUSP00000066797	0
2104907	10090.ENSMUSP00000067164	20.0
2114628	10090.ENSMUSP00000135902	0.056
2094881	10090.ENSMUSP00000020490	42.2
2106883	10090.ENSMUSP00000078847	0.951
2099758	10090.ENSMUSP00000037173	0
2112824	10090.ENSMUSP00000120516	0.506
2110667	10090.ENSMUSP00000100964	21.9
2106508	10090.ENSMUSP00000076899	0.125
2098952	10090.ENSMUSP00000033995	64.4
2101522	10090.ENSMUSP00000046759	2.45
2094549	10090.ENSMUSP00000018699	0
2101903	10090.ENSMUSP00000048696	7.65
2107835	10090.ENSMUSP00000085867	2.25
2094668	10090.ENSMUSP00000019615	115
2101354	10090.ENSMUSP00000045807	0
2098446	10090.ENSMUSP00000032321	0.35
2101947	10090.ENSMUSP00000048900	0
2093933	10090.ENSMUSP00000007977	23.8
2104503	10090.ENSMUSP00000064308	0
2097454	10090.ENSMUSP00000029240	0
2098724	10090.ENSMUSP00000033255	0
2104049	10090.ENSMUSP00000061470	45.8
2093943	10090.ENSMUSP00000008052	12.8
2108837	10090.ENSMUSP00000093197	114
2096042	10090.ENSMUSP00000024596	0
2106912	10090.ENSMUSP00000079025	0
2094981	10090.ENSMUSP00000020822	0.109
2108407	10090.ENSMUSP00000090727	9.91
2097372	10090.ENSMUSP00000028977	132
2097831	10090.ENSMUSP00000030367	0.065
2108856	10090.ENSMUSP00000093325	0.78
2112537	10090.ENSMUSP00000115044	29.7
2105837	10090.ENSMUSP00000073124	1575
2115260	10090.ENSMUSP00000137004	3.92
2112212	10090.ENSMUSP00000112174	3.25
2098475	10090.ENSMUSP00000032402	0
2094254	10090.ENSMUSP00000015234	0
2107117	10090.ENSMUSP00000080256	0.03
2106396	10090.ENSMUSP00000076217	0
2110437	10090.ENSMUSP00000099962	272
2104965	10090.ENSMUSP00000067681	0.249
2094245	10090.ENSMUSP00000015100	69.0
2113561	10090.ENSMUSP00000128000	38.9
2104564	10090.ENSMUSP00000064694	0
2093089	10090.ENSMUSP00000000305	0.76
2094388	10090.ENSMUSP00000016703	613
2095060	10090.ENSMUSP00000021062	462
2101524	10090.ENSMUSP00000046766	14.2
2094876	10090.ENSMUSP00000020463	50.0
2114573	10090.ENSMUSP00000135058	2.39
2102192	10090.ENSMUSP00000050336	183
2095013	10090.ENSMUSP00000020947	16.0
2100075	10090.ENSMUSP00000038839	189
2101247	10090.ENSMUSP00000045252	0.086
2112531	10090.ENSMUSP00000114931	0
2096233	10090.ENSMUSP00000025250	158
2106583	10090.ENSMUSP00000077350	1.2
2096139	10090.ENSMUSP00000024946	448
2101588	10090.ENSMUSP00000047126	1.2
2106381	10090.ENSMUSP00000076155	0
2098986	10090.ENSMUSP00000034079	0.371
2099540	10090.ENSMUSP00000036021	2.51
2102503	10090.ENSMUSP00000052170	0
2108961	10090.ENSMUSP00000093939	0.2
2110958	10090.ENSMUSP00000103108	0.349
2099856	10090.ENSMUSP00000037665	0
2095529	10090.ENSMUSP00000022543	0.475
2100168	10090.ENSMUSP00000039335	1.47
