#id: 328
#name: M.musculus - Female gonad,  Protein Intensity (Geiger,MCP,2013)
#score: 4.65
#weight: 100%
#description: abundance based on MAPPED_BY_AUTHORS,  Protein_Intensity, from<a href="http://www.mcponline.org/cgi/doi/10.1074/mcp.M112.024919" target="_blank">Geiger,MCP,2013</a><br/><b>Interaction consistency score</b>: 4.65&nbsp<b>Coverage</b>: 33
#organ: FEMALE_GONAD
#integrated: false
#coverage: 33
#publication_year: 2013
#filename: 10090-Ovary_geiger_2013.txt
#
#internal_id	string_external_id	abundance
2098640	10090.ENSMUSP00000032992	256
2104907	10090.ENSMUSP00000067164	0
2111522	10090.ENSMUSP00000106964	1.35
2112349	10090.ENSMUSP00000113213	1292
2110242	10090.ENSMUSP00000099544	45.6
2104850	10090.ENSMUSP00000066797	0
2094881	10090.ENSMUSP00000020490	109
2106883	10090.ENSMUSP00000078847	0.861
2112824	10090.ENSMUSP00000120516	9.97
2110667	10090.ENSMUSP00000100964	1.58
2106508	10090.ENSMUSP00000076899	0
2098952	10090.ENSMUSP00000033995	0
2105211	10090.ENSMUSP00000069554	141
2094549	10090.ENSMUSP00000018699	0
2107835	10090.ENSMUSP00000085867	175
2112658	10090.ENSMUSP00000117299	1.82
2101947	10090.ENSMUSP00000048900	0
2093933	10090.ENSMUSP00000007977	0
2104503	10090.ENSMUSP00000064308	56.5
2097454	10090.ENSMUSP00000029240	0
2098724	10090.ENSMUSP00000033255	0
2104049	10090.ENSMUSP00000061470	0
2093943	10090.ENSMUSP00000008052	77.4
2108837	10090.ENSMUSP00000093197	20.7
2096042	10090.ENSMUSP00000024596	0
2095738	10090.ENSMUSP00000023132	0
2098813	10090.ENSMUSP00000033560	0
2108407	10090.ENSMUSP00000090727	6.48
2097372	10090.ENSMUSP00000028977	13.4
2097831	10090.ENSMUSP00000030367	0
2108856	10090.ENSMUSP00000093325	54.1
2112537	10090.ENSMUSP00000115044	220
2105837	10090.ENSMUSP00000073124	1336
2115260	10090.ENSMUSP00000137004	0
2112212	10090.ENSMUSP00000112174	13.3
2098475	10090.ENSMUSP00000032402	163
2094254	10090.ENSMUSP00000015234	0
2107117	10090.ENSMUSP00000080256	0
2106396	10090.ENSMUSP00000076217	0
2110437	10090.ENSMUSP00000099962	3.08
2094245	10090.ENSMUSP00000015100	102
