#id: 228
#name: M.musculus - Pancreas, MaxQuant intensity (F.Waanders,PNAS,2009)
#score: 8.08
#weight: 100%
#description: abundance based on MaxQuant intensity, from<a href="http://www.sciencedirect.com/science/article/pii/S0092867408006958" target="_blank">F. Waanders, PNAS,2009</a><br/><b>Interaction consistency score</b>: 8.08&nbsp<b>Coverage</b>: 9
#organ: PANCREAS
#integrated: false
#coverage: 9
#publication_year: 2009
#filename: 10090-mouse_pancreas_F.Waanders2009_PNAs_combine.txt
#
#internal_id	string_external_id	abundance
2107174	10090.ENSMUSP00000080568	0.068
2098640	10090.ENSMUSP00000032992	3.45
2103823	10090.ENSMUSP00000059839	3.78
2096110	10090.ENSMUSP00000024857	32.0
2096416	10090.ENSMUSP00000025804	1759
2094881	10090.ENSMUSP00000020490	19.1
2106883	10090.ENSMUSP00000078847	8005
2098953	10090.ENSMUSP00000033999	10.5
2101524	10090.ENSMUSP00000046766	11.5
2095013	10090.ENSMUSP00000020947	8.66
2107252	10090.ENSMUSP00000080995	355
2098986	10090.ENSMUSP00000034079	9.95
2101903	10090.ENSMUSP00000048696	87.9
2105342	10090.ENSMUSP00000070413	52.4
2102899	10090.ENSMUSP00000054428	15.1
2094338	10090.ENSMUSP00000016087	110
2096902	10090.ENSMUSP00000027446	32.7
2095787	10090.ENSMUSP00000023283	49.6
2104475	10090.ENSMUSP00000064120	7.92
2095690	10090.ENSMUSP00000022993	47.7
2110248	10090.ENSMUSP00000099558	4.25
2112247	10090.ENSMUSP00000112508	4.49
2107752	10090.ENSMUSP00000085192	0.665
2094981	10090.ENSMUSP00000020822	0.184
2109665	10090.ENSMUSP00000097254	9.68
2097372	10090.ENSMUSP00000028977	1.23
2099086	10090.ENSMUSP00000034359	26.8
2093104	10090.ENSMUSP00000000384	8.27
2101025	10090.ENSMUSP00000044050	51.2
2098253	10090.ENSMUSP00000031627	286
2103214	10090.ENSMUSP00000056282	0.364
2096003	10090.ENSMUSP00000024031	168
2098904	10090.ENSMUSP00000033866	97.8
2093429	10090.ENSMUSP00000002881	41.9
2100431	10090.ENSMUSP00000040779	11.7
2112640	10090.ENSMUSP00000117025	5.74
2094245	10090.ENSMUSP00000015100	506
2113561	10090.ENSMUSP00000128000	138
2093089	10090.ENSMUSP00000000305	71.9
2101205	10090.ENSMUSP00000045043	3.79
2101237	10090.ENSMUSP00000045216	3.81
2095728	10090.ENSMUSP00000023104	7.82
2101403	10090.ENSMUSP00000046101	33970
