#id: 360
#name: S.pyogenes M1GAS - Whole organism, SC (PeptideAtlas,Feb,2007)
#score: 8.7
#weight: 10%
#description: abundance based on Spectral counting, from<a href="http://www.peptideatlas.org/builds/" target="_blank">PeptideAtlas,Feb,2007</a><br/><b>Interaction consistency score</b>: 8.7&nbsp<b>Coverage</b>: 57
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 57
#publication_year: 2007
#filename: 160490-PA_200702.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
3334497	160490.SPy_0078	3431	81
3334520	160490.SPy_0112	39.6	3
3335983	160490.SPy_2016	20.4	1
3334481	160490.SPy_0060	855	5
3336119	160490.SPy_2201	38.1	5
3334860	160490.SPy_0588	604	13
3335256	160490.SPy_1082	25.1	3
3335359	160490.SPy_1209	16.7	1
3335444	160490.SPy_1309	72.1	6
3335446	160490.SPy_1311	9.95	1
3335933	160490.SPy_1946	578	80
3335092	160490.SPy_0881	92.2	11
3335606	160490.SPy_1520	3156	276
3335730	160490.SPy_1683	15.8	2
3334850	160490.SPy_0575	83.7	5
3335302	160490.SPy_1139	157	4
3334721	160490.SPy_0392	2828	133
3335853	160490.SPy_1842	228	13
3334662	160490.SPy_0309	72.6	7
3334479	160490.SPy_0057	6461	119
3335474	160490.SPy_1355	113	6
3335882	160490.SPy_1878	709	20
3335462	160490.SPy_1337	62.4	3
3334981	160490.SPy_0744	51.8	5
3335687	160490.SPy_1625	419	56
3335134	160490.SPy_0928	66.3	4
3334547	160490.SPy_0151	8.34	1
3334977	160490.SPy_0740	145	9
3335380	160490.SPy_1232	12.4	1
3334827	160490.SPy_0542	17.0	2
3335052	160490.SPy_0830	652	30
3334878	160490.SPy_0613	12206	525
3335303	160490.SPy_1140	125	4
3335007	160490.SPy_0776	26.2	11
3334578	160490.SPy_0187	60.3	3
3335841	160490.SPy_1829	3998	37
3334552	160490.SPy_0159	140	6
3334642	160490.SPy_0278	21.8	3
3336120	160490.SPy_2202	45.3	7
3335081	160490.SPy_0867	37.9	7
3336037	160490.SPy_2096	9.33	2
3334674	160490.SPy_0326	90.5	7
3334467	160490.SPy_0040	61.4	2
3335810	160490.SPy_1784	14.9	1
3336107	160490.SPy_2188	104	13
3335450	160490.SPy_1316	1403	68
3335343	160490.SPy_1188	28.5	3
3334681	160490.SPy_0338	31.8	1
3335535	160490.SPy_1440	161	4
3336122	160490.SPy_2204	12.6	1
3335308	160490.SPy_1145	75.8	9
3335213	160490.SPy_1029	1002	112
3335861	160490.SPy_1854	973	26
3335289	160490.SPy_1123	534	44
3334630	160490.SPy_0264	31.6	2
3335233	160490.SPy_1055	38.6	2
3335015	160490.SPy_0784	343	38
3334756	160490.SPy_0447	193	10
3334822	160490.SPy_0536	10.4	1
3335872	160490.SPy_1868	52.0	4
3334655	160490.SPy_0297	107	8
3334567	160490.SPy_0176	16.6	1
3334866	160490.SPy_0596	38.3	2
3334475	160490.SPy_0052	5373	263
3334476	160490.SPy_0053	2628	62
3335688	160490.SPy_1626	1087	70
3335957	160490.SPy_1981	56.8	11
3335645	160490.SPy_1567	5.44	1
3335599	160490.SPy_1511	218	6
3334650	160490.SPy_0290	16.5	2
3335319	160490.SPy_1157	5455	135
3336001	160490.SPy_2045	795	19
3335784	160490.SPy_1749	1714	75
3334911	160490.SPy_0657	77.5	5
3334608	160490.SPy_0237	20.0	1
3334974	160490.SPy_0737	14.2	5
3335592	160490.SPy_1503	415	62
3335384	160490.SPy_1237	37.0	2
3335101	160490.SPy_0890	1243	107
3334581	160490.SPy_0190	145	7
3335674	160490.SPy_1606	72.1	9
3334640	160490.SPy_0276	70.0	4
3334646	160490.SPy_0285	95.5	10
3335202	160490.SPy_1013	5.93	1
3335840	160490.SPy_1828	602	15
3335994	160490.SPy_2034	374	9
3335604	160490.SPy_1518	847	21
3335493	160490.SPy_1375	81.2	15
3335948	160490.SPy_1965	81.9	6
3335828	160490.SPy_1811	23.1	2
3335602	160490.SPy_1515	7.85	1
3334669	160490.SPy_0319	192	9
3334565	160490.SPy_0174	101	5
3334704	160490.SPy_0369	282	13
3335084	160490.SPy_0873	94.2	5
3335657	160490.SPy_1582	148	7
3335528	160490.SPy_1427	226	10
3334961	160490.SPy_0717	6411	174
3334610	160490.SPy_0239	599	72
3335517	160490.SPy_1411	76.2	5
3334558	160490.SPy_0167	22.7	3
3334660	160490.SPy_0307	2863	9
3335146	160490.SPy_0942	66.8	4
3335287	160490.SPy_1121	145	3
3335318	160490.SPy_1156	321	4
3335099	160490.SPy_0888	130	26
3336095	160490.SPy_2173	155	4
3334684	160490.SPy_0341	39.5	6
3335097	160490.SPy_0886	139	10
3335029	160490.SPy_0801	1173	2
3335248	160490.SPy_1070	1670	137
3334498	160490.SPy_0080	3092	202
3335459	160490.SPy_1333	314	31
3335834	160490.SPy_1820	301	13
3335365	160490.SPy_1215	53.4	4
3334699	160490.SPy_0363	61.4	2
3336054	160490.SPy_2119	95.4	5
3335964	160490.SPy_1989	24.2	1
3335037	160490.SPy_0809	206	11
3334677	160490.SPy_0330	488	22
3335874	160490.SPy_1870	27.2	2
3335329	160490.SPy_1171	49.2	2
3334760	160490.SPy_0454	137	8
3334472	160490.SPy_0049	8353	178
3335489	160490.SPy_1371	9811	894
3334553	160490.SPy_0160	2134	247
3335430	160490.SPy_1291	56.7	11
3335266	160490.SPy_1097	134	6
3334477	160490.SPy_0055	6944	173
3336089	160490.SPy_2164	8.33	1
3335661	160490.SPy_1588	8.17	1
3334796	160490.SPy_0505	44.0	3
3335423	160490.SPy_1284	24.3	6
3334507	160490.SPy_0098	1411	284
3335582	160490.SPy_1492	118	3
3335135	160490.SPy_0929	26.2	1
3334749	160490.SPy_0439	590	10
3336056	160490.SPy_2121	38.5	7
3335978	160490.SPy_2006	9.84	2
3334486	160490.SPy_0065	9529	231
3334970	160490.SPy_0729	36.3	1
3335912	160490.SPy_1918	202	2
3334675	160490.SPy_0327	26.5	2
3334888	160490.SPy_0629	19.6	1
3335786	160490.SPy_1751	893	49
3335890	160490.SPy_1889	10090	437
3335270	160490.SPy_1101	164	13
3335892	160490.SPy_1894	318	38
3335963	160490.SPy_1988	61.8	5
3335598	160490.SPy_1510	205	5
3334551	160490.SPy_0158	110	13
3335559	160490.SPy_1465	8.16	1
3335236	160490.SPy_1058	2585	104
3334857	160490.SPy_0584	53.7	5
3334945	160490.SPy_0697	2.72	1
3336038	160490.SPy_2097	38.2	3
3334905	160490.SPy_0651	300	38
3335990	160490.SPy_2029	62.1	6
3335033	160490.SPy_0805	3459	15
3335298	160490.SPy_1135	14.1	1
3335057	160490.SPy_0836	645	51
3335738	160490.SPy_1694	13.4	1
3335623	160490.SPy_1538	24.7	1
3335490	160490.SPy_1372	3718	389
3335721	160490.SPy_1672	73.1	6
3335503	160490.SPy_1393	201	22
3334603	160490.SPy_0229	17.6	2
3334845	160490.SPy_0569	1663	126
3335911	160490.SPy_1917	244	20
3334984	160490.SPy_0747	149	36
3335777	160490.SPy_1742	1949	205
3335030	160490.SPy_0802	290	3
3335487	160490.SPy_1369	112	12
3335903	160490.SPy_1905	12.4	1
3334658	160490.SPy_0305	19.7	1
3334993	160490.SPy_0759	235	15
3335655	160490.SPy_1580	143	4
3335613	160490.SPy_1528	89.9	2
3336011	160490.SPy_2058	232	3
3335415	160490.SPy_1274	129	8
3334525	160490.SPy_0122	199	16
3335120	160490.SPy_0913	5101	429
3334625	160490.SPy_0259	42.7	2
3334448	160490.SPy_0019	581	36
3334478	160490.SPy_0056	4223	194
3334737	160490.SPy_0422	267	51
3334964	160490.SPy_0722	49.5	2
3335749	160490.SPy_1710	79.6	3
3335926	160490.SPy_1938	268	13
3335690	160490.SPy_1628	148	18
3334653	160490.SPy_0295	247	10
3335589	160490.SPy_1499	143	3
3334858	160490.SPy_0585	11.8	1
3334680	160490.SPy_0337	11.3	1
3335925	160490.SPy_1937	36.1	1
3335708	160490.SPy_1651	1608	196
3334506	160490.SPy_0097	108	14
3335023	160490.SPy_0794	77.1	4
3335736	160490.SPy_1691	96.4	7
3335420	160490.SPy_1281	137	7
3335388	160490.SPy_1242	119	7
3335609	160490.SPy_1524	22.2	3
3336036	160490.SPy_2095	1616	216
3335011	160490.SPy_0780	1085	26
3335871	160490.SPy_1867	378	13
3334575	160490.SPy_0184	443	49
3336034	160490.SPy_2092	4961	360
3335847	160490.SPy_1835	424	15
3334505	160490.SPy_0096	1438	170
3334824	160490.SPy_0538	26.7	4
3334854	160490.SPy_0580	139	20
3335804	160490.SPy_1777	773	41
3335943	160490.SPy_1960	29.3	1
3335409	160490.SPy_1264	1129	21
3335378	160490.SPy_1228	1642	131
3335577	160490.SPy_1486	125	8
3335466	160490.SPy_1344	163	5
3334966	160490.SPy_0724	6535	145
3335376	160490.SPy_1226	152	6
3335019	160490.SPy_0790	153	20
3334484	160490.SPy_0063	6467	305
3335825	160490.SPy_1805	999	175
3335733	160490.SPy_1687	2830	27
3335668	160490.SPy_1599	9.37	1
3335486	160490.SPy_1368	275	19
3335371	160490.SPy_1221	86.9	5
3335241	160490.SPy_1063	6.65	1
3334881	160490.SPy_0617	185	18
3334673	160490.SPy_0324	526	16
3335035	160490.SPy_0807	145	26
3335391	160490.SPy_1245	18.9	2
3334875	160490.SPy_0608	62.5	18
3336113	160490.SPy_2195	30.7	2
3335658	160490.SPy_1584	28.6	3
3334957	160490.SPy_0713	453	39
3334609	160490.SPy_0238	319	12
3335442	160490.SPy_1306	536	49
3335286	160490.SPy_1120	414	23
3335251	160490.SPy_1073	43253	1727
3335283	160490.SPy_1117	22.6	2
3335792	160490.SPy_1760	6264	731
3335902	160490.SPy_1904	30.9	8
3335682	160490.SPy_1618	3130	239
3335408	160490.SPy_1263	931	22
3335523	160490.SPy_1420	70.5	9
3335737	160490.SPy_1693	49.4	4
3335036	160490.SPy_0808	40.9	6
3336051	160490.SPy_2116	1227	99
3335214	160490.SPy_1031	1540	197
3334995	160490.SPy_0761	192	8
3334524	160490.SPy_0121	10.9	1
3334879	160490.SPy_0615	110	11
3335136	160490.SPy_0930	69.7	4
3334814	160490.SPy_0528	144	8
3334667	160490.SPy_0316	3176	106
3335584	160490.SPy_1494	21.6	1
3335624	160490.SPy_1539	123	12
3334589	160490.SPy_0203	519	40
3335856	160490.SPy_1846	9.41	1
3335857	160490.SPy_1849	1679	328
3335621	160490.SPy_1536	62.0	7
3335053	160490.SPy_0831	48.6	3
3335347	160490.SPy_1192	21.5	2
3334797	160490.SPy_0506	2834	119
3335128	160490.SPy_0922	24.9	3
3334501	160490.SPy_0092	88.7	4
3335718	160490.SPy_1665	141	2
