#id: 352
#name: C.neoformans - Whole organism, Biofilm, SC (Santi,J_Proteome_Res,2014)
#score: 3.41
#weight: 100%
#description: abundance based on Spectral counting, biofilm, from<a href="http://pubs.acs.org/doi/abs/10.1021/pr401075f" target="_blank">Santi,J_Proteome_Res,2014</a><br/><b>Interaction consistency score</b>: 3.41&nbsp<b>Coverage</b>: 25
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 25
#publication_year: 2014
#filename: 214684-Cryptococcus_biofilm_Santi_2014.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
3610484	214684.XP_568073.1	8.44	3
3611960	214684.XP_569549.1	5.46	1
3613580	214684.XP_571169.1	15.5	2
3611428	214684.XP_569017.1	130	8
3609130	214684.XP_566719.1	66.8	18
3613529	214684.XP_571118.1	535	27
3613020	214684.XP_570609.1	2492	71
3609607	214684.XP_567196.1	69.8	3
3613411	214684.XP_571000.1	782	64
3609305	214684.XP_566894.1	29.1	1
3615185	214684.XP_572774.1	17.8	3
3615091	214684.XP_572680.1	79.9	9
3614024	214684.XP_571613.1	6.48	1
3610002	214684.XP_567591.1	122	5
3609321	214684.XP_566910.1	401	101
3611977	214684.XP_569566.1	3.12	1
3614944	214684.XP_572533.1	5850	2040
3610981	214684.XP_568570.1	1894	284
3612166	214684.XP_569755.1	517	143
3614407	214684.XP_571996.1	14.0	3
3614904	214684.XP_572493.1	51.9	18
3613364	214684.XP_570953.1	68.1	12
3609191	214684.XP_566780.1	9.64	1
3610495	214684.XP_568084.1	62.8	10
3614180	214684.XP_571769.1	75.6	20
3614168	214684.XP_571757.1	91.9	6
3610246	214684.XP_567835.1	8135	1107
3611539	214684.XP_569128.1	19.2	4
3614953	214684.XP_572542.1	2.06	1
3612744	214684.XP_570333.1	149	4
3614391	214684.XP_571980.1	2046	19
3611889	214684.XP_569478.1	22.2	4
3609051	214684.XP_566640.1	109	15
3613797	214684.XP_571386.1	6.85	1
3611062	214684.XP_568651.1	1691	560
3614570	214684.XP_572159.1	6.3	1
3611793	214684.XP_569382.1	33.3	10
3612564	214684.XP_570153.1	112	8
3615161	214684.XP_572750.1	4.43	1
3611032	214684.XP_568621.1	59.4	1
3612793	214684.XP_570382.1	7.92	1
3612680	214684.XP_570269.1	65.0	12
3614877	214684.XP_572466.1	3.6	1
3612688	214684.XP_570277.1	5.41	1
3613950	214684.XP_571539.1	3386	71
3610388	214684.XP_567977.1	12.4	1
3612309	214684.XP_569898.1	508	93
3613618	214684.XP_571207.1	71.8	4
3614004	214684.XP_571593.1	7.56	1
3609827	214684.XP_567416.1	14.3	1
3614429	214684.XP_572018.1	4.95	1
3609193	214684.XP_566782.1	281	34
3611147	214684.XP_568736.1	71.5	13
3608941	214684.XP_566530.1	656	11
3615012	214684.XP_572601.1	16.2	4
3613682	214684.XP_571271.1	18.8	2
3614740	214684.XP_572329.1	98.2	40
3611701	214684.XP_569290.1	54.9	3
3614508	214684.XP_572097.1	18.9	4
3609046	214684.XP_566635.1	315	6
3612871	214684.XP_570460.1	246	37
3611268	214684.XP_568857.1	226	67
3609466	214684.XP_567055.1	5.25	1
3609478	214684.XP_567067.1	815	148
3611518	214684.XP_569107.1	664	27
3611893	214684.XP_569482.1	12.7	1
3610294	214684.XP_567883.1	22.0	3
3608929	214684.XP_566518.1	481	89
3613189	214684.XP_570778.1	6.61	3
3611492	214684.XP_569081.1	179	22
3611462	214684.XP_569051.1	1298	63
3613616	214684.XP_571205.1	70.0	14
3614835	214684.XP_572424.1	1.71	1
3614617	214684.XP_572206.1	867	44
3609157	214684.XP_566746.1	56.5	25
3613548	214684.XP_571137.1	109	8
3611395	214684.XP_568984.1	42.5	6
3611825	214684.XP_569414.1	22.9	3
3613271	214684.XP_570860.1	1791	329
3613008	214684.XP_570597.1	180	8
3614542	214684.XP_572131.1	1445	358
3615295	214684.XP_572884.1	10169	605
3613564	214684.XP_571153.1	612	86
3611820	214684.XP_569409.1	2343	47
3610297	214684.XP_567886.1	20.2	5
3614752	214684.XP_572341.1	383	26
3613852	214684.XP_571441.1	17.1	1
3612627	214684.XP_570216.1	5.09	2
3612022	214684.XP_569611.1	363	168
3609208	214684.XP_566797.1	91.3	13
3613417	214684.XP_571006.1	102	23
3610200	214684.XP_567789.1	94.6	6
3611568	214684.XP_569157.1	194	4
3614996	214684.XP_572585.1	8.41	2
3609795	214684.XP_567384.1	2.17	1
3613914	214684.XP_571503.1	3.89	2
3615208	214684.XP_572797.1	457	31
3614427	214684.XP_572016.1	6750	461
3611529	214684.XP_569118.1	156	44
3609144	214684.XP_566733.1	138	60
3610353	214684.XP_567942.1	2.22	1
3613549	214684.XP_571138.1	3.45	1
3611415	214684.XP_569004.1	13670	544
3610746	214684.XP_568335.1	233	20
3613275	214684.XP_570864.1	272	13
3608852	214684.XP_566441.1	13.0	1
3610016	214684.XP_567605.1	32.3	5
3609756	214684.XP_567345.1	30.9	10
3611463	214684.XP_569052.1	48.0	9
3613237	214684.XP_570826.1	22.9	3
3609511	214684.XP_567100.1	138	7
3609187	214684.XP_566776.1	20.1	5
3610862	214684.XP_568451.1	1807	333
3612951	214684.XP_570540.1	2699	79
3608991	214684.XP_566580.1	11.4	2
3615032	214684.XP_572621.1	3.67	1
3611990	214684.XP_569579.1	56.2	8
3613252	214684.XP_570841.1	2.42	1
3612671	214684.XP_570260.1	1653	55
3615181	214684.XP_572770.1	16.4	1
3615240	214684.XP_572829.1	41.0	9
3611189	214684.XP_568778.1	145	16
3611394	214684.XP_568983.1	205	53
3615093	214684.XP_572682.1	14.5	4
3611640	214684.XP_569229.1	1.56	1
3611560	214684.XP_569149.1	289	34
3609002	214684.XP_566591.1	2.76	1
3609858	214684.XP_567447.1	584	47
3613255	214684.XP_570844.1	48.6	10
3615342	214684.XP_572931.1	419	61
3610068	214684.XP_567657.1	85.2	14
3613629	214684.XP_571218.1	8.22	1
3614383	214684.XP_571972.1	136	18
3611705	214684.XP_569294.1	1225	18
3613040	214684.XP_570629.1	98.9	10
3612174	214684.XP_569763.1	130	4
3613187	214684.XP_570776.1	50.3	10
3609904	214684.XP_567493.1	89.9	22
3608973	214684.XP_566562.1	130	43
3610478	214684.XP_568067.1	74.8	3
3613285	214684.XP_570874.1	206	16
3613830	214684.XP_571419.1	106	12
3611538	214684.XP_569127.1	10.2	7
3613160	214684.XP_570749.1	4.39	1
3612023	214684.XP_569612.1	5541	249
3611662	214684.XP_569251.1	83.4	8
3613811	214684.XP_571400.1	429	23
3613768	214684.XP_571357.1	19.4	1
3611480	214684.XP_569069.1	189	12
3612446	214684.XP_570035.1	53.1	2
3615291	214684.XP_572880.1	1167	123
3610305	214684.XP_567894.1	468	46
3612137	214684.XP_569726.1	65.4	15
3613781	214684.XP_571370.1	4.81	1
3611310	214684.XP_568899.1	20.1	3
3609032	214684.XP_566621.1	477	118
3612720	214684.XP_570309.1	4.64	1
3612021	214684.XP_569610.1	357	168
3609929	214684.XP_567518.1	78.3	16
3614008	214684.XP_571597.1	258	9
3613352	214684.XP_570941.1	27.7	4
3614175	214684.XP_571764.1	112	9
3613378	214684.XP_570967.1	15.9	3
3613562	214684.XP_571151.1	27.7	3
3610709	214684.XP_568298.1	11.0	1
3610466	214684.XP_568055.1	129	3
3609564	214684.XP_567153.1	59.9	2
3610520	214684.XP_568109.1	6.27	1
3610345	214684.XP_567934.1	5850	2040
3609546	214684.XP_567135.1	61.0	7
3610702	214684.XP_568291.1	1.86	1
3612207	214684.XP_569796.1	36.2	4
3613485	214684.XP_571074.1	212	32
3610688	214684.XP_568277.1	16.0	5
3614074	214684.XP_571663.1	3540	73
3610429	214684.XP_568018.1	28.5	6
3614047	214684.XP_571636.1	360	33
3615107	214684.XP_572696.1	17.3	1
3610555	214684.XP_568144.1	4.63	1
3612583	214684.XP_570172.1	600	53
3609675	214684.XP_567264.1	29.1	1
3610831	214684.XP_568420.1	983	48
3612067	214684.XP_569656.1	20.4	8
3613665	214684.XP_571254.1	145	7
3609118	214684.XP_566707.1	26.4	8
3609587	214684.XP_567176.1	341	1
3611386	214684.XP_568975.1	31.8	2
3614826	214684.XP_572415.1	6.35	1
3613786	214684.XP_571375.1	10.8	2
3614585	214684.XP_572174.1	372	87
3612513	214684.XP_570102.1	42.0	14
3610987	214684.XP_568576.1	1535	40
3615083	214684.XP_572672.1	18891	1424
3613179	214684.XP_570768.1	130	10
3613268	214684.XP_570857.1	23.7	4
3611278	214684.XP_568867.1	62.4	21
3615286	214684.XP_572875.1	65.4	18
3612041	214684.XP_569630.1	49.2	8
3611609	214684.XP_569198.1	87.0	15
3611258	214684.XP_568847.1	6.14	1
3610192	214684.XP_567781.1	169	10
3612880	214684.XP_570469.1	994	33
3612260	214684.XP_569849.1	47.7	8
3611594	214684.XP_569183.1	146	54
3612696	214684.XP_570285.1	80.2	4
3613078	214684.XP_570667.1	19.3	1
3615121	214684.XP_572710.1	109	33
3614813	214684.XP_572402.1	8.75	1
3615269	214684.XP_572858.1	36.2	2
3611826	214684.XP_569415.1	194	6
3610704	214684.XP_568293.1	5.95	2
3615070	214684.XP_572659.1	14.0	1
3613465	214684.XP_571054.1	2166	314
3612123	214684.XP_569712.1	926	133
3610969	214684.XP_568558.1	8.28	1
3615164	214684.XP_572753.1	90.8	20
3614819	214684.XP_572408.1	2.85	1
3613159	214684.XP_570748.1	35.9	12
3615128	214684.XP_572717.1	2008	36
3609738	214684.XP_567327.1	31.7	3
