#name: C.neoformans - Whole organism (Integrated)
#score: 8.54
#weight: 
#description: integrated dataset: weighted average of all C.neoformans WHOLE_ORGANISM datasets<br/><b>Interaction consistency score</b>: 8.54&nbsp<b>Coverage</b>: 37
#organ: WHOLE_ORGANISM
#integrated : true
#coverage: 37
#publication_year: 2015
#filename: 214684-WHOLE_ORGANISM-integrated.txt
#
#internal_id	string_external_id	abundance
3614093	214684.XP_571682.1	6.15
3611809	214684.XP_569398.1	4.98
3609515	214684.XP_567104.1	228
3610267	214684.XP_567856.1	0.316
3614091	214684.XP_571680.1	122
3610448	214684.XP_568037.1	32.5
3612233	214684.XP_569822.1	51.0
3609264	214684.XP_566853.1	0.273
3609097	214684.XP_566686.1	14.9
3614964	214684.XP_572553.1	117
3613535	214684.XP_571124.1	18.8
3614323	214684.XP_571912.1	0.091
3614944	214684.XP_572533.1	5881
3614341	214684.XP_571930.1	26.0
3614650	214684.XP_572239.1	10.2
3614321	214684.XP_571910.1	0.091
3611035	214684.XP_568624.1	0.095
3611200	214684.XP_568789.1	321
3610285	214684.XP_567874.1	0.166
3609543	214684.XP_567132.1	580
3610434	214684.XP_568023.1	25.2
3611640	214684.XP_569229.1	1.5
3609002	214684.XP_566591.1	4.05
3611116	214684.XP_568705.1	16.7
3612848	214684.XP_570437.1	0.598
3613305	214684.XP_570894.1	23.5
3614501	214684.XP_572090.1	32761
3609405	214684.XP_566994.1	1.97
3614958	214684.XP_572547.1	0.242
3614331	214684.XP_571920.1	273
3609500	214684.XP_567089.1	34.0
3614353	214684.XP_571942.1	1.77
3614952	214684.XP_572541.1	2.36
3613307	214684.XP_570896.1	3.29
3612693	214684.XP_570282.1	85.3
3613510	214684.XP_571099.1	170
3614355	214684.XP_571944.1	69.7
3610942	214684.XP_568531.1	1217
3613609	214684.XP_571198.1	8.58
3613398	214684.XP_570987.1	7.23
3609190	214684.XP_566779.1	4.63
3609517	214684.XP_567106.1	1.77
3609496	214684.XP_567085.1	3.21
3613301	214684.XP_570890.1	26.5
3613203	214684.XP_570792.1	200
3610559	214684.XP_568148.1	0.156
3609215	214684.XP_566804.1	86.5
3611975	214684.XP_569564.1	1.0
3611208	214684.XP_568797.1	0.077
3610251	214684.XP_567840.1	0.742
3609217	214684.XP_566806.1	4194
3609648	214684.XP_567237.1	0.501
3610521	214684.XP_568110.1	1.4
3609032	214684.XP_566621.1	443
3610795	214684.XP_568384.1	0.3
3608941	214684.XP_566530.1	645
3611204	214684.XP_568793.1	4.52
3614514	214684.XP_572103.1	0.467
3608862	214684.XP_566451.1	62.5
3613970	214684.XP_571559.1	0.718
3608943	214684.XP_566532.1	7.03
3610897	214684.XP_568486.1	20.4
3612423	214684.XP_570012.1	62.1
3612718	214684.XP_570307.1	1256
3614011	214684.XP_571600.1	241
3611856	214684.XP_569445.1	27.5
3609281	214684.XP_566870.1	16.2
3611758	214684.XP_569347.1	145
3612173	214684.XP_569762.1	0.157
3610575	214684.XP_568164.1	4.72
3614006	214684.XP_571595.1	333
3609283	214684.XP_566872.1	4.86
3609881	214684.XP_567470.1	56.3
3608854	214684.XP_566443.1	9.09
3614540	214684.XP_572129.1	0.349
3612711	214684.XP_570300.1	117
3611977	214684.XP_569566.1	2.84
3613747	214684.XP_571336.1	4.36
3608890	214684.XP_566479.1	0.782
3608994	214684.XP_566583.1	0.177
3613893	214684.XP_571482.1	198
3614083	214684.XP_571672.1	62.1
3615290	214684.XP_572879.1	1705
3612755	214684.XP_570344.1	1.55
3614421	214684.XP_572010.1	4.87
3612791	214684.XP_570380.1	0.617
3610206	214684.XP_567795.1	347
3613106	214684.XP_570695.1	0.118
3613549	214684.XP_571138.1	4.7
3610583	214684.XP_568172.1	0.921
3611049	214684.XP_568638.1	46.7
3609367	214684.XP_566956.1	134
3613104	214684.XP_570693.1	624
3609851	214684.XP_567440.1	0.333
3612255	214684.XP_569844.1	38.2
3611568	214684.XP_569157.1	201
3609365	214684.XP_566954.1	3.68
3612719	214684.XP_570308.1	19.2
3611854	214684.XP_569443.1	5.94
3612827	214684.XP_570416.1	253
3610615	214684.XP_568204.1	64.0
3609892	214684.XP_567481.1	4.83
3609573	214684.XP_567162.1	96.3
3614114	214684.XP_571703.1	35.0
3611644	214684.XP_569233.1	39.7
3615103	214684.XP_572692.1	1.81
3609488	214684.XP_567077.1	51.7
3610551	214684.XP_568140.1	0.569
3615341	214684.XP_572930.1	10.5
3608961	214684.XP_566550.1	2.53
3610831	214684.XP_568420.1	932
3611538	214684.XP_569127.1	10.3
3611463	214684.XP_569052.1	49.4
3610557	214684.XP_568146.1	528
3615105	214684.XP_572694.1	0.162
3611536	214684.XP_569125.1	2.13
3614873	214684.XP_572462.1	1613
3612618	214684.XP_570207.1	144
3611803	214684.XP_569392.1	7.67
3610200	214684.XP_567789.1	86.0
3611534	214684.XP_569123.1	5.2
3615288	214684.XP_572877.1	14.0
3614118	214684.XP_571707.1	0.23
3612829	214684.XP_570418.1	126
3612797	214684.XP_570386.1	463
