#name: L.interrogans - Whole organism (Integrated)
#score: 11.58
#weight: 
#description: integrated dataset: weighted average of all L.interrogans WHOLE_ORGANISM datasets<br/><b>Interaction consistency score</b>: 11.58&nbsp<b>Coverage</b>: 66
#organ: WHOLE_ORGANISM
#integrated : true
#coverage: 66
#publication_year: 2015
#filename: 267671-WHOLE_ORGANISM-integrated.txt
#
#internal_id	string_external_id	abundance
4107603	267671.LIC11848	6432
4106432	267671.LIC10640	240
4109337	267671.LIC20133	71.7
4109335	267671.LIC20131	5.35
4109340	267671.LIC20136	80.8
4109341	267671.LIC20137	113
4109342	267671.LIC20138	102
4106741	267671.LIC10959	453
4108031	267671.LIC12292	140
4108032	267671.LIC12293	24.4
4108029	267671.LIC12290	37.8
4108030	267671.LIC12291	102
4108033	267671.LIC12294	705
4108034	267671.LIC12295	22.7
4108037	267671.LIC12298	143
4108235	267671.LIC12502	310
4108233	267671.LIC12500	106
4108234	267671.LIC12501	58.7
4108239	267671.LIC12506	8.83
4108237	267671.LIC12504	63.4
4108238	267671.LIC12505	51.7
4107798	267671.LIC12058	250
4107799	267671.LIC12059	7.84
4108241	267671.LIC12508	208
4106734	267671.LIC10952	56.3
4109212	267671.LIC20006	2.54
4106711	267671.LIC10929	23.8
4109210	267671.LIC20002	455
4108991	267671.LIC13279	10.3
4108990	267671.LIC13278	39.3
4106705	267671.LIC10922	6.11
4106706	267671.LIC10923	45.7
4106703	267671.LIC10920	39.1
4108986	267671.LIC13274	9.85
4108984	267671.LIC13272	3.52
4109214	267671.LIC20008	8.64
4109215	267671.LIC20009	99.1
4109095	267671.LIC13387	13.5
4106536	267671.LIC10748	1546
4109094	267671.LIC13386	1.27
4107448	267671.LIC11690	7.2
4108428	267671.LIC12702	1122
4108344	267671.LIC12616	607
4108345	267671.LIC12617	52.9
4108342	267671.LIC12614	1565
4108343	267671.LIC12615	1245
4108341	267671.LIC12613	855
4108338	267671.LIC12610	170
4108339	267671.LIC12611	16.8
4108346	267671.LIC12618	636
4108347	267671.LIC12619	73.4
4109089	267671.LIC13381	13.3
4108599	267671.LIC12878	564
4108597	267671.LIC12876	71.4
4108598	267671.LIC12877	21.9
4108595	267671.LIC12874	2238
4108596	267671.LIC12875	12681
4108593	267671.LIC12872	2572
4108594	267671.LIC12873	1862
4108591	267671.LIC12870	2018
4108592	267671.LIC12871	1473
4106530	267671.LIC10740	104
4108435	267671.LIC12709	4.43
4106531	267671.LIC10741	26.5
4109181	267671.LIC13475	110
4109180	267671.LIC13474	272
4108211	267671.LIC12478	134
4109182	267671.LIC13476	129
4109178	267671.LIC13471	720
4109177	267671.LIC13470	2840
4108203	267671.LIC12470	31.9
4108204	267671.LIC12471	6.94
4108209	267671.LIC12476	1780
4108210	267671.LIC12477	207
4108207	267671.LIC12474	1371
4108208	267671.LIC12475	1131
4108017	267671.LIC12278	2.38
4108018	267671.LIC12279	65.8
4109097	267671.LIC13389	0.799
4108011	267671.LIC12271	7.9
4108013	267671.LIC12273	236
4108014	267671.LIC12275	395
4108015	267671.LIC12276	157
4108016	267671.LIC12277	292
4109195	267671.LIC13491	301
4109199	267671.LIC13497	43.5
4109198	267671.LIC13496	417
4109197	267671.LIC13495	63.0
4109196	267671.LIC13494	160
4109464	267671.LIC20268	4.62
4109462	267671.LIC20266	578
4109460	267671.LIC20264	354
4109461	267671.LIC20265	29.7
4109456	267671.LIC20260	14.6
4108735	267671.LIC13017	243
4108734	267671.LIC13016	58.2
4108733	267671.LIC13015	70.2
4108730	267671.LIC13012	19.8
4108736	267671.LIC13018	2.57
4106944	267671.LIC11167	7.9
4106086	267671.LIC10288	21.8
4106085	267671.LIC10287	82.9
4106084	267671.LIC10286	115
4106083	267671.LIC10285	7.54
4106082	267671.LIC10284	2.43
4106081	267671.LIC10283	75.4
4106080	267671.LIC10282	484
4106079	267671.LIC10281	85.1
4106078	267671.LIC10280	156
4105923	267671.LIC10118	54.2
4105922	267671.LIC10117	292
4105920	267671.LIC10115	604
4105919	267671.LIC10114	572
4105918	267671.LIC10113	76.4
4105917	267671.LIC10112	357
4106527	267671.LIC10737	2.86
4106526	267671.LIC10736	260
4106523	267671.LIC10733	326
4106522	267671.LIC10732	511
4106521	267671.LIC10731	24.0
4106529	267671.LIC10739	6.94
4106528	267671.LIC10738	193
4107644	267671.LIC11889	2168
4107497	267671.LIC11739	235
4107637	267671.LIC11882	164
4107638	267671.LIC11883	34.3
4107494	267671.LIC11736	2.8
4107495	267671.LIC11737	150
4107641	267671.LIC11886	96.0
4107642	267671.LIC11887	3.2
4107639	267671.LIC11884	231
4107640	267671.LIC11885	3972
4106395	267671.LIC10603	7.55
4106394	267671.LIC10602	805
4106393	267671.LIC10601	2200
4106392	267671.LIC10600	1858
4106399	267671.LIC10607	1349
4106398	267671.LIC10606	1797
4106397	267671.LIC10605	5.35
4106396	267671.LIC10604	19.4
4106400	267671.LIC10608	232
4106222	267671.LIC10429	870
4106221	267671.LIC10428	748
4106215	267671.LIC10421	88.8
4106220	267671.LIC10426	91.6
4106219	267671.LIC10425	191
4109401	267671.LIC20200	12.5
4106860	267671.LIC11082	79.3
4106858	267671.LIC11080	0.809
4106859	267671.LIC11081	31.9
4106864	267671.LIC11086	10.2
4106862	267671.LIC11084	6.3
4106863	267671.LIC11085	8.56
4106866	267671.LIC11088	18.4
4106867	267671.LIC11089	754
4107405	267671.LIC11641	145
4107406	267671.LIC11642	148
4107407	267671.LIC11643	3582
4107409	267671.LIC11645	11.5
4107410	267671.LIC11646	101
4107411	267671.LIC11647	4.37
4106838	267671.LIC11060	12.2
4106839	267671.LIC11061	10.6
4106840	267671.LIC11062	42.4
4106841	267671.LIC11063	63.7
4106842	267671.LIC11064	5.51
4106843	267671.LIC11065	145
4106844	267671.LIC11066	35.3
4106845	267671.LIC11067	1000
4106310	267671.LIC10518	240
4108849	267671.LIC13136	1012
4107166	267671.LIC11396	4.87
4107233	267671.LIC11465	19.5
4107164	267671.LIC11394	140
4108145	267671.LIC12408	65.4
4107228	267671.LIC11460	321
4107163	267671.LIC11393	68.4
4107230	267671.LIC11462	129
4107161	267671.LIC11391	28.5
4107236	267671.LIC11468	177
4107237	267671.LIC11469	13.7
4107168	267671.LIC11398	22.2
4107169	267671.LIC11399	29.5
4106309	267671.LIC10517	83.3
4106740	267671.LIC10958	623
4108138	267671.LIC12401	93.0
4108144	267671.LIC12407	5001
4107044	267671.LIC11268	8.47
4107038	267671.LIC11262	43.3
4107039	267671.LIC11263	24.7
4107037	267671.LIC11261	65.9
4107042	267671.LIC11266	107
4107043	267671.LIC11267	300
4107040	267671.LIC11264	14.9
4109328	267671.LIC20124	9.44
4109331	267671.LIC20127	7.0
4109330	267671.LIC20126	2.64
4108024	267671.LIC12285	353
4108026	267671.LIC12287	2187
4108025	267671.LIC12286	4.81
4108021	267671.LIC12282	3.2
4108028	267671.LIC12289	392
4108027	267671.LIC12288	55.6
4108248	267671.LIC12515	148
4108247	267671.LIC12514	39.5
4108249	267671.LIC12516	98.8
4108244	267671.LIC12511	8.25
4107787	267671.LIC12046	28.5
4109225	267671.LIC20019	21.4
4109217	267671.LIC20011	465
4109216	267671.LIC20010	266
4109219	267671.LIC20013	145
4109218	267671.LIC20012	1.53
4109221	267671.LIC20015	61.2
4109220	267671.LIC20014	7.93
4109223	267671.LIC20017	18.1
4109222	267671.LIC20016	27.1
4108954	267671.LIC13242	34.3
4108955	267671.LIC13243	5.3
4108952	267671.LIC13240	37.6
4108953	267671.LIC13241	3.84
4108959	267671.LIC13247	4.31
4108956	267671.LIC13244	2944
4108957	267671.LIC13245	69.1
4106717	267671.LIC10935	1.15
4108961	267671.LIC13249	10.9
4106713	267671.LIC10931	21.5
4106714	267671.LIC10932	25.9
4108337	267671.LIC12609	118
4108336	267671.LIC12608	90.8
4108329	267671.LIC12601	129
4108328	267671.LIC12600	275
4108331	267671.LIC12603	811
4108330	267671.LIC12602	56.8
4108333	267671.LIC12605	341
4108332	267671.LIC12604	39.1
4108335	267671.LIC12607	131
4108334	267671.LIC12606	54.3
4107835	267671.LIC12095	175
4108582	267671.LIC12861	1790
4108581	267671.LIC12860	492
4108584	267671.LIC12863	627
4108583	267671.LIC12862	2126
4108586	267671.LIC12865	1288
4108585	267671.LIC12864	1871
4108588	267671.LIC12867	2286
4108587	267671.LIC12866	1527
4108590	267671.LIC12869	534
4108589	267671.LIC12868	1671
4108202	267671.LIC12469	22.6
4108201	267671.LIC12468	11.8
4108198	267671.LIC12465	947
4108200	267671.LIC12467	577
4108199	267671.LIC12466	1636
4108194	267671.LIC12461	551
4108193	267671.LIC12460	3941
4108196	267671.LIC12463	683
4108195	267671.LIC12462	538
4109102	267671.LIC13394	158
4109103	267671.LIC13395	264
4108009	267671.LIC12269	68.7
4109105	267671.LIC13397	219
4109100	267671.LIC13392	839
4109101	267671.LIC13393	3701
4108003	267671.LIC12263	1355
4108002	267671.LIC12262	19.7
4109107	267671.LIC13399	259
4106378	267671.LIC10586	67.1
4106379	267671.LIC10587	44.0
4109466	267671.LIC20270	110
4108746	267671.LIC13028	1.95
4108747	267671.LIC13029	2.71
4109471	267671.LIC20275	508
4109470	267671.LIC20274	473
4108740	267671.LIC13022	40.7
4108741	267671.LIC13023	40.7
4108738	267671.LIC13020	129
4108739	267671.LIC13021	102
4108744	267671.LIC13026	117
4108745	267671.LIC13027	3.32
4109211	267671.LIC20005	86.7
4107231	267671.LIC11463	57.6
4109209	267671.LIC20001	514
4108988	267671.LIC13276	1408
4108987	267671.LIC13275	157
4105927	267671.LIC10122	116
4105928	267671.LIC10123	605
4105925	267671.LIC10120	6.95
4105926	267671.LIC10121	73.4
4105932	267671.LIC10127	171
4105929	267671.LIC10124	460
4105930	267671.LIC10125	660
4105933	267671.LIC10128	12.2
4107012	267671.LIC11236	14.6
4106710	267671.LIC10927	727
4108983	267671.LIC13271	213
4106708	267671.LIC10925	39.3
4106628	267671.LIC10843	265
4106630	267671.LIC10845	46.2
4106629	267671.LIC10844	36.3
4106180	267671.LIC10386	418
4106181	267671.LIC10387	148
4106178	267671.LIC10384	14.8
4106176	267671.LIC10382	435
4106177	267671.LIC10383	230
4107487	267671.LIC11729	491
4107486	267671.LIC11728	156
4107650	267671.LIC11895	1.69
4107484	267671.LIC11726	601
4107652	267671.LIC11897	507
4107651	267671.LIC11896	70.7
4107645	267671.LIC11890	11752
4107479	267671.LIC11721	22.0
4106183	267671.LIC10389	18.1
4106428	267671.LIC10636	55.8
4106429	267671.LIC10637	36.9
4106426	267671.LIC10634	169
4106427	267671.LIC10635	1.8
4106424	267671.LIC10632	40.5
4106425	267671.LIC10633	121
4106633	267671.LIC10848	744
4107947	267671.LIC12207	859
4106213	267671.LIC10419	95.9
4106208	267671.LIC10414	2.04
4106209	267671.LIC10415	655
4106207	267671.LIC10413	8.93
4106205	267671.LIC10411	3544
4107943	267671.LIC12203	752
4107942	267671.LIC12202	1115
4106873	267671.LIC11095	923
4106875	267671.LIC11097	42.6
4106874	267671.LIC11096	495
4106869	267671.LIC11091	248
4106877	267671.LIC11099	5.76
4106876	267671.LIC11098	75.4
4106057	267671.LIC10258	73.5
4106058	267671.LIC10259	67.8
4107412	267671.LIC11650	35.4
4107419	267671.LIC11657	196
4107418	267671.LIC11656	53.1
4107417	267671.LIC11655	496
4107416	267671.LIC11654	26.4
4106049	267671.LIC10250	9.71
4106050	267671.LIC10251	15.4
4106051	267671.LIC10252	230
4107420	267671.LIC11658	25.8
4106498	267671.LIC10706	33.2
4106054	267671.LIC10255	4.96
4106055	267671.LIC10256	3.4
4106497	267671.LIC10705	198
4106857	267671.LIC11079	26.1
4106851	267671.LIC11073	34.3
4106850	267671.LIC11072	26.0
4106849	267671.LIC11071	191
4106848	267671.LIC11070	152
4106854	267671.LIC11076	137
4106853	267671.LIC11075	41.3
