#name: L.lactis - Whole organism (Integrated)
#score: 11.61
#weight: 
#description: integrated dataset: weighted average of all L.lactis WHOLE_ORGANISM datasets<br/><b>Interaction consistency score</b>: 11.61&nbsp<b>Coverage</b>: 56
#organ: WHOLE_ORGANISM
#integrated : true
#coverage: 56
#publication_year: 2015
#filename: 272623-WHOLE_ORGANISM-integrated.txt
#
#internal_id	string_external_id	abundance
4186425	272623.L0175	96.8
4186427	272623.L0177	11.6
4186935	272623.L119452	40.4
4186423	272623.L0171	785
4187264	272623.L154925	2221
4186325	272623.L0074	0.048
4188044	272623.L4822	509
4186327	272623.L0076	25.1
4186328	272623.L0077	11.5
4187263	272623.L154885	963
4187340	272623.L162872	438
4186857	272623.L111950	109
4187867	272623.L320	503
4186426	272623.L0176	14.1
4187850	272623.L29491	271
4188390	272623.L81453	17.1
4187351	272623.L164222	242
4188272	272623.L68759	971
4188513	272623.L93826	30.2
4186895	272623.L115302	74.3
4187517	272623.L181168	589
4186402	272623.L0150	136
4187103	272623.L134243	405
4187169	272623.L142733	7422
4187115	272623.L135954	223
4186972	272623.L122849	2619
4188140	272623.L56431	924
4186355	272623.L0103	7.86
4188437	272623.L86471	112
4186357	272623.L0105	88.1
4186358	272623.L0106	173
4186359	272623.L0107	116
4186360	272623.L0108	8.02
4186361	272623.L0109	296
4188260	272623.L67726	408
4187106	272623.L134453	710
4187067	272623.L13150	15.3
4188487	272623.L91444	17.1
4187240	272623.L152002	273
4188454	272623.L88187	800
4186854	272623.L111484	432
4188512	272623.L93500	30.2
4186998	272623.L125485	427
4186429	272623.L0179	5.26
4187065	272623.L131443	109
4188539	272623.L9639	0.537
4187331	272623.L162009	894
4187845	272623.L29089	70.7
4187291	272623.L157995	1001
4187872	272623.L32389	3706
4187851	272623.L29672	26.8
4187352	272623.L164312	278
4186926	272623.L118350	4.13
4186997	272623.L125244	83.6
4187095	272623.L133547	3.92
4188429	272623.L85854	80.9
4188110	272623.L54021	14.8
4188520	272623.L94534	716
4187537	272623.L183216	18.0
4188470	272623.L89194	57.5
4187279	272623.L156674	5.22
4188042	272623.L47979	61.2
4187450	272623.L174389	965
4187776	272623.L210	1065
4187013	272623.L127223	536
4187403	272623.L169610	109
4187124	272623.L137335	32.9
4187621	272623.L192122	340
4186947	272623.L120355	22.8
4187620	272623.L192043	593
4187606	272623.L190126	12.9
4186668	272623.L0421	1547
4187529	272623.L18206	147
4187873	272623.L324	634
4187789	272623.L22498	75.4
4187480	272623.L177590	2161
4187481	272623.L177593	38.4
4187194	272623.L145739	913
4187880	272623.L3279	60.4
4187655	272623.L195257	149
4188271	272623.L68758	674
4187846	272623.L29171	103
4186845	272623.L11083	36.7
4186887	272623.L114740	1336
4186918	272623.L11749	41.3
4187670	272623.L196779	16.2
4187413	272623.L170990	314
4186917	272623.L11745	297
4186578	272623.L0330	363
4187044	272623.L129183	111
4187308	272623.L159505	335
4187322	272623.L161059	13.0
4188374	272623.L79833	229
4186665	272623.L0418	5309
4186282	272623.L0031	22.7
4187766	272623.L20397	148
4186349	272623.L0098	571
4186921	272623.L1178	664
4188425	272623.L85514	45.8
4187341	272623.L162952	145
4186764	272623.L103212	653
4186865	272623.L112776	46.1
4187087	272623.L132777	507
4186821	272623.L108801	79.1
4187609	272623.L190464	6.82
4186263	272623.L0013	153
4187486	272623.L178172	462
4187130	272623.L138452	347
4186819	272623.L108503	79.0
4186841	272623.L110479	18.1
4187380	272623.L167555	10.1
4187437	272623.L173313	164
4186635	272623.L0388	2194
4186636	272623.L0389	3528
4187058	272623.L130713	52.3
4187921	272623.L36774	32.9
4187275	272623.L156302	101
4186629	272623.L0382	5147
4186630	272623.L0383	7553
4186627	272623.L0380	4116
4186628	272623.L0381	4046
4186633	272623.L0386	5166
4186634	272623.L0387	4263
4187269	272623.L155471	32.9
4186632	272623.L0385	4671
4186616	272623.L0369	47.1
4186289	272623.L0038	761
4187300	272623.L158834	911
4188462	272623.L88643	145
4187231	272623.L150593	510
4186260	272623.L0010	5104
4187364	272623.L165684	289
4188165	272623.L58914	23.1
4186395	272623.L0143	3107
4187509	272623.L180241	21.4
4186558	272623.L0310	62.2
4187361	272623.L165279	798
4187660	272623.L195415	48.1
4186565	272623.L0317	0.208
4186499	272623.L0250	152
4187000	272623.L125707	3.53
4186501	272623.L0252	7.78
4186502	272623.L0253	24.5
4186503	272623.L0254	6.81
4186504	272623.L0255	1785
4186505	272623.L0256	34.0
4186506	272623.L0257	91.8
4187249	272623.L152977	374
4187324	272623.L161132	1537
4187268	272623.L155408	546
4186975	272623.L123116	225
4186261	272623.L0011	2925
4186900	272623.L115671	208
4187416	272623.L171116	42.7
4187579	272623.L187450	9.4
