#name: A.thaliana - Carpel, SC (Baerenfaller,IntegrBiol,2011)
#score: 1.51
#weight: 100%
#description: abundance based on Spectral counting, Spectral counting, from<a href="http://pubs.rsc.org/en/Content/ArticleLanding/2011/IB/c0ib00078g" target="_blank">Baerenfaller, IntegrBiol,2011</a><br/><b>Interaction consistency score</b>: 1.51&nbsp<b>Coverage</b>: 14
#organ: CARPEL
#integrated: false
#coverage: 14
#publication_year: 2011
#filename: Arabidopsis_capel_Baerenfaller_2011_IntegrBiol.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
123919	3702.AT2G22795.1	202	16
116456	3702.AT1G11750.2	163	7
120489	3702.AT1G62780.1	78.1	2
119662	3702.AT1G53210.1	274	14
128298	3702.AT3G16340.1	17.0	1
122427	3702.AT2G01470.1	87.3	5
122234	3702.AT1G79530.1	226	8
140533	3702.AT5G49310.1	13.8	2
138024	3702.AT5G19090.1	33.0	1
127707	3702.AT3G11130.1	82.1	18
131762	3702.AT3G60820.1	1200	33
128417	3702.AT3G17440.1	53.5	1
122276	3702.AT1G79940.1	117	6
130744	3702.AT3G51050.1	67.1	6
118442	3702.AT1G31730.1	62.1	8
136675	3702.AT5G05560.1	14.8	2
127782	3702.AT3G11830.1	679	41
136813	3702.AT5G06870.1	118	6
116450	3702.AT1G11690.1	44.7	1
125760	3702.AT2G40030.1	5.02	1
136757	3702.AT5G06320.1	395	9
126328	3702.AT2G45290.1	25.5	2
121500	3702.AT1G72370.1	1767	54
129424	3702.AT3G26590.1	265	6
126240	3702.AT2G44440.1	27.3	1
125712	3702.AT2G39630.1	24.8	1
121019	3702.AT1G67750.1	106	2
133806	3702.AT4G18100.1	935	15
121662	3702.AT1G73940.1	99.2	2
134469	3702.AT4G24190.1	2991	245
120028	3702.AT1G56580.1	326	5
141968	3702.AT5G62670.1	186	20
130028	3702.AT3G44300.1	56.8	2
119697	3702.AT1G53520.1	140	4
122328	3702.AT1G80480.1	40.9	2
121693	3702.AT1G74210.1	65.8	3
124131	3702.AT2G24765.1	80.7	2
136115	3702.AT4G39460.1	535	10
128785	3702.AT3G20790.1	98.2	5
119574	3702.AT1G52400.1	3013	186
127022	3702.AT3G04520.1	53.0	3
136943	3702.AT5G08120.1	24.0	1
131073	3702.AT3G54110.1	263	8
117929	3702.AT1G26630.1	446	11
134529	3702.AT4G24760.1	14.2	1
141836	3702.AT5G61410.1	826	27
126727	3702.AT3G01800.1	36.6	1
134445	3702.AT4G23980.1	8.94	1
125340	3702.AT2G36130.1	39.2	1
134090	3702.AT4G20770.1	22.0	1
121260	3702.AT1G69960.1	31.1	1
118272	3702.AT1G30000.1	22.0	1
125073	3702.AT2G33630.1	36.5	1
128496	3702.AT3G18165.1	98.7	3
121764	3702.AT1G74920.1	191	8
129735	3702.AT3G29310.1	13.8	1
137510	3702.AT5G14220.1	76.5	6
138861	3702.AT5G27930.1	42.5	1
129582	3702.AT3G27960.1	22.3	2
135374	3702.AT4G32470.1	657	6
127143	3702.AT3G05560.1	1224	12
135327	3702.AT4G32070.1	21.1	2
130965	3702.AT3G53110.1	110	8
138266	3702.AT5G22060.1	21.1	1
127506	3702.AT3G09300.1	38.7	2
128293	3702.AT3G16290.1	11.7	1
134704	3702.AT4G26370.1	28.1	1
120018	3702.AT1G56500.1	17.0	3
116295	3702.AT1G10290.1	158	15
124797	3702.AT2G31140.1	155	2
120276	3702.AT1G60810.1	7.81	1
122274	3702.AT1G79920.1	477	58
120550	3702.AT1G63290.1	176	3
126145	3702.AT2G43560.1	262	4
134627	3702.AT4G25670.1	315	1
132252	3702.AT4G01610.1	95.3	5
137336	3702.AT5G12180.1	9.73	1
130203	3702.AT3G45970.1	99.9	3
116923	3702.AT1G16080.1	205	12
117900	3702.AT1G26340.1	146	2
118975	3702.AT1G44575.1	1651	52
122275	3702.AT1G79930.1	203	39
127069	3702.AT3G04920.1	5425	33
134255	3702.AT4G22240.1	584	22
133743	3702.AT4G17560.1	1174	10
127467	3702.AT3G08947.1	46.4	9
133861	3702.AT4G18570.1	14.8	1
115423	3702.AT1G02130.1	46.1	1
122246	3702.AT1G79650.4	22.5	1
121869	3702.AT1G76030.1	19.3	1
127674	3702.AT3G10850.1	341	9
135768	3702.AT4G36080.1	2.25	1
131496	3702.AT3G58180.1	17.8	1
125311	3702.AT2G35840.1	133	3
135132	3702.AT4G30260.1	235	5
120830	3702.AT1G65960.2	70.5	5
130207	3702.AT3G46010.2	39.7	1
126804	3702.AT3G02510.1	29.0	1
136044	3702.AT4G38740.1	1476	23
136561	3702.AT5G04430.2	253	12
139239	3702.AT5G37510.2	726	57
139020	3702.AT5G35160.2	38.9	3
124608	3702.AT2G29400.1	33.6	1
133092	3702.AT4G11980.1	82.5	1
141487	3702.AT5G58060.2	126	3
136045	3702.AT4G38760.1	4.22	1
117499	3702.AT1G21750.1	1049	72
122727	3702.AT2G04520.1	165	1
121477	3702.AT1G72150.1	381	17
139955	3702.AT5G44070.1	38.1	2
118490	3702.AT1G32190.1	36.3	1
127950	3702.AT3G13330.1	6.85	1
141691	3702.AT5G60030.1	104	1
136076	3702.AT4G39050.1	11.8	1
136432	3702.AT5G03290.1	49.7	2
138003	3702.AT5G18890.1	9.5	1
140805	3702.AT5G51820.1	309	24
123418	3702.AT2G18020.1	719	14
138190	3702.AT5G20630.1	2437	38
131962	3702.AT3G62600.1	36.5	1
131789	3702.AT3G61070.1	157	5
140743	3702.AT5G51220.1	139	3
132306	3702.AT4G02060.1	28.2	3
133592	3702.AT4G16190.1	162	3
127806	3702.AT3G12050.1	286	11
124749	3702.AT2G30740.1	24.1	1
129736	3702.AT3G29320.1	817	78
135319	3702.AT4G31990.3	467	28
137725	3702.AT5G16300.1	36.5	5
135580	3702.AT4G34350.1	56.2	4
137263	3702.AT5G11450.1	141	3
127466	3702.AT3G08943.1	138	18
136320	3702.AT5G02190.1	19.2	1
122939	3702.AT2G07775.1	44.0	1
134537	3702.AT4G24830.1	269	17
135834	3702.AT4G36760.1	245	19
140741	3702.AT5G51200.1	47.1	9
120704	3702.AT1G64760.1	234	6
139759	3702.AT5G42390.1	41.1	6
136666	3702.AT5G05470.1	31.9	1
128583	3702.AT3G18930.1	37.1	2
142353	3702.AT5G66190.1	786	33
132523	3702.AT4G04470.1	148	3
125755	3702.AT2G39990.1	428	18
116989	3702.AT1G16790.1	61.4	1
142397	3702.AT5G66610.2	8.4	1
125513	3702.AT2G37690.1	46.3	3
137322	3702.AT5G12040.1	248	9
141668	3702.AT5G59810.1	64.5	4
137259	3702.AT5G11420.1	30.7	2
137513	3702.AT5G14250.1	57.9	4
135571	3702.AT4G34270.1	58.0	2
116401	3702.AT1G11260.1	136	6
137435	3702.AT5G13490.1	261	10
142523	3702.ATCG00180.1	12.0	1
140405	3702.AT5G48180.1	138	7
126001	3702.AT2G42190.1	56.6	1
118892	3702.AT1G42960.1	908	17
119217	3702.AT1G48850.1	114	5
127051	3702.AT3G04770.1	98.5	8
125143	3702.AT2G34300.1	70.6	5
116047	3702.AT1G07990.1	43.1	4
128463	3702.AT3G17840.1	137	9
142039	3702.AT5G63310.1	262	6
138077	3702.AT5G19550.1	223	11
140555	3702.AT5G49510.1	29.4	1
122135	3702.AT1G78570.1	152	10
138715	3702.AT5G26340.1	23.9	1
140796	3702.AT5G51750.1	995	65
123517	3702.AT2G18960.1	328	23
135382	3702.AT4G32551.2	33.4	2
133073	3702.AT4G11820.2	57.1	3
131655	3702.AT3G59760.1	297	16
117582	3702.AT1G22530.1	127	10
136350	3702.AT5G02500.1	1943	93
117378	3702.AT1G20620.1	600	28
138591	3702.AT5G25100.2	67.9	5
141543	3702.AT5G58590.1	441	10
119195	3702.AT1G48620.1	1071	24
121673	3702.AT1G74040.1	42.4	3
139783	3702.AT5G42600.1	18.9	1
142111	3702.AT5G64030.1	216	21
121479	3702.AT1G72170.1	310	6
122821	3702.AT2G05840.1	67.7	2
125814	3702.AT2G40480.1	14.4	1
136713	3702.AT5G05920.1	25.5	1
138381	3702.AT5G23140.1	93.5	2
138373	3702.AT5G23060.1	517	17
116089	3702.AT1G08360.1	161	5
128636	3702.AT3G19420.1	8.83	1
121671	3702.AT1G74020.1	47.7	2
135988	3702.AT4G38190.1	15.3	1
138632	3702.AT5G25460.1	41.2	3
115848	3702.AT1G06130.1	72.5	2
129342	3702.AT3G25860.1	1110	47
134968	3702.AT4G28750.1	1769	26
133595	3702.AT4G16210.1	35.1	1
