#name: A.thaliana - Carpel (Integrated)
#score: 2.59
#weight: 
#description: integrated dataset: weighted average of all A.thaliana CARPEL datasets<br/><b>Interaction consistency score</b>: 2.59&nbsp<b>Coverage</b>: 15
#organ: CARPEL
#integrated : true
#coverage: 15
#publication_year: 2015
#filename: 3702-CARPEL-integrated.txt
#
#internal_id	string_external_id	abundance
123919	3702.AT2G22795.1	177
116456	3702.AT1G11750.2	152
121368	3702.AT1G71010.1	2.72
122926	3702.AT2G07734.1	41.7
120489	3702.AT1G62780.1	74.0
121693	3702.AT1G74210.1	62.0
122427	3702.AT2G01470.1	81.8
122234	3702.AT1G79530.1	193
140533	3702.AT5G49310.1	13.2
138024	3702.AT5G19090.1	30.8
127707	3702.AT3G11130.1	76.7
131762	3702.AT3G60820.1	1139
128417	3702.AT3G17440.1	49.8
122276	3702.AT1G79940.1	93.3
118442	3702.AT1G31730.1	58.3
127782	3702.AT3G11830.1	645
136813	3702.AT5G06870.1	111
117983	3702.AT1G27050.1	31.9
125760	3702.AT2G40030.1	4.66
136757	3702.AT5G06320.1	368
126328	3702.AT2G45290.1	24.0
121500	3702.AT1G72370.1	1631
129424	3702.AT3G26590.1	248
126240	3702.AT2G44440.1	25.5
125712	3702.AT2G39630.1	23.4
121019	3702.AT1G67750.1	100
129133	3702.AT3G23900.1	44.2
133806	3702.AT4G18100.1	850
121662	3702.AT1G73940.1	93.4
134469	3702.AT4G24190.1	2752
120028	3702.AT1G56580.1	309
128384	3702.AT3G17150.1	58.0
141968	3702.AT5G62670.1	174
120588	3702.AT1G63660.1	45.5
130028	3702.AT3G44300.1	53.4
119697	3702.AT1G53520.1	133
122328	3702.AT1G80480.1	38.2
127748	3702.AT3G11510.1	177
124131	3702.AT2G24765.1	74.4
116862	3702.AT1G15500.1	241
136812	3702.AT5G06860.1	30.8
130863	3702.AT3G52150.1	702
127022	3702.AT3G04520.1	48.9
119741	3702.AT1G53880.1	7.73
136943	3702.AT5G08120.1	22.3
131073	3702.AT3G54110.1	248
115381	3702.AT1G01710.1	21.3
134529	3702.AT4G24760.1	13.2
130402	3702.AT3G47940.1	31.1
126727	3702.AT3G01800.1	34.6
134445	3702.AT4G23980.1	8.42
125340	3702.AT2G36130.1	35.2
134090	3702.AT4G20770.1	20.6
121260	3702.AT1G69960.1	29.6
118272	3702.AT1G30000.1	20.7
125073	3702.AT2G33630.1	34.5
128496	3702.AT3G18165.1	94.8
121764	3702.AT1G74920.1	178
129735	3702.AT3G29310.1	12.6
137510	3702.AT5G14220.1	71.8
138861	3702.AT5G27930.1	40.5
129582	3702.AT3G27960.1	21.0
135374	3702.AT4G32470.1	610
127143	3702.AT3G05560.1	957
135327	3702.AT4G32070.1	19.9
130965	3702.AT3G53110.1	98.6
138266	3702.AT5G22060.1	19.9
126996	3702.AT3G04260.1	55.1
128293	3702.AT3G16290.1	10.8
134704	3702.AT4G26370.1	26.1
120018	3702.AT1G56500.1	16.0
116295	3702.AT1G10290.1	153
120301	3702.AT1G61010.1	60.4
124797	3702.AT2G31140.1	141
120276	3702.AT1G60810.1	7.3
122274	3702.AT1G79920.1	399
120550	3702.AT1G63290.1	163
138832	3702.AT5G27640.2	50.7
126145	3702.AT2G43560.1	245
134627	3702.AT4G25670.1	158
132252	3702.AT4G01610.1	90.5
127560	3702.AT3G09850.1	13.1
116218	3702.AT1G09590.1	118
116923	3702.AT1G16080.1	193
117900	3702.AT1G26340.1	134
118975	3702.AT1G44575.1	1546
122275	3702.AT1G79930.1	142
127069	3702.AT3G04920.1	5120
134255	3702.AT4G22240.1	564
133743	3702.AT4G17560.1	1105
128298	3702.AT3G16340.1	15.7
127467	3702.AT3G08947.1	23.2
133861	3702.AT4G18570.1	13.7
115423	3702.AT1G02130.1	43.5
122246	3702.AT1G79650.4	21.6
128148	3702.AT3G15000.1	264
127674	3702.AT3G10850.1	321
135768	3702.AT4G36080.1	2.11
131496	3702.AT3G58180.1	16.2
125311	3702.AT2G35840.1	124
135132	3702.AT4G30260.1	226
120830	3702.AT1G65960.2	110
130207	3702.AT3G46010.2	37.7
