#id: 36
#name: A.thaliana - Pollen (Integrated)
#score: 8.85
#weight: 
#description: integrated dataset: weighted average of all A.thaliana POLLEN datasets<br/><b>Interaction consistency score</b>: 8.85&nbsp<b>Coverage</b>: 18
#organ: POLLEN
#integrated : true
#coverage: 18
#publication_year: 2017
#filename: 3702-POLLEN-integrated.txt
#
#internal_id	string_external_id	abundance
117609	3702.AT1G22800.1	14.6
132303	3702.AT4G02030.2	55.1
138141	3702.AT5G20150.1	8.84
132139	3702.AT4G00620.1	125
115972	3702.AT1G07340.1	40.7
116638	3702.AT1G13440.1	534
117439	3702.AT1G21190.1	13.5
141024	3702.AT5G53850.2	28.8
118587	3702.AT1G33170.1	695
118020	3702.AT1G27400.1	113
120675	3702.AT1G64500.1	7.4
141087	3702.AT5G54390.1	7.53
135988	3702.AT4G38190.1	135
138113	3702.AT5G19880.1	6.4
139170	3702.AT5G36790.1	5.96
116881	3702.AT1G15710.1	46.8
116979	3702.AT1G16700.1	88.6
126383	3702.AT2G45820.1	15.5
134522	3702.AT4G24680.1	14.3
137743	3702.AT5G16470.1	22.2
116522	3702.AT1G12330.1	1.55
124550	3702.AT2G28760.1	7.36
138066	3702.AT5G19460.1	4.93
122421	3702.AT2G01410.1	42.0
115764	3702.AT1G05360.1	22.9
140892	3702.AT5G52650.1	33.2
129439	3702.AT3G26720.1	0.951
129517	3702.AT3G27380.1	173
121518	3702.AT1G72560.1	2.72
120726	3702.AT1G64980.1	235
124372	3702.AT2G27090.1	8.48
118249	3702.AT1G29810.1	5.0
119501	3702.AT1G51710.1	29.8
118106	3702.AT1G28240.1	6.64
117850	3702.AT1G25375.1	12.1
118586	3702.AT1G33140.1	1831
140389	3702.AT5G48020.1	3.99
118882	3702.AT1G42470.1	39.5
134776	3702.AT4G27020.1	1.83
130861	3702.AT3G52130.1	114
138364	3702.AT5G22990.1	2.46
128699	3702.AT3G20000.1	540
139016	3702.AT5G35090.1	32.5
124516	3702.AT2G28450.1	1.76
133755	3702.AT4G17650.1	7.4
138654	3702.AT5G25754.1	140
123995	3702.AT2G23420.1	77.0
117808	3702.AT1G24706.2	0.706
124273	3702.AT2G26140.1	121
131108	3702.AT3G54470.1	221
140332	3702.AT5G47470.1	4.85
139779	3702.AT5G42570.1	119
120730	3702.AT1G65020.1	10.4
123084	3702.AT2G14120.3	33.8
137531	3702.AT5G14420.1	2.75
131635	3702.AT3G59540.1	233
134081	3702.AT4G20640.1	8.63
137330	3702.AT5G12110.1	80.4
122590	3702.AT2G03120.1	114
115438	3702.AT1G02280.1	2.75
138263	3702.AT5G22030.1	6.08
120794	3702.AT1G65590.1	2.36
119866	3702.AT1G55130.1	38.0
139057	3702.AT5G35570.1	6.99
138916	3702.AT5G28540.1	180
123522	3702.AT2G19000.1	113
135972	3702.AT4G38040.1	7.08
133221	3702.AT4G13230.1	2153
124684	3702.AT2G30105.1	7.35
115679	3702.AT1G04590.2	3.68
136933	3702.AT5G08030.1	2.53
126994	3702.AT3G04240.1	0.954
142377	3702.AT5G66420.2	39.0
138382	3702.AT5G23150.1	1.1
133415	3702.AT4G14780.1	21.4
127257	3702.AT3G06510.2	27.3
135382	3702.AT4G32551.2	1.57
136722	3702.AT5G05990.1	4.4
118707	3702.AT1G34480.1	1.48
128943	3702.AT3G22230.1	724
139518	3702.AT5G40190.1	3.91
131426	3702.AT3G57490.1	19.2
138565	3702.AT5G24850.1	201
121340	3702.AT1G70770.1	933
135762	3702.AT4G36020.1	22.7
127640	3702.AT3G10550.1	2.26
125751	3702.AT2G39960.1	182
134886	3702.AT4G28050.1	23.4
122653	3702.AT2G03780.1	4.84
117753	3702.AT1G24150.1	2.11
126126	3702.AT2G43400.1	19.3
