#name: A.thaliana - Seed (Integrated)
#score: 3.86
#weight: 
#description: integrated dataset: weighted average of all A.thaliana SEED datasets<br/><b>Interaction consistency score</b>: 3.86&nbsp<b>Coverage</b>: 15
#organ: SEED
#integrated : true
#coverage: 15
#publication_year: 2015
#filename: 3702-SEED-integrated.txt
#
#internal_id	string_external_id	abundance
116456	3702.AT1G11750.2	52.4
122717	3702.AT2G04410.1	82.0
128042	3702.AT3G14040.1	5.83
122454	3702.AT2G01730.1	3.61
128674	3702.AT3G19760.1	45.0
123611	3702.AT2G19900.1	1442
132541	3702.AT4G04690.1	2.74
121693	3702.AT1G74210.1	79.7
122427	3702.AT2G01470.1	74.2
122234	3702.AT1G79530.1	41.5
127707	3702.AT3G11130.1	16.4
131762	3702.AT3G60820.1	562
132097	3702.AT4G00260.1	11.8
128417	3702.AT3G17440.1	52.7
122276	3702.AT1G79940.1	12.0
138110	3702.AT5G19860.1	326
131376	3702.AT3G57010.1	14.1
115556	3702.AT1G03360.1	12.7
118442	3702.AT1G31730.1	27.0
136929	3702.AT5G07990.1	17.1
121583	3702.AT1G73190.1	1388
127782	3702.AT3G11830.1	242
128499	3702.AT3G18190.1	592
115741	3702.AT1G05150.1	8.85
125760	3702.AT2G40030.1	1.59
126328	3702.AT2G45290.1	484
140187	3702.AT5G46140.1	21.9
138077	3702.AT5G19550.1	661
131753	3702.AT3G60730.1	476
133806	3702.AT4G18100.1	252
121662	3702.AT1G73940.1	19.3
134469	3702.AT4G24190.1	358
118991	3702.AT1G44910.1	6.46
126104	3702.AT2G43210.1	7.62
124379	3702.AT2G27150.1	9.36
120588	3702.AT1G63660.1	5.55
132378	3702.AT4G02690.1	18.0
130028	3702.AT3G44300.1	110
118244	3702.AT1G29760.1	3.5
119697	3702.AT1G53520.1	135
133152	3702.AT4G12570.1	1.52
127748	3702.AT3G11510.1	14.2
124131	3702.AT2G24765.1	56.3
128673	3702.AT3G19740.1	2.43
136444	3702.AT5G03400.1	17.7
136812	3702.AT5G06860.1	19.7
135355	3702.AT4G32300.1	4.52
141555	3702.AT5G58710.1	291
132098	3702.AT4G00270.1	13.1
118519	3702.AT1G32440.1	11.3
117929	3702.AT1G26630.1	221
142531	3702.ATCG00340.1	13.9
141836	3702.AT5G61410.1	356
140191	3702.AT5G46180.1	23.2
119083	3702.AT1G47540.2	1114
125071	3702.AT2G33610.1	7.65
136261	3702.AT5G01650.2	118
121260	3702.AT1G69960.1	9.22
118272	3702.AT1G30000.1	33.8
128013	3702.AT3G13790.1	14.0
121764	3702.AT1G74920.1	183
117248	3702.AT1G19320.1	12.8
137510	3702.AT5G14220.1	35.5
119306	3702.AT1G49760.1	148
135374	3702.AT4G32470.1	970
127143	3702.AT3G05560.1	492
135327	3702.AT4G32070.1	1.49
119857	3702.AT1G55040.1	3.12
130965	3702.AT3G53110.1	16.2
119909	3702.AT1G55510.1	7.92
138320	3702.AT5G22580.1	29.1
115898	3702.AT1G06590.1	3.13
139656	3702.AT5G41480.1	27.1
120018	3702.AT1G56500.1	4.63
128949	3702.AT3G22270.1	8.84
122274	3702.AT1G79920.1	74.0
120550	3702.AT1G63290.1	54.2
138832	3702.AT5G27640.2	10.9
133740	3702.AT4G17530.1	32.8
137110	3702.AT5G09995.2	30.1
120463	3702.AT1G62500.1	24.8
119907	3702.AT1G55490.1	6.06
118975	3702.AT1G44575.1	1085
122275	3702.AT1G79930.1	30.1
126684	3702.AT3G01420.1	44.1
127069	3702.AT3G04920.1	2199
141159	3702.AT5G55070.1	29.1
134255	3702.AT4G22240.1	254
133743	3702.AT4G17560.1	54.4
128298	3702.AT3G16340.1	3.21
127467	3702.AT3G08947.1	4.8
135294	3702.AT4G31770.1	15.8
134114	3702.AT4G21020.1	2418
115423	3702.AT1G02130.1	35.2
140797	3702.AT5G51760.1	8.43
127674	3702.AT3G10850.1	113
140152	3702.AT5G45830.1	354
133814	3702.AT4G18180.1	3.74
134809	3702.AT4G27370.1	3.91
132602	3702.AT4G05160.1	59.7
125311	3702.AT2G35840.1	75.1
132359	3702.AT4G02520.1	447
136044	3702.AT4G38740.1	4418
131788	3702.AT3G61060.2	11.0
139239	3702.AT5G37510.2	140
119438	3702.AT1G51110.1	12.9
141487	3702.AT5G58060.2	146
131786	3702.AT3G61040.1	15.1
116089	3702.AT1G08360.1	15.6
124864	3702.AT2G31750.1	13.3
142638	3702.ATMG00513.1	3.09
115763	3702.AT1G05350.1	30.3
123680	3702.AT2G20560.1	48.5
127950	3702.AT3G13330.1	29.8
136076	3702.AT4G39050.1	1.66
134569	3702.AT4G25140.1	57819
116176	3702.AT1G09210.1	42.5
120751	3702.AT1G65220.1	13.4
140805	3702.AT5G51820.1	39.8
123418	3702.AT2G18020.1	29.9
131962	3702.AT3G62600.1	4.28
131789	3702.AT3G61070.1	21.0
139065	3702.AT5G35630.1	25.5
132985	3702.AT4G10960.1	29.6
130206	3702.AT3G46000.1	101
136493	3702.AT5G03820.1	343
124749	3702.AT2G30740.1	4.62
129736	3702.AT3G29320.1	64.1
135319	3702.AT4G31990.3	121
123349	3702.AT2G17380.1	29.4
135580	3702.AT4G34350.1	20.7
127455	3702.AT3G08840.2	3.21
127466	3702.AT3G08943.1	19.3
122421	3702.AT2G01410.1	10.0
