#id: 152
#name: A.thaliana - Cotyledon, SC (Baerenfaller,pep2pro,2012)
#score: 5.24
#weight: 100%
#description: abundance based on Spectral counting, from<a href="http://fgcz-pep2pro.uzh.ch/" target="_blank">Baerenfaller,pep2pro,2012</a><br/><b>Interaction consistency score</b>: 5.24&nbsp<b>Coverage</b>: 19
#organ: COTYLEDON
#integrated: false
#coverage: 19
#publication_year: 2012
#filename: 3702-arabidopsis1c_cotyledon_Baerenfaller_PRIDE.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
141501	3702.AT5G58200.2	6.57	1
127857	3702.AT3G12550.1	17.2	3
129605	3702.AT3G28200.1	137	15
132139	3702.AT4G00620.1	60.4	3
130972	3702.AT3G53180.1	78.7	17
136317	3702.AT5G02160.1	271	10
117850	3702.AT1G25375.1	7.39	1
141024	3702.AT5G53850.2	55.6	10
120675	3702.AT1G64500.1	28.9	3
115491	3702.AT1G02780.1	1813	25
138113	3702.AT5G19880.1	22.7	2
142552	3702.ATCG00630.1	561	10
136170	3702.AT4G39940.1	14.0	1
140355	3702.AT5G47690.3	77.0	31
133887	3702.AT4G18800.1	16.6	1
126383	3702.AT2G45820.1	1471	21
127020	3702.AT3G04500.1	26.3	1
131704	3702.AT3G60260.1	14.9	1
141086	3702.AT5G54380.1	14.8	2
141288	3702.AT5G56260.1	70.2	4
134515	3702.AT4G24620.1	523	84
137617	3702.AT5G15270.1	22.6	2
133244	3702.AT4G13400.1	4.91	1
122421	3702.AT2G01410.1	37.8	4
126810	3702.AT3G02560.1	548	12
140892	3702.AT5G52650.1	23.9	2
129439	3702.AT3G26720.1	80.5	24
137450	3702.AT5G13650.2	316	47
129010	3702.AT3G22845.1	29.8	1
121518	3702.AT1G72560.1	2.0	1
120726	3702.AT1G64980.1	56.9	5
116638	3702.AT1G13440.1	1121	64
133611	3702.AT4G16370.1	37.8	6
119501	3702.AT1G51710.1	10.0	2
131378	3702.AT3G57030.1	5.69	1
141205	3702.AT5G55500.1	3.54	1
118586	3702.AT1G33140.1	519	44
140389	3702.AT5G48020.1	14.8	2
137959	3702.AT5G18480.1	9.49	2
126634	3702.AT3G01060.1	11.5	2
128699	3702.AT3G20000.1	63.8	7
115551	3702.AT1G03310.1	39.4	7
125546	3702.AT2G38020.1	12.9	3
126050	3702.AT2G42690.1	153	18
130916	3702.AT3G52660.1	17.0	2
138654	3702.AT5G25754.1	91.5	26
142313	3702.AT5G65840.1	37.2	5
123995	3702.AT2G23420.1	24.0	4
119371	3702.AT1G50450.1	249	18
126473	3702.AT2G46650.1	49.2	2
124273	3702.AT2G26140.1	16.2	3
137514	3702.AT5G14260.1	115	18
131108	3702.AT3G54470.1	76.4	10
120856	3702.AT1G66200.3	415	26
125623	3702.AT2G38730.1	12.5	1
137435	3702.AT5G13490.1	107	10
118823	3702.AT1G36160.1	81.4	51
122072	3702.AT1G77930.1	49.3	3
117200	3702.AT1G18840.1	12.6	1
131442	3702.AT3G57650.1	22.1	3
138133	3702.AT5G20070.1	11.1	1
133341	3702.AT4G14230.1	8.43	1
125184	3702.AT2G34660.1	11.5	5
115438	3702.AT1G02280.1	165	12
141620	3702.AT5G59320.1	93.5	3
120794	3702.AT1G65590.1	126	24
119220	3702.AT1G48880.1	9.06	1
138873	3702.AT5G28020.1	140	9
138916	3702.AT5G28540.1	13.1	2
134831	3702.AT4G27570.1	44.4	3
133174	3702.AT4G12780.1	13.1	1
129432	3702.AT3G26650.1	2285	196
125610	3702.AT2G38620.2	22.7	1
136740	3702.AT5G06160.1	47.4	3
142340	3702.AT5G66060.1	7.81	1
142377	3702.AT5G66420.2	68.8	14
124156	3702.AT2G25070.1	14.6	1
127257	3702.AT3G06510.2	122	22
134504	3702.AT4G24510.1	31.9	4
128289	3702.AT3G16250.1	33.1	1
142483	3702.AT5G67385.1	107	18
139518	3702.AT5G40190.1	23.5	1
119688	3702.AT1G53430.1	12.8	4
127026	3702.AT3G04550.1	26.3	3
135762	3702.AT4G36020.1	8.27	1
125751	3702.AT2G39960.1	9.2	1
136597	3702.AT5G04830.1	37.9	2
139539	3702.AT5G40390.1	68.3	15
120162	3702.AT1G59610.1	76.4	19
119775	3702.AT1G54170.1	2.4	1
118682	3702.AT1G34220.1	18.0	3
127450	3702.AT3G08780.1	28.9	3
140578	3702.AT5G49720.1	8.58	2
135676	3702.AT4G35250.1	474	65
133316	3702.AT4G14070.1	153	36
123498	3702.AT2G18790.1	7.87	2
133282	3702.AT4G13770.1	109	16
133122	3702.AT4G12310.1	6.38	1
132916	3702.AT4G10340.1	7748	623
126145	3702.AT2G43560.1	603	25
129194	3702.AT3G24480.1	28.2	4
126661	3702.AT3G01310.1	15.3	6
131191	3702.AT3G55250.1	131	13
138981	3702.AT5G33280.1	4.68	1
135698	3702.AT4G35470.1	31.9	4
142597	3702.ATCG01300.1	223	8
129391	3702.AT3G26290.1	6.2	1
141491	3702.AT5G58100.1	54.9	11
115422	3702.AT1G02120.1	18.1	3
117123	3702.AT1G18060.1	153	11
118945	3702.AT1G43890.1	52.8	4
125540	3702.AT2G37970.1	38.5	2
117488	3702.AT1G21670.1	106	24
133661	3702.AT4G16770.1	10.8	1
135622	3702.AT4G34730.1	83.9	4
120330	3702.AT1G61250.1	72.9	4
136247	3702.AT5G01510.1	8.8	1
121561	3702.AT1G72990.1	1.22	1
135501	3702.AT4G33640.1	143	5
133686	3702.AT4G16990.2	4.67	1
118515	3702.AT1G32410.1	94.3	1
121106	3702.AT1G68530.1	94.6	10
131178	3702.AT3G55120.1	157	13
137259	3702.AT5G11420.1	115	8
122424	3702.AT2G01440.1	4.82	1
128373	3702.AT3G17020.1	330	12
139473	3702.AT5G39740.1	26.6	2
124600	3702.AT2G29320.1	43.5	3
117499	3702.AT1G21750.1	173	26
139159	3702.AT5G36690.1	13.6	2
135737	3702.AT4G35790.1	54.6	15
142637	3702.ATMG00510.1	61.3	10
138066	3702.AT5G19460.1	7.89	1
116491	3702.AT1G12050.1	15.4	2
120700	3702.AT1G64710.1	8.07	1
133467	3702.AT4G15180.1	1.14	1
132617	3702.AT4G05330.1	9.36	1
123442	3702.AT2G18230.1	274	11
116293	3702.AT1G10270.1	5.67	1
119312	3702.AT1G49820.1	23.2	2
125025	3702.AT2G33210.1	68.4	9
135039	3702.AT4G29410.1	232	4
141862	3702.AT5G61640.1	63.8	2
117380	3702.AT1G20640.1	8.29	1
128692	3702.AT3G19930.1	17.7	2
131799	3702.AT3G61140.1	31.8	4
128734	3702.AT3G20330.1	135	10
119224	3702.AT1G48920.1	116	21
122810	3702.AT2G05710.1	470	117
116384	3702.AT1G11100.2	6.65	2
138320	3702.AT5G22580.1	28.3	1
123269	3702.AT2G16600.1	887	42
125625	3702.AT2G38750.1	77.5	5
121285	3702.AT1G70220.1	33.1	2
124723	3702.AT2G30490.1	97.4	11
123607	3702.AT2G19870.1	17.2	2
139020	3702.AT5G35160.2	8.21	2
115705	3702.AT1G04820.1	11.2	4
127348	3702.AT3G07390.1	271	22
124749	3702.AT2G30740.1	8.37	1
133647	3702.AT4G16660.1	75.4	15
129015	3702.AT3G22890.1	429	45
117165	3702.AT1G18500.1	8.85	1
123427	3702.AT2G18110.1	152	6
127449	3702.AT3G08770.2	114	2
139914	3702.AT5G43710.1	5.07	1
142519	3702.ATCG00140.1	3515	21
128528	3702.AT3G18430.1	79.1	3
119570	3702.AT1G52360.2	27.3	10
138373	3702.AT5G23060.1	2648	205
135555	3702.AT4G34138.1	5.56	1
142591	3702.ATCG01130.1	103	55
117560	3702.AT1G22280.3	53.4	3
115370	3702.AT1G01610.1	12.2	2
125656	3702.AT2G39080.1	66.5	5
121907	3702.AT1G76400.1	80.9	12
134412	3702.AT4G23670.1	1806	68
131645	3702.AT3G59650.2	21.2	1
140092	3702.AT5G45275.1	9.9	1
124372	3702.AT2G27090.1	4.57	1
126397	3702.AT2G45960.3	540	42
142334	3702.AT5G66030.1	7.08	1
119463	3702.AT1G51360.1	24.7	2
129166	3702.AT3G24190.1	71.9	18
123652	3702.AT2G20330.1	4.05	1
130489	3702.AT3G48710.1	12.9	1
137947	3702.AT5G18400.2	12.4	1
134537	3702.AT4G24830.1	252	29
139401	3702.AT5G39050.1	24.1	3
137593	3702.AT5G15050.1	6.66	1
124072	3702.AT2G24270.4	651	100
125946	3702.AT2G41680.1	253	29
120452	3702.AT1G62390.1	67.9	14
141809	3702.AT5G61150.1	4.11	1
127841	3702.AT3G12390.1	126	8
137817	3702.AT5G17170.1	419	31
127897	3702.AT3G12915.1	61.5	10
127537	3702.AT3G09630.1	101	12
139200	3702.AT5G37160.1	4.97	1
134883	3702.AT4G28025.1	33.0	2
118077	3702.AT1G27970.2	295	13
116814	3702.AT1G15040.1	11.6	1
127539	3702.AT3G09650.1	3.88	1
135576	3702.AT4G34310.1	7.07	1
130090	3702.AT3G44890.1	1067	38
121110	3702.AT1G68560.1	189	51
142708	3702.ATMG01270.1	50.3	2
119249	3702.AT1G49180.1	10.7	1
140249	3702.AT5G46750.1	19.2	2
132068	3702.AT4G00030.1	42.8	2
131340	3702.AT3G56660.1	5.07	1
140677	3702.AT5G50600.1	9.95	2
131583	3702.AT3G59040.2	9.58	2
121372	3702.AT1G71040.1	61.2	11
130419	3702.AT3G48110.1	315	79
141462	3702.AT5G57840.1	4.11	1
115542	3702.AT1G03220.1	263	24
138178	3702.AT5G20500.1	49.1	2
117369	3702.AT1G20540.1	2.77	1
126640	3702.AT3G01120.1	79.0	13
127243	3702.AT3G06400.3	9.27	1
118356	3702.AT1G30820.1	18.7	2
120613	3702.AT1G63940.2	566	87
