#id: 191
#name: A.thaliana - Pollen, SC (Baerenfaller,pep2pro,2012)
#score: 6.35
#weight: 100%
#description: abundance based on Spectral counting, from<a href="http://fgcz-pep2pro.uzh.ch/" target="_blank">Baerenfaller,pep2pro,2012</a><br/><b>Interaction consistency score</b>: 6.35&nbsp<b>Coverage</b>: 18
#organ: POLLEN
#integrated: false
#coverage: 18
#publication_year: 2012
#filename: 3702-arabidopsis1h_pollen_Baerenfaller_PRIDE.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
117609	3702.AT1G22800.1	13.0	2
138113	3702.AT5G19880.1	12.8	1
138141	3702.AT5G20150.1	17.7	1
132139	3702.AT4G00620.1	109	12
136472	3702.AT5G03620.1	1779	433
117850	3702.AT1G25375.1	13.4	3
141024	3702.AT5G53850.2	30.0	6
118587	3702.AT1G33170.1	668	159
120675	3702.AT1G64500.1	14.8	1
141087	3702.AT5G54390.1	15.1	2
135988	3702.AT4G38190.1	133	51
132303	3702.AT4G02030.2	64.7	17
139170	3702.AT5G36790.1	11.9	2
116881	3702.AT1G15710.1	47.9	7
126383	3702.AT2G45820.1	31.1	1
123174	3702.AT2G15420.1	5.77	1
134522	3702.AT4G24680.1	16.5	7
137743	3702.AT5G16470.1	44.5	1
116522	3702.AT1G12330.1	3.1	1
138066	3702.AT5G19460.1	4.19	1
122421	3702.AT2G01410.1	34.8	6
115764	3702.AT1G05360.1	27.2	4
126810	3702.AT3G02560.1	1045	45
140892	3702.AT5G52650.1	36.7	5
129439	3702.AT3G26720.1	1.9	1
142320	3702.AT5G65910.1	6.7	1
129517	3702.AT3G27380.1	156	11
121518	3702.AT1G72560.1	5.43	2
120726	3702.AT1G64980.1	230	29
116638	3702.AT1G13440.1	482	43
118249	3702.AT1G29810.1	9.99	1
119501	3702.AT1G51710.1	28.7	6
118106	3702.AT1G28240.1	13.3	3
127532	3702.AT3G09570.1	12.0	2
118586	3702.AT1G33140.1	2305	286
140389	3702.AT5G48020.1	7.97	1
134776	3702.AT4G27020.1	3.66	1
130861	3702.AT3G52130.1	102	7
138364	3702.AT5G22990.1	4.93	1
128699	3702.AT3G20000.1	489	68
139016	3702.AT5G35090.1	34.8	3
124516	3702.AT2G28450.1	3.51	1
119569	3702.AT1G52343.1	58.5	6
138654	3702.AT5G25754.1	177	66
130750	3702.AT3G51100.1	7.88	1
130908	3702.AT3G52570.1	30.6	4
124955	3702.AT2G32600.1	7.39	1
124273	3702.AT2G26140.1	117	28
136064	3702.AT4G38930.2	8.54	1
140332	3702.AT5G47470.1	9.69	1
125623	3702.AT2G38730.1	22.6	1
137435	3702.AT5G13490.1	1477	195
127559	3702.AT3G09840.1	369	101
123084	3702.AT2G14120.3	28.8	9
137531	3702.AT5G14420.1	5.51	1
131635	3702.AT3G59540.1	316	10
134081	3702.AT4G20640.1	8.71	21
138133	3702.AT5G20070.1	51.6	9
122590	3702.AT2G03120.1	124	23
115438	3702.AT1G02280.1	5.5	1
