#id: 153
#name: A.thaliana - Root, SC (Baerenfaller,pep2pro,2012)
#score: 6.81
#weight: 100%
#description: abundance based on Spectral counting, from<a href="http://fgcz-pep2pro.uzh.ch/" target="_blank">Baerenfaller,pep2pro,2012</a><br/><b>Interaction consistency score</b>: 6.81&nbsp<b>Coverage</b>: 42
#organ: ROOT
#integrated: false
#coverage: 42
#publication_year: 2012
#filename: 3702-arabidopsis1i_root_Baerenfaller_PRIDE.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
117609	3702.AT1G22800.1	3.8	5
138113	3702.AT5G19880.1	11.2	14
135374	3702.AT4G32470.1	1788	438
117850	3702.AT1G25375.1	6.32	10
132715	3702.AT4G08360.1	1.13	1
141806	3702.AT5G61120.1	0.917	1
126063	3702.AT2G42820.1	13.1	13
133644	3702.AT4G16630.1	7.42	20
119866	3702.AT1G55130.1	1.0	2
132303	3702.AT4G02030.2	8.63	23
116881	3702.AT1G15710.1	8.54	13
119356	3702.AT1G50300.1	1.53	2
132396	3702.AT4G02840.2	25.2	16
116522	3702.AT1G12330.1	0.266	1
124202	3702.AT2G25480.1	10.1	6
138066	3702.AT5G19460.1	1.07	2
131839	3702.AT3G61490.1	1.1	3
140892	3702.AT5G52650.1	16.9	24
140430	3702.AT5G48400.2	0.454	1
129517	3702.AT3G27380.1	76.3	60
118168	3702.AT1G29020.1	0.287	1
121518	3702.AT1G72560.1	2.25	12
120726	3702.AT1G64980.1	28.1	36
129431	3702.AT3G26640.1	4.71	6
127849	3702.AT3G12480.1	33.5	38
133611	3702.AT4G16370.1	2.18	6
140268	3702.AT5G46890.1	2.48	2
135204	3702.AT4G30940.1	0.844	1
118586	3702.AT1G33140.1	3951	5290
130006	3702.AT3G44110.1	161	175
117251	3702.AT1G19350.3	1.59	2
137787	3702.AT5G16890.1	1.91	5
138654	3702.AT5G25754.1	172	696
142313	3702.AT5G65840.1	2.17	4
117912	3702.AT1G26460.1	47.9	121
136064	3702.AT4G38930.2	20.2	12
142325	3702.AT5G65950.1	17.3	84
129516	3702.AT3G27360.1	20.7	25
131389	3702.AT3G57120.1	1.26	2
116424	3702.AT1G11475.1	10.1	3
