#id: 302
#name: A.thaliana - Seed, SC (Baerenfaller,pep2pro,2012)
#score: 2.31
#weight: 100%
#description: abundance based on Spectral counting, from<a href="http://fgcz-pep2pro.uzh.ch/" target="_blank">Baerenfaller,pep2pro,2012</a><br/><b>Interaction consistency score</b>: 2.31&nbsp<b>Coverage</b>: 14
#organ: SEED
#integrated: false
#coverage: 14
#publication_year: 2012
#filename: 3702-arabidopsis1k_seed_Baerenfaller_PRIDE.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
129605	3702.AT3G28200.1	32.2	7
132139	3702.AT4G00620.1	129	9
136317	3702.AT5G02160.1	121	2
141024	3702.AT5G53850.2	17.4	4
123780	3702.AT2G21390.1	85.3	33
116881	3702.AT1G15710.1	9.32	1
140355	3702.AT5G47690.3	7.69	4
133887	3702.AT4G18800.1	21.4	1
126383	3702.AT2G45820.1	35.1	1
134522	3702.AT4G24680.1	7.22	3
141427	3702.AT5G57550.1	2291	156
141288	3702.AT5G56260.1	12.6	1
134515	3702.AT4G24620.1	461	79
122421	3702.AT2G01410.1	9.46	1
140892	3702.AT5G52650.1	10.3	1
129439	3702.AT3G26720.1	127	40
129517	3702.AT3G27380.1	56.0	3
121518	3702.AT1G72560.1	5.03	2
120726	3702.AT1G64980.1	9.95	1
136472	3702.AT5G03620.1	9.41	2
133611	3702.AT4G16370.1	5.38	1
119501	3702.AT1G51710.1	22.9	4
121440	3702.AT1G71820.2	9.22	2
118077	3702.AT1G27970.2	103	7
140389	3702.AT5G48020.1	25.5	3
128699	3702.AT3G20000.1	106	11
139641	3702.AT5G41340.1	30.0	1
125290	3702.AT2G35670.1	2.79	1
138654	3702.AT5G25754.1	94.0	32
116028	3702.AT1G07830.1	58.1	1
130908	3702.AT3G52570.1	4.22	1
117912	3702.AT1G26460.1	5.35	1
124273	3702.AT2G26140.1	3.3	1
131108	3702.AT3G54470.1	35.9	5
120856	3702.AT1G66200.3	34.1	3
139779	3702.AT5G42570.1	86.7	12
120730	3702.AT1G65020.1	6.4	1
129573	3702.AT3G27890.1	55.1	2
118823	3702.AT1G36160.1	37.9	26
137531	3702.AT5G14420.1	8.66	1
131635	3702.AT3G59540.1	957	28
138133	3702.AT5G20070.1	16.8	2
131165	3702.AT3G55000.1	29.6	2
122590	3702.AT2G03120.1	41.7	6
115646	3702.AT1G04270.1	49.7	3
120794	3702.AT1G65590.1	57.1	15
138873	3702.AT5G28020.1	24.6	2
138916	3702.AT5G28540.1	65.1	11
129432	3702.AT3G26650.1	72.7	10
134580	3702.AT4G25240.1	22.1	5
128773	3702.AT3G20670.1	63.6	2
123481	3702.AT2G18630.1	11.3	1
142377	3702.AT5G66420.2	222	41
127257	3702.AT3G06510.2	5.84	1
124619	3702.AT2G29500.1	384	7
125010	3702.AT2G33070.3	1832	313
128074	3702.AT3G14310.1	26.6	7
127229	3702.AT3G06260.1	14.5	1
121340	3702.AT1G70770.1	396	58
129262	3702.AT3G25110.1	81.6	7
125751	3702.AT2G39960.1	53.5	3
130425	3702.AT3G48170.1	27.9	3
128527	3702.AT3G18420.1	67.0	4
118682	3702.AT1G34220.1	4.86	1
127450	3702.AT3G08780.1	8.98	1
136263	3702.AT5G01670.2	1980	221
127935	3702.AT3G13224.2	14.0	1
126957	3702.AT3G03890.1	14.9	1
129164	3702.AT3G24170.1	209	31
132916	3702.AT4G10340.1	316	29
126145	3702.AT2G43560.1	56.0	2
131977	3702.AT3G62750.1	8.03	1
125309	3702.AT2G35820.1	33.2	2
129391	3702.AT3G26290.1	21.3	3
141491	3702.AT5G58100.1	40.0	10
118402	3702.AT1G31290.1	1.35	1
118945	3702.AT1G43890.1	136	12
125540	3702.AT2G37970.1	164	11
117488	3702.AT1G21670.1	182	48
117002	3702.AT1G16900.1	3.32	1
120330	3702.AT1G61250.1	46.2	4
130230	3702.AT3G46220.2	19.3	4
126777	3702.AT3G02260.1	1.65	3
137755	3702.AT5G16570.1	14.4	1
127112	3702.AT3G05290.1	5.75	1
121106	3702.AT1G68530.1	9.25	1
131178	3702.AT3G55120.1	32.4	4
122424	3702.AT2G01440.1	3.05	1
128373	3702.AT3G17020.1	228	11
117499	3702.AT1G21750.1	2041	329
129318	3702.AT3G25680.1	16.9	2
116802	3702.AT1G14930.1	6385	158
142637	3702.ATMG00510.1	12.0	2
138831	3702.AT5G27630.1	3.23	1
134098	3702.AT4G20850.1	723	322
116491	3702.AT1G12050.1	32.2	6
120700	3702.AT1G64710.1	12.3	1
127873	3702.AT3G12690.1	6.08	1
119312	3702.AT1G49820.1	35.3	3
119669	3702.AT1G53280.1	262	34
125025	3702.AT2G33210.1	77.1	14
129495	3702.AT3G27190.1	9.43	2
140367	3702.AT5G47810.1	249	19
131799	3702.AT3G61140.1	23.9	4
128734	3702.AT3G20330.1	23.9	4
130909	3702.AT3G52580.1	13.6	1
119224	3702.AT1G48920.1	45.6	8
122810	3702.AT2G05710.1	379	102
138320	3702.AT5G22580.1	26.7	1
123269	3702.AT2G16600.1	1512	79
132504	3702.AT4G04090.1	3.93	1
123607	3702.AT2G19870.1	4.37	1
139020	3702.AT5G35160.2	8.25	2
116803	3702.AT1G14940.1	2744	131
142540	3702.ATCG00490.1	2527	208
130105	3702.AT3G45030.1	123	10
127348	3702.AT3G07390.1	380	39
123424	3702.AT2G18080.1	3.99	1
129015	3702.AT3G22890.1	12.0	2
117165	3702.AT1G18500.1	29.0	5
120168	3702.AT1G59670.1	13.3	1
142519	3702.ATCG00140.1	173	2
131918	3702.AT3G62170.1	40.4	7
119570	3702.AT1G52360.2	16.8	8
138373	3702.AT5G23060.1	232	23
119674	3702.AT1G53310.1	65.8	18
142591	3702.ATCG01130.1	2.65	2
