#id: 65
#name: Z.mays - Leaf (Integrated)
#score: 3.93
#weight: 
#description: integrated dataset: weighted average of all Z.mays LEAF datasets<br/><b>Interaction consistency score</b>: 3.93&nbsp<b>Coverage</b>: 18
#organ: LEAF
#integrated : true
#coverage: 18
#publication_year: 2017
#filename: 4577-LEAF-integrated.txt
#
#internal_id	string_external_id	abundance
536573	4577.GRMZM2G436931_P01	1.46
503412	4577.GRMZM2G088983_P01	548
500990	4577.GRMZM2G077744_P01	34.1
516086	4577.GRMZM2G147245_P01	13.6
532211	4577.GRMZM2G390670_P01	140
480329	4577.AC209888.3_FGP002	5.21
489990	4577.GRMZM2G027385_P01	5.06
511130	4577.GRMZM2G124288_P01	139
511325	4577.GRMZM2G125044_P01	96.5
502217	4577.GRMZM2G083324_P01	0.33
488381	4577.GRMZM2G019872_P01	1.82
497735	4577.GRMZM2G062738_P01	5.34
489337	4577.GRMZM2G024331_P01	0.043
532727	4577.GRMZM2G396451_P02	24.4
486574	4577.GRMZM2G011456_P03	33.3
525483	4577.GRMZM2G319357_P01	10.1
555261	4577.GRMZM5G809370_P01	0.052
510516	4577.GRMZM2G121514_P01	16.6
492275	4577.GRMZM2G037999_P02	0.264
510863	4577.GRMZM2G123159_P01	28.0
497072	4577.GRMZM2G059958_P01	2.53
556684	4577.GRMZM5G825854_P02	21.4
554354	4577.GRMZM2G704370_P01	0.22
487084	4577.GRMZM2G013783_P01	7.64
508957	4577.GRMZM2G113990_P05	0.413
507285	4577.GRMZM2G106690_P01	155
505872	4577.GRMZM2G100234_P01	0.169
509301	4577.GRMZM2G115598_P01	52.3
492540	4577.GRMZM2G039254_P01	1.65
499424	4577.GRMZM2G070708_P01	0.347
516824	4577.GRMZM2G150598_P02	36.3
527614	4577.GRMZM2G342039_P01	3.65
486892	4577.GRMZM2G012904_P01	6.9
485921	4577.GRMZM2G008556_P01	20.9
557507	4577.GRMZM5G834758_P03	1064
484241	4577.GRMZM2G000959_P01	0.421
481750	4577.AC213612.3_FGP002	0.307
519323	4577.GRMZM2G162184_P01	4.7
503804	4577.GRMZM2G090689_P01	7.63
522640	4577.GRMZM2G177596_P01	1.75
527526	4577.GRMZM2G341058_P01	8.47
513375	4577.GRMZM2G134731_P01	33.0
505706	4577.GRMZM2G099454_P03	0.822
