#id: 186
#name: Z.mays - Leaf, Zone2, SC (Facette,PlantCell,2013)
#score: 3.12
#weight: 100%
#description: abundance based on Spectral counting, zone2, from<a href="http://www.ncbi.nlm.nih.gov/pubmed/23933881" target="_blank">Facette,Plant Cell,2013</a><br/><b>Interaction consistency score</b>: 3.12&nbsp<b>Coverage</b>: 15
#organ: LEAF
#integrated: false
#coverage: 15
#publication_year: 2013
#filename: 4577-Mays_SC_zone2_rep1234_Facette_2013.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
536573	4577.GRMZM2G436931_P01	2.27	24
503412	4577.GRMZM2G088983_P01	2.88	1
511325	4577.GRMZM2G125044_P01	150	289
516086	4577.GRMZM2G147245_P01	11.9	66
532211	4577.GRMZM2G390670_P01	3.2	7
480329	4577.AC209888.3_FGP002	2.71	4
508957	4577.GRMZM2G113990_P05	0.376	1
508714	4577.GRMZM2G113016_P01	1.61	7
500990	4577.GRMZM2G077744_P01	41.6	67
502217	4577.GRMZM2G083324_P01	0.932	8
524038	4577.GRMZM2G305060_P01	0.732	3
515608	4577.GRMZM2G145088_P01	67.8	340
532727	4577.GRMZM2G396451_P02	31.9	344
486574	4577.GRMZM2G011456_P03	47.9	181
525483	4577.GRMZM2G319357_P01	2.21	5
511171	4577.GRMZM2G124434_P01	23.0	63
492275	4577.GRMZM2G037999_P02	0.309	2
510863	4577.GRMZM2G123159_P01	34.0	44
500723	4577.GRMZM2G076450_P01	2.68	7
556684	4577.GRMZM5G825854_P02	21.5	81
557142	4577.GRMZM5G830681_P01	61.1	862
487084	4577.GRMZM2G013783_P01	10.8	35
507285	4577.GRMZM2G106690_P01	262	377
505872	4577.GRMZM2G100234_P01	0.157	20
509301	4577.GRMZM2G115598_P01	90.9	913
492540	4577.GRMZM2G039254_P01	1.85	8
511699	4577.GRMZM2G126732_P01	0.399	4
516824	4577.GRMZM2G150598_P02	32.8	80
527614	4577.GRMZM2G342039_P01	9.21	21
486892	4577.GRMZM2G012904_P01	7.46	50
485921	4577.GRMZM2G008556_P01	27.6	93
498659	4577.GRMZM2G067156_P01	0.43	1
505058	4577.GRMZM2G096424_P01	72.1	96
519323	4577.GRMZM2G162184_P01	4.41	16
527526	4577.GRMZM2G341058_P01	4.99	226
513375	4577.GRMZM2G134731_P01	60.5	116
518188	4577.GRMZM2G156848_P01	16.5	13
519359	4577.GRMZM2G162329_P01	45.5	5
503528	4577.GRMZM2G089498_P02	0.893	2
534387	4577.GRMZM2G414373_P01	5.47	4
505102	4577.GRMZM2G096662_P01	139	768
506173	4577.GRMZM2G101523_P02	13.8	45
487712	4577.GRMZM2G016844_P01	0.274	1
512936	4577.GRMZM2G132777_P01	12.5	64
512508	4577.GRMZM2G130651_P01	14.1	27
488905	4577.GRMZM2G022213_P01	0.067	6
530901	4577.GRMZM2G376731_P01	58.3	293
554693	4577.GRMZM5G803361_P01	9.11	157
492843	4577.GRMZM2G040554_P01	16.9	59
506442	4577.GRMZM2G102898_P01	17.5	35
488381	4577.GRMZM2G019872_P01	0.192	1
503782	4577.GRMZM2G090594_P01	1.37	1
499377	4577.GRMZM2G070514_P02	6.45	38
505932	4577.GRMZM2G100467_P01	216	3
500702	4577.GRMZM2G076368_P01	36.1	214
495252	4577.GRMZM2G051756_P01	0.743	4
534542	4577.GRMZM2G415846_P01	5.27	21
490888	4577.GRMZM2G031519_P01	17.9	61
507425	4577.GRMZM2G107395_P01	446	2129
524274	4577.GRMZM2G307252_P01	25.7	127
521443	4577.GRMZM2G172001_P04	4.86	12
503305	4577.GRMZM2G088396_P01	20.5	27
535129	4577.GRMZM2G421541_P01	2.66	9
529398	4577.GRMZM2G360626_P01	1.14	4
500012	4577.GRMZM2G073312_P01	6.23	66
534278	4577.GRMZM2G413253_P01	2.57	19
493465	4577.GRMZM2G043310_P01	0.333	3
540457	4577.GRMZM2G477771_P01	2.39	27
504548	4577.GRMZM2G093999_P01	1.74	2
496705	4577.GRMZM2G058300_P01	41.1	87
488115	4577.GRMZM2G018667_P01	0.163	1
530886	4577.GRMZM2G376600_P01	15.5	66
513522	4577.GRMZM2G135362_P01	0.499	2
518666	4577.GRMZM2G159028_P01	45.9	100
521724	4577.GRMZM2G173428_P01	0.769	2
510269	4577.GRMZM2G120210_P01	0.178	2
493961	4577.GRMZM2G045660_P01	0.208	2
478731	4577.AC205886.3_FGP001	1.51	16
517701	4577.GRMZM2G154602_P01	1.52	6
506245	4577.GRMZM2G101875_P01	64.1	216
492536	4577.GRMZM2G039238_P01	72.4	280
535553	4577.GRMZM2G426275_P01	6.17	16
500646	4577.GRMZM2G076049_P01	49.4	141
510833	4577.GRMZM2G122999_P01	20.6	83
529964	4577.GRMZM2G366778_P01	13.5	424
560915	4577.GRMZM5G872700_P01	0.864	2
491978	4577.GRMZM2G036543_P01	5.78	3
494929	4577.GRMZM2G050186_P02	13.4	34
536402	4577.GRMZM2G435248_P01	74.0	401
535128	4577.GRMZM2G421513_P01	8.31	28
528141	4577.GRMZM2G347743_P01	2.2	6
484401	4577.GRMZM2G001652_P01	28.2	94
484876	4577.GRMZM2G003897_P01	11.8	7
554913	4577.GRMZM5G805540_P01	8.58	18
486623	4577.GRMZM2G011662_P03	0.413	1
522930	4577.GRMZM2G178916_P03	2.18	37
516696	4577.GRMZM2G150004_P01	1.96	9
539382	4577.GRMZM2G466833_P01	527	1336
555881	4577.GRMZM5G816015_P01	13.9	72
495439	4577.GRMZM2G052546_P03	2.01	6
497072	4577.GRMZM2G059958_P01	1.07	4
522022	4577.GRMZM2G174769_P01	61.3	488
527940	4577.GRMZM2G345544_P01	5.39	11
538337	4577.GRMZM2G455947_P01	28.8	75
499491	4577.GRMZM2G071010_P01	210	584
527063	4577.GRMZM2G336065_P01	13.7	53
494867	4577.GRMZM2G049895_P01	2.93	9
508884	4577.GRMZM2G113655_P01	3.94	14
539756	4577.GRMZM2G470740_P01	10.7	32
498120	4577.GRMZM2G064640_P03	103	636
509861	4577.GRMZM2G118286_P01	66.6	222
518024	4577.GRMZM2G156069_P01	4.84	39
496325	4577.GRMZM2G056702_P01	5.48	30
558178	4577.GRMZM5G841914_P01	3.58	7
522177	4577.GRMZM2G175463_P02	21.7	66
532523	4577.GRMZM2G394212_P02	1.79	3
508483	4577.GRMZM2G111998_P01	2.9	11
510215	4577.GRMZM2G119950_P01	4.46	4
517514	4577.GRMZM2G153769_P01	159	363
508870	4577.GRMZM2G113613_P01	58.1	184
516958	4577.GRMZM2G151223_P01	0.308	4
504390	4577.GRMZM2G093217_P01	53.1	206
490155	4577.GRMZM2G028086_P01	4.29	68
538401	4577.GRMZM2G456564_P01	4.43	15
503529	4577.GRMZM2G089501_P02	7.72	16
508892	4577.GRMZM2G113696_P01	379	830
527471	4577.GRMZM2G340458_P01	6.0	226
531383	4577.GRMZM2G381748_P01	0.037	1
495608	4577.GRMZM2G053420_P01	5.87	199
560148	4577.GRMZM5G864363_P01	53.2	53
483395	4577.AC229978.2_FGP002	8.26	1
516974	4577.GRMZM2G151285_P01	17.0	35
561249	4577.GRMZM5G876518_P01	30.7	630
510670	4577.GRMZM2G122274_P01	6.3	9
509803	4577.GRMZM2G117968_P01	0.499	1
514725	4577.GRMZM2G140885_P01	72.9	130
488528	4577.GRMZM2G020544_P01	76.8	169
487034	4577.GRMZM2G013607_P01	8.88	15
491512	4577.GRMZM2G034430_P01	1.26	4
494633	4577.GRMZM2G048703_P01	343	307
485577	4577.GRMZM2G006942_P01	11.8	38
512446	4577.GRMZM2G130366_P01	84.5	259
504752	4577.GRMZM2G095057_P01	59.4	349
517915	4577.GRMZM2G155546_P01	17.4	144
521172	4577.GRMZM2G170744_P01	0.137	1
561887	4577.GRMZM5G883741_P02	73.1	170
519114	4577.GRMZM2G161222_P03	18.9	73
500908	4577.GRMZM2G077316_P01	77.2	108
510785	4577.GRMZM2G122787_P02	0.326	1
526125	4577.GRMZM2G326066_P01	264	327
471019	4577.AC149829.2_FGP003	14.3	105
515417	4577.GRMZM2G144146_P01	145	230
498549	4577.GRMZM2G066602_P01	2.63	2
499258	4577.GRMZM2G070038_P01	56.8	235
522190	4577.GRMZM2G175531_P01	6.06	7
520819	4577.GRMZM2G169116_P01	3.77	57
494791	4577.GRMZM2G049525_P01	58.4	184
535546	4577.GRMZM2G426229_P01	57.5	75
505852	4577.GRMZM2G100121_P01	2.85	7
537122	4577.GRMZM2G443265_P01	6.06	9
529420	4577.GRMZM2G360821_P01	4.3	32
484324	4577.GRMZM2G001327_P01	2638	23571
485561	4577.GRMZM2G006871_P01	5.89	5
533592	4577.GRMZM2G405459_P02	1.42	3
495736	4577.GRMZM2G053987_P02	0.398	10
512701	4577.GRMZM2G131699_P01	1.51	4
513682	4577.GRMZM2G136106_P01	24.5	67
548499	4577.GRMZM2G549512_P01	94.7	164
519169	4577.GRMZM2G161450_P01	0.363	1
496112	4577.GRMZM2G055724_P01	25.2	7
516230	4577.GRMZM2G147867_P01	1.24	1
499424	4577.GRMZM2G070708_P01	0.117	1
490578	4577.GRMZM2G030038_P01	44.3	55
511744	4577.GRMZM2G126913_P02	11.9	166
514582	4577.GRMZM2G140116_P01	497	212
501193	4577.GRMZM2G078619_P01	1.24	1
506669	4577.GRMZM2G104012_P01	0.394	2
491543	4577.GRMZM2G034573_P01	2.78	4
492636	4577.GRMZM2G039707_P01	10.6	45
512067	4577.GRMZM2G128491_P01	40.1	75
520109	4577.GRMZM2G165747_P01	343	3709
534236	4577.GRMZM2G412848_P01	29.3	96
488442	4577.GRMZM2G020140_P01	42.5	76
514244	4577.GRMZM2G138676_P01	0.111	2
492491	4577.GRMZM2G039011_P01	5.87	10
504197	4577.GRMZM2G092451_P02	54.6	114
523658	4577.GRMZM2G301194_P01	1.24	11
495625	4577.GRMZM2G053514_P01	54.1	68
548699	4577.GRMZM2G551402_P02	113	183
523649	4577.GRMZM2G301098_P01	1.12	5
525497	4577.GRMZM2G319566_P01	15.3	51
492386	4577.GRMZM2G038519_P01	2.65	4
515875	4577.GRMZM2G146206_P04	37.5	157
490046	4577.GRMZM2G027627_P01	2.26	25
511901	4577.GRMZM2G127656_P01	17.0	19
501716	4577.GRMZM2G081048_P03	5.65	16
506591	4577.GRMZM2G103613_P01	1.09	1
544480	4577.GRMZM2G514497_P01	1.06	21
520461	4577.GRMZM2G167521_P01	0.138	4
485542	4577.GRMZM2G006765_P02	221	3842
487981	4577.GRMZM2G018020_P01	55.0	53
487705	4577.GRMZM2G016805_P01	11.1	8
528312	4577.GRMZM2G349547_P01	6.49	39
489394	4577.GRMZM2G024576_P01	26.0	105
536147	4577.GRMZM2G432653_P01	0.977	2
489483	4577.GRMZM2G025031_P01	9.22	49
501992	4577.GRMZM2G082293_P01	0.367	3
489567	4577.GRMZM2G025409_P01	0.452	1
556931	4577.GRMZM5G828253_P02	3.68	9
515084	4577.GRMZM2G142697_P01	13.0	46
559350	4577.GRMZM5G855337_P01	11.8	33
508665	4577.GRMZM2G112805_P01	449	360
494564	4577.GRMZM2G048403_P01	1.5	20
516223	4577.GRMZM2G147849_P01	7.31	65
553407	4577.GRMZM2G701024_P02	0.429	1
497084	4577.GRMZM2G060001_P02	35.4	26
536980	4577.GRMZM2G441583_P01	5.14	82
501402	4577.GRMZM2G079596_P01	2.69	13
471442	4577.AC184169.3_FGP001	36.5	69
529499	4577.GRMZM2G361625_P01	84.9	34
559156	4577.GRMZM5G853305_P01	22.0	8
537472	4577.GRMZM2G446895_P01	0.084	1
