#name: Z.mays - Leaf, NadjSPC (Ponnala,Plant_J,2014)
#score: 6.95
#weight: 100%
#description: abundance based on MAPPED_BY_AUTHORS, NadjSPC, from<a href="http://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=24547885&retmode=ref&cmd=prlinks" target="_blank">Ponnala,Plant_J,2014</a><br/><b>Interaction consistency score</b>: 6.95&nbsp<b>Coverage</b>: 3
#organ: LEAF
#integrated: false
#coverage: 3
#publication_year: 2014
#filename: Mays_avgNadjSPC_ponnala_2014.txt
#
#internal_id	string_external_id	abundance
532984	4577.GRMZM2G399073_P02	215
507575	4577.GRMZM2G107984_P01	2.81
500653	4577.GRMZM2G076075_P02	118
525238	4577.GRMZM2G316967_P01	5.63
518708	4577.GRMZM2G159210_P01	16.9
490482	4577.GRMZM2G029530_P01	1.6
538479	4577.GRMZM2G457381_P01	10.4
509791	4577.GRMZM2G117900_P01	82.1
538821	4577.GRMZM2G460860_P01	106
484561	4577.GRMZM2G002416_P01	1076
524172	4577.GRMZM2G306258_P01	217
492386	4577.GRMZM2G038519_P01	2350
509786	4577.GRMZM2G117870_P01	124
512951	4577.GRMZM2G132854_P01	41.4
505480	4577.GRMZM2G098370_P02	87.4
509930	4577.GRMZM2G118637_P01	112
490330	4577.GRMZM2G028883_P01	144
505685	4577.GRMZM2G099355_P01	38.5
488381	4577.GRMZM2G019872_P01	29.3
522602	4577.GRMZM2G177445_P01	57.4
506240	4577.GRMZM2G101859_P01	107
498836	4577.GRMZM2G067964_P01	76.5
496949	4577.GRMZM2G059363_P01	123
505971	4577.GRMZM2G100639_P01	141
526389	4577.GRMZM2G328893_P01	659
499190	4577.GRMZM2G069708_P01	163
495398	4577.GRMZM2G052389_P01	38.5
512209	4577.GRMZM2G129155_P01	19.7
528295	4577.GRMZM2G349274_P01	1.88
536763	4577.GRMZM2G439201_P02	1663
501420	4577.GRMZM2G079668_P01	1753
494207	4577.GRMZM2G046748_P01	2.71
518055	4577.GRMZM2G156227_P01	662
507840	4577.GRMZM2G109165_P01	1333
479544	4577.AC207890.3_FGP002	79.7
495159	4577.GRMZM2G051208_P01	48.3
485302	4577.GRMZM2G005710_P03	402
502763	4577.GRMZM2G085924_P01	91.9
508734	4577.GRMZM2G113093_P01	157
505472	4577.GRMZM2G098335_P01	40.5
501839	4577.GRMZM2G081652_P01	475
500360	4577.GRMZM2G074787_P01	37.6
488777	4577.GRMZM2G021567_P01	63.9
508338	4577.GRMZM2G111411_P01	39.4
496896	4577.GRMZM2G059121_P01	109
529256	4577.GRMZM2G359070_P01	29.4
514721	4577.GRMZM2G140867_P01	11.3
513264	4577.GRMZM2G134264_P01	617
516760	4577.GRMZM2G150295_P01	683
538737	4577.GRMZM2G459874_P02	43.6
488343	4577.GRMZM2G019695_P01	764
508792	4577.GRMZM2G113340_P01	141
489911	4577.GRMZM2G026991_P01	183
494629	4577.GRMZM2G048672_P01	284
528846	4577.GRMZM2G354804_P01	930
530611	4577.GRMZM2G373522_P01	41.4
517220	4577.GRMZM2G152466_P01	1558
515180	4577.GRMZM2G143071_P01	21.6
508158	4577.GRMZM2G110567_P01	317
505943	4577.GRMZM2G100511_P01	227
525730	4577.GRMZM2G322186_P01	26.3
522344	4577.GRMZM2G176307_P01	637
492569	4577.GRMZM2G039396_P01	124
514138	4577.GRMZM2G138220_P01	13.5
506170	4577.GRMZM2G101515_P01	5.63
508438	4577.GRMZM2G111818_P01	431
525430	4577.GRMZM2G318794_P01	20.7
488602	4577.GRMZM2G020801_P01	1069
535666	4577.GRMZM2G427557_P01	285
528575	4577.GRMZM2G351990_P01	193
484637	4577.GRMZM2G002807_P01	1678
499349	4577.GRMZM2G070422_P01	428
510936	4577.GRMZM2G123495_P01	107
490575	4577.GRMZM2G030016_P01	1183
523307	4577.GRMZM2G180578_P01	183
517552	4577.GRMZM2G153969_P01	48.8
490624	4577.GRMZM2G030240_P01	133
489289	4577.GRMZM2G024099_P01	533
484567	4577.GRMZM2G002440_P01	137
513432	4577.GRMZM2G134980_P01	66.6
483590	4577.AC233865.1_FGP001	546
515611	4577.GRMZM2G145101_P02	13.1
489398	4577.GRMZM2G024607_P01	78.9
534568	4577.GRMZM2G416142_P02	23.7
518918	4577.GRMZM2G160268_P02	1453
519700	4577.GRMZM2G163809_P02	147
526770	4577.GRMZM2G332976_P01	272
488481	4577.GRMZM2G020295_P02	17.4
501290	4577.GRMZM2G079089_P01	217
500050	4577.GRMZM2G073498_P01	26.1
493335	4577.GRMZM2G042758_P01	43.6
498509	4577.GRMZM2G066440_P01	11.3
537573	4577.GRMZM2G448001_P01	12.5
487410	4577.GRMZM2G015361_P05	679
499921	4577.GRMZM2G072911_P01	82.4
491810	4577.GRMZM2G035708_P01	806
488711	4577.GRMZM2G021256_P01	126
519034	4577.GRMZM2G160770_P01	51.8
495068	4577.GRMZM2G050845_P01	11.3
500098	4577.GRMZM2G073725_P01	610
493022	4577.GRMZM2G041381_P01	170
486743	4577.GRMZM2G012224_P01	371
491490	4577.GRMZM2G034326_P01	87.9
493601	4577.GRMZM2G043903_P01	51.8
518487	4577.GRMZM2G158205_P01	62.0
488689	4577.GRMZM2G021170_P01	61.0
492121	4577.GRMZM2G037204_P01	158
502794	4577.GRMZM2G086030_P01	50.8
527231	4577.GRMZM2G337845_P01	20.7
521948	4577.GRMZM2G174481_P01	139
512390	4577.GRMZM2G130079_P01	62.5
529679	4577.GRMZM2G363474_P01	20.7
484876	4577.GRMZM2G003897_P01	54.5
515656	4577.GRMZM2G145280_P01	345
504419	4577.GRMZM2G093346_P01	7.52
494216	4577.GRMZM2G046804_P04	5359
528716	4577.GRMZM2G353444_P02	926
509307	4577.GRMZM2G115621_P03	11.3
519951	4577.GRMZM2G164974_P01	14.1
518042	4577.GRMZM2G156158_P02	27.0
502865	4577.GRMZM2G086464_P01	18.8
523257	4577.GRMZM2G180335_P01	19.7
499779	4577.GRMZM2G072280_P01	1474
517513	4577.GRMZM2G153766_P01	31.1
506416	4577.GRMZM2G102786_P01	234
497234	4577.GRMZM2G060669_P05	14.7
499694	4577.GRMZM2G071877_P01	1.6
525015	4577.GRMZM2G314679_P01	118
499718	4577.GRMZM2G071996_P01	80.5
529263	4577.GRMZM2G359127_P01	282
524036	4577.GRMZM2G305046_P02	732
491449	4577.GRMZM2G034152_P01	940
514907	4577.GRMZM2G141707_P03	93.9
484927	4577.GRMZM2G004131_P01	178
530605	4577.GRMZM2G373435_P01	1.6
509464	4577.GRMZM2G116273_P01	1188
526391	4577.GRMZM2G328908_P01	387
493669	4577.GRMZM2G044247_P01	126
491777	4577.GRMZM2G035557_P01	319
520470	4577.GRMZM2G167549_P05	176
508717	4577.GRMZM2G113033_P01	6852
504588	4577.GRMZM2G094224_P01	1046
508378	4577.GRMZM2G111579_P01	72.8
501812	4577.GRMZM2G081541_P01	37.6
537386	4577.GRMZM2G445905_P03	34.3
523439	4577.GRMZM2G181192_P01	127
515438	4577.GRMZM2G144224_P01	14.1
484464	4577.GRMZM2G001918_P01	233
513546	4577.GRMZM2G135470_P01	45.4
517209	4577.GRMZM2G152421_P01	235
488896	4577.GRMZM2G022180_P02	262
500361	4577.GRMZM2G074790_P03	31.5
503860	4577.GRMZM2G090904_P01	171
520290	4577.GRMZM2G166659_P01	357
509342	4577.GRMZM2G115757_P01	56.8
486443	4577.GRMZM2G010884_P01	5105
540512	4577.GRMZM2G478414_P01	26.1
513697	4577.GRMZM2G136185_P01	4.5
525696	4577.GRMZM2G321725_P02	269
514191	4577.GRMZM2G138429_P02	17.4
525579	4577.GRMZM2G320325_P02	307
498690	4577.GRMZM2G067303_P01	443
516280	4577.GRMZM2G148106_P01	63.3
536579	4577.GRMZM2G436986_P01	1321
488630	4577.GRMZM2G020928_P01	11.2
486768	4577.GRMZM2G012324_P01	146
521828	4577.GRMZM2G173878_P01	23.7
514811	4577.GRMZM2G141289_P01	31.3
487673	4577.GRMZM2G016622_P02	2383
505165	4577.GRMZM2G096972_P01	63.0
472499	4577.AC188023.3_FGP005	18.8
499287	4577.GRMZM2G070167_P01	46.2
494421	4577.GRMZM2G047720_P01	2307
484361	4577.GRMZM2G001500_P02	1291
499607	4577.GRMZM2G071450_P01	611
508519	4577.GRMZM2G112165_P01	3049
521624	4577.GRMZM2G172956_P02	29.8
494702	4577.GRMZM2G049055_P01	56.8
492657	4577.GRMZM2G039841_P01	65.5
496535	4577.GRMZM2G057576_P01	2371
521105	4577.GRMZM2G170400_P01	20.8
537003	4577.GRMZM2G441888_P01	787
523340	4577.GRMZM2G180720_P03	16.0
490399	4577.GRMZM2G029186_P04	51.8
485025	4577.GRMZM2G004583_P01	110
504482	4577.GRMZM2G093643_P01	6.42
520458	4577.GRMZM2G167505_P01	112
513222	4577.GRMZM2G134107_P01	105
511623	4577.GRMZM2G126361_P01	2323
490742	4577.GRMZM2G030784_P02	1467
511150	4577.GRMZM2G124365_P01	6.32
485442	4577.GRMZM2G006363_P01	56.3
521302	4577.GRMZM2G171387_P01	3.75
490351	4577.GRMZM2G028955_P01	206
497421	4577.GRMZM2G061447_P03	1.6
499331	4577.GRMZM2G070360_P01	5.18
495709	4577.GRMZM2G053898_P02	28.1
499006	4577.GRMZM2G068862_P01	63.2
487551	4577.GRMZM2G015989_P01	1395
520180	4577.GRMZM2G166062_P01	28.4
520691	4577.GRMZM2G168510_P02	68.7
499176	4577.GRMZM2G069651_P01	296
494067	4577.GRMZM2G046092_P01	40.2
