#name: S.pombe - Whole organism (Integrated)
#score: 16.94
#weight: 
#description: integrated dataset: weighted average of all S.pombe WHOLE_ORGANISM datasets<br/><b>Interaction consistency score</b>: 16.94&nbsp<b>Coverage</b>: 90
#organ: WHOLE_ORGANISM
#integrated : true
#coverage: 90
#publication_year: 2015
#filename: 4896-WHOLE_ORGANISM-integrated.txt
#
#internal_id	string_external_id	abundance
619872	4896.SPAC9G1.02.1	526
622177	4896.SPCC16A11.14.1	78.0
619583	4896.SPAC688.06c.1	0.892
621784	4896.SPBP23A10.02.1	8.85
620119	4896.SPBC11B10.05c.1	0.117
620994	4896.SPBC29A10.16c.1	838
622323	4896.SPCC1919.07.1	0.887
621434	4896.SPBC4F6.08c.1	15.3
622418	4896.SPCC330.07c.1	9.17
619383	4896.SPAC4G8.10.1	19.9
620284	4896.SPBC14C8.12.1	63.2
618165	4896.SPAC17A2.02c.1	212
621884	4896.SPBPB2B2.01.1	101
622220	4896.SPCC1753.02c.1	108
621165	4896.SPBC32H8.10.1	73.7
622363	4896.SPCC285.08.1	265
619118	4896.SPAC31G5.05c.1	719
618942	4896.SPAC27E2.13.1	10.4
620516	4896.SPBC1709.13c.1	32.3
622373	4896.SPCC290.02.1	18.4
622389	4896.SPCC306.08c.1	947
622406	4896.SPCC320.09.1	44.4
621788	4896.SPBP23A10.06.1	32.1
621781	4896.SPBP22H7.07.1	50.7
622368	4896.SPCC285.13c.1	90.2
620518	4896.SPBC1709.15c.1	27.2
619297	4896.SPAC3H8.07c.1	136
618938	4896.SPAC27E2.09.1	14.6
622533	4896.SPCC553.06.1	162
618932	4896.SPAC27E2.03c.1	567
622626	4896.SPCC63.02c.1	48.5
619285	4896.SPAC3H5.07.1	795
621950	4896.SPCC11E10.09c.1	0.076
621773	4896.SPBP19A11.04c.1	9.88
622024	4896.SPCC132.02.1	13.3
618446	4896.SPAC1B3.21.1	19.1
622646	4896.SPCC645.10.1	65.3
617739	4896.SPAC1039.06.1	296
619806	4896.SPAC9.06c.1	76.3
622630	4896.SPCC63.06.1	69.4
618346	4896.SPAC1952.16.1	6.07
621587	4896.SPBC713.06.1	0.013
622331	4896.SPCC1919.15.1	73.2
620564	4896.SPBC1734.16c.1	16.6
622196	4896.SPCC16C4.16c.1	30.6
618017	4896.SPAC1556.06.1	0.88
621894	4896.SPBPB2B2.13.1	28.2
621794	4896.SPBP23A10.12.1	2.49
622517	4896.SPCC550.05.1	3261
620914	4896.SPBC25H2.06c.1	17.2
622486	4896.SPCC4F11.02.1	237
620810	4896.SPBC21B10.03c.1	89.5
618699	4896.SPAC23C11.02c.1	643
619010	4896.SPAC2C4.17c.1	8.09
620644	4896.SPBC18A7.02c.1	0.041
619131	4896.SPAC31G5.18c.1	4.54
618132	4896.SPAC16E8.18.1	3.87
619291	4896.SPAC3H5.13.1	13.6
621151	4896.SPBC32F12.11.1	5667
621665	4896.SPBC839.05c.1	764
617846	4896.SPAC1250.03.1	192
621638	4896.SPBC800.10c.1	326
622062	4896.SPCC1442.03.1	15.5
618585	4896.SPAC227.11c.1	18.1
620079	4896.SPBC1105.19.1	7.14
620903	4896.SPBC25B2.10.1	112
621518	4896.SPBC646.05c.1	241
621774	4896.SPBP19A11.06.1	4.91
622586	4896.SPCC5E4.05c.1	734
622277	4896.SPCC188.03.1	9.45
622503	4896.SPCC4G3.15c.1	66.8
618887	4896.SPAC26A3.13c.1	0.485
620753	4896.SPBC1D7.01.1	112
619226	4896.SPAC3F10.06c.1	1.79
620467	4896.SPBC16G5.14c.1	1258
619691	4896.SPAC750.07c.1	0.82
621027	4896.SPBC2A9.10.1	26.7
619826	4896.SPAC926.08c.1	219
622166	4896.SPCC16A11.03c.1	55.0
619881	4896.SPAC9G1.11c.1	49.1
618662	4896.SPAC22G7.11c.1	4.77
620527	4896.SPBC1711.04.1	173
620755	4896.SPBC1D7.03.1	19.2
618458	4896.SPAC1D4.10.1	41.7
619188	4896.SPAC3A11.13.1	166
619667	4896.SPAC6G9.01c.1	112
622732	4896.SPCC777.15.1	20.7
620529	4896.SPBC1711.06.1	860
618113	4896.SPAC16C9.06c.1	55.8
621765	4896.SPBP16F5.06.1	31.1
622074	4896.SPCC1442.15c.1	1.75
619549	4896.SPAC644.06c.1	51.8
619076	4896.SPAC30.04c.1	226
620757	4896.SPBC1D7.05.1	235
617808	4896.SPAC11D3.10.1	0.466
622768	4896.SPCC895.08c.1	0.496
619216	4896.SPAC3C7.09.1	3.81
620421	4896.SPBC16C6.12c.1	27.8
618791	4896.SPAC23H4.15.1	64.7
622628	4896.SPCC63.04.1	0.242
619749	4896.SPAC824.09c.1	43.1
619520	4896.SPAC607.10.1	14.4
620883	4896.SPBC24C6.02.1	15.5
620000	4896.SPAPB24D3.02c.1	11.5
621688	4896.SPBC887.09c.1	7.99
622584	4896.SPCC5E4.03c.1	168
618632	4896.SPAC22F3.06c.1	130
618500	4896.SPAC1F7.10.1	94.5
619054	4896.SPAC2F7.16c.1	16.8
617928	4896.SPAC13G6.01c.1	11.3
622086	4896.SPCC1450.10c.1	6.57
620353	4896.SPBC1604.19c.1	0.949
621914	4896.SPCC1020.01c.1	470
618630	4896.SPAC22F3.04.1	17.3
618806	4896.SPAC24C9.02c.1	197
620334	4896.SPBC15D4.15.1	262
622017	4896.SPCC1281.03c.1	181
619708	4896.SPAC806.02c.1	71.1
621984	4896.SPCC1259.01c.1	601
620629	4896.SPBC17G9.11c.1	823
619207	4896.SPAC3A12.19.1	22.0
617856	4896.SPAC12B10.01c.1	33.7
621750	4896.SPBC9B6.06.1	112
621023	4896.SPBC2A9.06c.1	83.3
621042	4896.SPBC2D10.13.1	6.06
619698	4896.SPAC7D4.06c.1	28.8
618559	4896.SPAC222.04c.1	29.1
618874	4896.SPAC25H1.10c.1	398
622167	4896.SPCC16A11.04.1	0.354
617784	4896.SPAC10F6.17c.1	119
618623	4896.SPAC22E12.14c.1	26.4
619366	4896.SPAC4F8.06.1	29.1
622274	4896.SPCC1840.11.1	133
620069	4896.SPBC1105.09.1	83.5
618143	4896.SPAC1782.04.1	3.4
621533	4896.SPBC649.04.1	10.6
620862	4896.SPBC23E6.06c.1	326
620280	4896.SPBC14C8.07c.1	32.2
622722	4896.SPCC777.05.1	72.6
622352	4896.SPCC24B10.17.1	172
620324	4896.SPBC15D4.05.1	10.5
620137	4896.SPBC11G11.02c.1	72.3
621081	4896.SPBC2G5.01.1	201
618569	4896.SPAC222.14c.1	143
620231	4896.SPBC13A2.03.1	200
621782	4896.SPBP22H7.08.1	4293
620206	4896.SPBC1347.05c.1	129
621531	4896.SPBC649.02.1	750
620240	4896.SPBC13E7.08c.1	82.9
619046	4896.SPAC2F7.07c.1	11.7
617955	4896.SPAC13G7.13c.1	38.3
620005	4896.SPAPB24D3.08c.1	185
620799	4896.SPBC215.13.1	1.09
619457	4896.SPAC57A10.05c.1	22.9
620595	4896.SPBC17A3.04c.1	448
618103	4896.SPAC16A10.04.1	61.2
621066	4896.SPBC2G2.03c.1	149
621647	4896.SPBC83.05.1	52.1
618377	4896.SPAC19D5.01.1	30.4
619168	4896.SPAC343.13.1	5.11
618614	4896.SPAC22E12.04.1	118
622132	4896.SPCC1620.12c.1	22.0
618647	4896.SPAC22F8.08.1	277
618660	4896.SPAC22G7.09c.1	109
618926	4896.SPAC27D7.11c.1	435
618379	4896.SPAC19D5.03.1	0.901
622265	4896.SPCC1840.02c.1	83.8
619967	4896.SPAPB1A10.04c.1	21.1
619356	4896.SPAC4F10.17.1	110
619474	4896.SPAC57A7.12.1	699
618535	4896.SPAC20H4.03c.1	50.7
617997	4896.SPAC14C4.05c.1	29.7
618168	4896.SPAC17A2.05.1	404
617820	4896.SPAC11E3.04c.1	182
622340	4896.SPCC24B10.05.1	192
620028	4896.SPAPJ695.02.1	3.34
619413	4896.SPAC4H3.08.1	3.63
620957	4896.SPBC27B12.10c.1	43.9
619350	4896.SPAC4F10.11.1	76.7
622097	4896.SPCC1494.05c.1	65.4
618738	4896.SPAC23D3.07.1	106
619975	4896.SPAPB1A10.12c.1	285
618286	4896.SPAC1834.04.1	524
619432	4896.SPAC521.05.1	500
621657	4896.SPBC83.15.1	122
622002	4896.SPCC126.03.1	31.9
