#name: S.cerevisiae - Whole organism, SC (Serikawa,MCP,2003)
#score: 1.48
#weight: 20%
#description: abundance based on Spectral counting, from<a href="http://www.ncbi.nlm.nih.gov/pubmed/12684541" target="_blank">Serikawa,MCP,2003</a><br/><b>Interaction consistency score</b>: 1.48&nbsp<b>Coverage</b>: 20
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 20
#publication_year: 2003
#filename: Saccharomyces_cerevisiae_SC_biomart_18097_O__1reps.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
628806	4932.YAL012W	112	4
630245	4932.YDR384C	42.6	1
629879	4932.YDR050C	3102	62
633893	4932.YMR323W	78.4	23
633807	4932.YMR247C	21.7	3
633086	4932.YLR197W	1652	94
629868	4932.YDR039C	38.7	18
630344	4932.YDR481C	16.1	1
630108	4932.YDR261W-A	5.91	14
633762	4932.YMR205C	355	26
630109	4932.YDR261W-B	7.02	22
635280	4932.YPR041W	21.4	2
632809	4932.YLL011W	17.4	1
630666	4932.YER131W	3505	50
630267	4932.YDR406W	40.0	33
634713	4932.YOR185C	1484	61
630128	4932.YDR280W	78.4	4
633136	4932.YLR244C	656	40
629610	4932.YDL046W	95.2	2
633850	4932.YMR288W	8.89	1
629194	4932.YBR135W	282	2
630007	4932.YDR172W	690	59
629106	4932.YBR058C	8.23	1
632917	4932.YLR048W	1875	84
634261	4932.YNR007C	31.7	2
635079	4932.YPL135W	116	5
634021	4932.YNL118C	17.1	2
632958	4932.YLR089C	60.1	6
631999	4932.YIR004W	33.4	1
630483	4932.YEL058W	405	38
633819	4932.YMR259C	59.1	9
631094	4932.YGL201C	8.15	1
634016	4932.YNL113W	1599	30
631487	4932.YHL007C	48.7	4
631435	4932.YGR256W	124	13
630465	4932.YEL042W	720	35
635263	4932.YPR025C	46.4	2
633200	4932.YLR301W	329	8
633121	4932.YLR229C	115	3
631495	4932.YHL013C	41.3	2
629394	4932.YCL019W	7.04	22
633602	4932.YMR062C	12.0	1
633551	4932.YMR015C	191	21
629974	4932.YDR141C	7.24	2
632311	4932.YJR028W	36.9	87
634140	4932.YNL232W	669	17
