#id: 379
#name: E.coli - Whole organism, SC (Arike,J_Proteomics,2012)
#score: 17.68
#weight: 100%
#description: abundance based on Spectral counting, from<a href="http://www.ncbi.nlm.nih.gov/pubmed/22771841" target="_blank">Arike, J_Proteomics,2012</a><br/><b>Interaction consistency score</b>: 17.68&nbsp<b>Coverage</b>: 49
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 49
#publication_year: 2012
#filename: 511145-Escherichia_coli_SC_biomart_29780_E_BTO0000214cellculture_2reps.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
6881269	511145.b0426	1233	86
6883269	511145.b2584	62.9	22
6881590	511145.b0789	5.53	11
6882118	511145.b1341	14.2	13
6884759	511145.b4245	2393	248
6882736	511145.b2020	597	56
6882232	511145.b1475	17.8	12
6883902	511145.b3309	2729	88
6883038	511145.b2341	19.0	6
6881517	511145.b0708	3.15	3
6884256	511145.b3678	0.415	1
6881088	511145.b0220	780	55
6883155	511145.b2470	1.22	6
6884542	511145.b4015	10054	1501
6883640	511145.b3020	9.15	9
6882456	511145.b1713	306	86
6884683	511145.b4161	146	18
6884823	511145.b4322	285	46
6883320	511145.b2647	2.06	5
6881304	511145.b0462	55.6	23
6882155	511145.b1387	4.96	3
6883462	511145.b2809	754	9
6881416	511145.b0588	4.49	1
6883039	511145.b2342	105	17
6882804	511145.b2093	6613	258
6881283	511145.b0440	20143	511
6881900	511145.b1109	112	23
6883546	511145.b2908	495	87
6881540	511145.b0732	2.69	1
6881280	511145.b0437	373	26
6883547	511145.b2909	418	19
6882821	511145.b2110	3.16	1
6882873	511145.b2168	284	30
6882036	511145.b1258	729	57
6884314	511145.b3742	715	23
6883437	511145.b2784	20.1	7
6883150	511145.b2465	1152	219
6884315	511145.b3743	560	35
6883011	511145.b2312	70.3	19
6882333	511145.b1588	0.785	1
6884499	511145.b3959	254	20
6881593	511145.b0792	11.5	3
6884502	511145.b3962	470	81
6884915	511145.b4466	1.85	4
6882533	511145.b1792	183	8
6883914	511145.b3321	2427	102
6882202	511145.b1440	1817	317
6882563	511145.b1822	16.2	3
6882194	511145.b1431	1232	112
6881065	511145.b0189	199	6
6881196	511145.b0346	15.6	1
6881751	511145.b0951	40.7	12
6883415	511145.b2760	1.8	3
6880952	511145.b0072	1357	170
6883418	511145.b2763	705	146
6880959	511145.b0080	20.4	5
6881560	511145.b0759	249	32
6882577	511145.b1836	846	26
6884550	511145.b4023	46.9	1
6883897	511145.b3304	3496	79
6884530	511145.b3999	55.4	6
6881914	511145.b1123	1269	156
6884392	511145.b3843	163	23
6884676	511145.b4154	207	58
6883948	511145.b3355	23.0	3
6883627	511145.b3003	310	37
6881972	511145.b1189	50.3	13
6883915	511145.b3322	5.0	2
6884719	511145.b4200	3270	152
6884372	511145.b3820	58.4	4
6882557	511145.b1816	7.26	1
6881665	511145.b0864	105	9
6883461	511145.b2808	20.0	4
6884273	511145.b3701	204	27
6881238	511145.b0394	360	41
6883832	511145.b3226	0.915	1
6881548	511145.b0740	1491	164
6881045	511145.b0169	3140	259
6881403	511145.b0575	1.75	1
6883932	511145.b3339	6836	1911
6881263	511145.b0420	76.4	18
6884501	511145.b3961	14.4	2
6884428	511145.b3885	30.0	2
6883706	511145.b3089	12.5	3
6883538	511145.b2900	305	12
6884294	511145.b3722	2.98	2
6883160	511145.b2475	69.6	11
6884133	511145.b3553	319	20
6883785	511145.b3178	342	84
6883136	511145.b2451	2.16	1
6882727	511145.b2011	0.857	1
6881402	511145.b0574	132	23
6882095	511145.b1317	8.39	1
6884023	511145.b3437	1.88	1
6883321	511145.b2659	8.81	1
6882509	511145.b1768	117	9
6883246	511145.b2561	2.27	4
6883920	511145.b3327	0.468	1
6881103	511145.b0239	24.3	7
6884466	511145.b3925	3.79	1
6883528	511145.b2890	1121	210
6883981	511145.b3390	176	15
6881896	511145.b1105	319	26
6884764	511145.b4252	75.5	7
6881566	511145.b0765	17.1	6
6882072	511145.b1294	7.33	2
6883267	511145.b2582	12.6	1
6881973	511145.b1190	18.1	4
6882978	511145.b2279	36.3	1
6882310	511145.b1559	7.39	1
6881490	511145.b0676	11.3	4
6884751	511145.b4237	6.7	1
6881586	511145.b0785	234	22
6881139	511145.b0283	2.1	2
6883111	511145.b2426	290	28
6881090	511145.b0222	1039	95
