#id: 13
#name: D.deserti - Whole organism, SC (Baudet,MCP,2012)
#score: 6.13
#weight: 100%
#description: abundance based on Spectral counting, from<a href="http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2830850/" target="_blank">Baudet, MCP, 2012</a><br/><b>Interaction consistency score</b>: 6.13&nbsp<b>Coverage</b>: 51
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 51
#publication_year: 2012
#filename: 546414-DeinococcusDeserti_PRIDE.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
7230102	546414.Deide_02210	371	12
7231892	546414.Deide_18290	18.9	2
7230656	546414.Deide_07240	3149	145
7230560	546414.Deide_06410	255	68
7231247	546414.Deide_12530	1265	66
7232052	546414.Deide_19741	15.7	1
7231658	546414.Deide_16150	8.77	2
7232394	546414.Deide_22850	361	27
7230598	546414.Deide_06690	1720	66
7231200	546414.Deide_12121	357	16
7232096	546414.Deide_20160	456	107
7229997	546414.Deide_01230	780	119
7230966	546414.Deide_10110	669	27
7231362	546414.Deide_13480	22.6	2
7231170	546414.Deide_11860	399	36
7232156	546414.Deide_20612	110	12
7229947	546414.Deide_00740	48.3	4
7231296	546414.Deide_13000	911	183
7230603	546414.Deide_06740	91.4	8
7231294	546414.Deide_12980	262	29
7232387	546414.Deide_22781	42.4	6
7230914	546414.Deide_09620	69.8	8
7231089	546414.Deide_11150	68.5	7
7230506	546414.Deide_05920	4795	132
7230225	546414.Deide_03300	3455	248
7231977	546414.Deide_19100	64.2	8
7231857	546414.Deide_17950	111	22
7230690	546414.Deide_07550	1231	71
7230896	546414.Deide_09440	37.4	6
7231645	546414.Deide_16041	33.0	2
7230235	546414.Deide_03400	25.3	4
7230943	546414.Deide_09880	2269	130
7230534	546414.Deide_06160	60.4	2
7231127	546414.Deide_11470	540	60
7231903	546414.Deide_18400	790	28
7231120	546414.Deide_11400	165	6
7230376	546414.Deide_04690	212	18
7230689	546414.Deide_07540	2277	252
7231900	546414.Deide_18370	66.5	7
7232072	546414.Deide_19940	128	4
7230152	546414.Deide_02700	281	33
7232157	546414.Deide_20615	233	25
7230788	546414.Deide_08450	2.86	1
7232195	546414.Deide_20930	2265	360
7231796	546414.Deide_17490	9.3	1
7230187	546414.Deide_02960	81.4	4
7231647	546414.Deide_16060	1303	92
7232196	546414.Deide_20940	120	19
7231991	546414.Deide_19210	4289	494
7231258	546414.Deide_12640	132	41
7232117	546414.Deide_20311	185	29
7231330	546414.Deide_13180	3360	380
7230537	546414.Deide_06190	453	119
7231485	546414.Deide_14570	191	11
7231506	546414.Deide_14760	55.9	19
7230029	546414.Deide_01470	5059	442
7230533	546414.Deide_06150	4959	732
7231025	546414.Deide_10580	585	68
7230290	546414.Deide_03910	676	54
7229956	546414.Deide_00830	178	22
7231292	546414.Deide_12960	26.6	1
7230523	546414.Deide_06070	3374	247
7231916	546414.Deide_18520	69.4	7
7231489	546414.Deide_14600	1460	341
7230847	546414.Deide_08970	9.51	1
7231156	546414.Deide_11740	1493	246
7232250	546414.Deide_21470	90.2	8
7230729	546414.Deide_07910	117	10
7231543	546414.Deide_15110	93.5	48
7230871	546414.Deide_09200	1684	241
7232399	546414.Deide_22890	214	19
7231519	546414.Deide_14880	226	39
7229995	546414.Deide_01210	418	26
7232444	546414.Deide_23320	424	14
7230625	546414.Deide_06930	325	20
7231691	546414.Deide_16440	178	32
7231864	546414.Deide_18010	374	34
7230448	546414.Deide_05360	237	20
7232076	546414.Deide_19965	156	6
7231682	546414.Deide_16370	2135	377
7231293	546414.Deide_12970	113	8
7231027	546414.Deide_10600	2730	295
7231648	546414.Deide_16070	453	75
7232026	546414.Deide_19490	305	8
7231126	546414.Deide_11460	576	134
7231806	546414.Deide_17570	220	11
7230958	546414.Deide_10030	81.9	7
7230400	546414.Deide_04920	973	45
7231103	546414.Deide_11240	588	39
7232154	546414.Deide_20600	2931	496
7231351	546414.Deide_13370	160	17
7230639	546414.Deide_07080	241	22
7231459	546414.Deide_14340	55.2	7
7232462	546414.Deide_23490	441	34
7230926	546414.Deide_09720	618	61
7231638	546414.Deide_15980	791	50
7231385	546414.Deide_13700	601	107
7231349	546414.Deide_13360	679	73
7229880	546414.Deide_00120	901	90
7231210	546414.Deide_12220	1831	311
7231032	546414.Deide_10650	1874	37
7230182	546414.Deide_02910	20.2	2
7231749	546414.Deide_17020	1265	153
7230237	546414.Deide_03420	614	59
7230848	546414.Deide_08980	5.72	3
7231023	546414.Deide_10571	211	8
7229948	546414.Deide_00750	77.4	4
7232105	546414.Deide_20240	5160	620
7231166	546414.Deide_11820	58.1	2
7231940	546414.Deide_18760	1149	65
7232456	546414.Deide_23430	1.94	1
7231584	546414.Deide_15450	1168	40
7232382	546414.Deide_22740	819	119
7232168	546414.Deide_20700	1605	131
7230797	546414.Deide_08510	709	49
7231496	546414.Deide_14670	48.3	2
7230377	546414.Deide_04700	63.8	7
