#name: M.pneumoniae - Whole organism, Copy per cell, cpc normalized data (Kuhner,Science,2009)
#score: 2.59
#weight: 100%
#description: abundance based on cpc normalized data, copy per cell, from<a href="http://www.sciencemag.org/content/326/5957/1235.full" target="_blank">Kuhner, Science,2009</a><br/><b>Interaction consistency score</b>: 2.59&nbsp<b>Coverage</b>: 61
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 61
#publication_year: 2009
#filename: Mycoplasma_pneumoniae_M129_Kuhner_et_al_Science2009.txt
#
#internal_id	string_external_id	abundance
8582117	722438.MPNE_0708	187
8582040	722438.MPNE_0609	102
8582038	722438.MPNE_0604	2853
8582039	722438.MPNE_0605	4059
8582037	722438.MPNE_0603	6216
8582197	722438.MPNE_0800	4042
8581637	722438.MPNE_0079	170
8581631	722438.MPNE_0073	2768
8581630	722438.MPNE_0072	7252
8581629	722438.MPNE_0071	2412
8581635	722438.MPNE_0077	1359
8581634	722438.MPNE_0076	5146
8581633	722438.MPNE_0075	357
8581632	722438.MPNE_0074	2531
8582167	722438.MPNE_0770	849
8582168	722438.MPNE_0771	204
8582169	722438.MPNE_0772	3397
8582170	722438.MPNE_0773	255
8582171	722438.MPNE_0774	1053
8582172	722438.MPNE_0775	38909
8582174	722438.MPNE_0777	67.9
8582175	722438.MPNE_0778	2021
8582176	722438.MPNE_0779	153
8582092	722438.MPNE_0675	37075
8582091	722438.MPNE_0674	21926
8582093	722438.MPNE_0676	21875
8581994	722438.MPNE_0554	2887
8581995	722438.MPNE_0555	272
8581996	722438.MPNE_0556	526
8581990	722438.MPNE_0550	136
8581991	722438.MPNE_0551	7354
8581992	722438.MPNE_0552	628
8581993	722438.MPNE_0553	187
8581898	722438.MPNE_0415	476
8581998	722438.MPNE_0558	713
8581894	722438.MPNE_0410	2242
8581897	722438.MPNE_0413	391
8581896	722438.MPNE_0412	136
8581853	722438.MPNE_0363	102
8581852	722438.MPNE_0362	1393
8581856	722438.MPNE_0367	11260
8581855	722438.MPNE_0366	13655
8581724	722438.MPNE_0200	1953
8581725	722438.MPNE_0201	408
8581857	722438.MPNE_0368	136
8581727	722438.MPNE_0204	153
8581729	722438.MPNE_0206	730
8581717	722438.MPNE_0192	917
8581696	722438.MPNE_0165	10309
8581695	722438.MPNE_0164	3668
8581975	722438.MPNE_0520	1596
8581977	722438.MPNE_0522	1002
8581980	722438.MPNE_0525	8950
8581981	722438.MPNE_0527	1512
8581947	722438.MPNE_0487	679
8581941	722438.MPNE_0480	1189
8582140	722438.MPNE_0734	1070
8582141	722438.MPNE_0735	289
8582142	722438.MPNE_0736	5689
8582143	722438.MPNE_0737	119
8582136	722438.MPNE_0730	4738
8582137	722438.MPNE_0731	1444
8582139	722438.MPNE_0733	1325
8582063	722438.MPNE_0637	4195
8582062	722438.MPNE_0636	340
8582056	722438.MPNE_0630	12143
