#id: 252
#name: D.melanogaster - Whole organism, SC (Brunner,Nat_Biotechnol,2007)
#score: 10.43
#weight: 10%
#description: abundance based on Spectral counting, from<a href="http://www.ncbi.nlm.nih.gov/pubmed/17450130" target="_blank">Brunner, Nat_Biotechnol, 2007</a><br/><b>Interaction consistency score</b>: 10.43&nbsp<b>Coverage</b>: 62
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 62
#publication_year: 2007
#filename: 7227-drosophila.peptides_Brunner_2007.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
1255231	7227.FBpp0077198	3.21	3
1254366	7227.FBpp0075440	2.99	1
1255524	7227.FBpp0077747	20.7	17
1263525	7227.FBpp0293237	3.31	6
1255728	7227.FBpp0078166	24.5	39
1257898	7227.FBpp0082467	15.7	23
1257259	7227.FBpp0081263	61.1	31
1256579	7227.FBpp0079891	1.94	1
1262563	7227.FBpp0289713	30.6	30
1255194	7227.FBpp0077131	2.1	1
1254818	7227.FBpp0076378	42.1	21
1253736	7227.FBpp0074178	4.48	9
1265401	7227.FBpp0305643	0.778	1
1265042	7227.FBpp0304498	126	29
1256638	7227.FBpp0080020	40.4	26
1262992	7227.FBpp0291254	0.753	1
1255188	7227.FBpp0077118	4.35	1
1258248	7227.FBpp0083149	1.08	1
1254567	7227.FBpp0075846	6.6	2
1256791	7227.FBpp0080315	0.543	1
1264300	7227.FBpp0301725	13.0	4
1254554	7227.FBpp0075810	75.7	39
1255096	7227.FBpp0076923	140	27
1260249	7227.FBpp0087155	2.23	1
1256699	7227.FBpp0080121	58.4	34
1254112	7227.FBpp0074936	2.76	2
1255791	7227.FBpp0078279	66.0	37
1257286	7227.FBpp0081319	33.1	12
1253044	7227.FBpp0072825	15.4	12
1252423	7227.FBpp0071563	26.8	19
1265324	7227.FBpp0305397	0.658	1
1264334	7227.FBpp0301999	10.3	8
1265082	7227.FBpp0304607	11.8	13
1257445	7227.FBpp0081601	435	194
1264479	7227.FBpp0302962	0.901	1
1260726	7227.FBpp0088180	2.73	4
1263717	7227.FBpp0294059	1.08	1
1263022	7227.FBpp0291423	19.3	8
1257052	7227.FBpp0080841	1.58	1
1265517	7227.FBpp0306023	154	60
1258009	7227.FBpp0082699	278	69
1252357	7227.FBpp0071447	2.12	1
1264050	7227.FBpp0298300	4.76	3
1252668	7227.FBpp0072038	4.83	4
1255513	7227.FBpp0077726	125	42
1254624	7227.FBpp0075947	2.33	2
1258419	7227.FBpp0083510	2.07	1
1257184	7227.FBpp0081116	4.49	2
1257886	7227.FBpp0082445	5.63	1
1263177	7227.FBpp0291857	2.21	1
1264890	7227.FBpp0304014	3.15	2
1259192	7227.FBpp0084985	0.718	1
1253447	7227.FBpp0073619	10.8	1
1254275	7227.FBpp0075260	1.52	1
1258381	7227.FBpp0083415	47.1	23
1256282	7227.FBpp0079328	1967	179
1264158	7227.FBpp0300747	28.2	37
1256525	7227.FBpp0079796	25.8	10
1255039	7227.FBpp0076819	85.0	33
1257931	7227.FBpp0082549	45.5	19
1255536	7227.FBpp0077775	11.1	2
1254213	7227.FBpp0075134	203	61
1260362	7227.FBpp0087367	333	125
1263582	7227.FBpp0293442	10.0	26
1260406	7227.FBpp0087515	32.7	12
1252827	7227.FBpp0072315	9.18	5
1252923	7227.FBpp0072539	6.59	21
1258917	7227.FBpp0084454	6.08	2
1263320	7227.FBpp0292384	114	163
1259669	7227.FBpp0085962	7.96	7
1255170	7227.FBpp0077081	26.5	19
1254473	7227.FBpp0075661	18.2	30
1254592	7227.FBpp0075896	5.09	7
1255970	7227.FBpp0078685	51.7	44
1258367	7227.FBpp0083390	191	36
1262953	7227.FBpp0291035	11.1	6
1257426	7227.FBpp0081565	629	1607
1263554	7227.FBpp0293373	1.42	4
1257761	7227.FBpp0082206	3.27	1
1264812	7227.FBpp0303757	0.699	1
1260130	7227.FBpp0086916	3.08	1
1261930	7227.FBpp0112985	484	281
1257547	7227.FBpp0081820	4964	1183
1252225	7227.FBpp0071181	0.457	1
1255807	7227.FBpp0078318	110	65
1258122	7227.FBpp0082923	86.5	17
1255601	7227.FBpp0077912	264	192
1259924	7227.FBpp0086514	5.85	7
1255839	7227.FBpp0078381	114	27
1256687	7227.FBpp0080100	3.93	3
1259600	7227.FBpp0085818	0.964	1
1260161	7227.FBpp0086996	307	42
1256383	7227.FBpp0079515	2.88	4
1258970	7227.FBpp0084559	39.8	42
1265420	7227.FBpp0305709	1.93	7
1264277	7227.FBpp0301582	6.69	1
1264247	7227.FBpp0301153	355	103
1258512	7227.FBpp0083685	2.98	1
1261732	7227.FBpp0111967	122	523
1256736	7227.FBpp0080200	110	41
1259142	7227.FBpp0084903	0.772	1
1260365	7227.FBpp0087403	2.77	2
1253439	7227.FBpp0073608	51.8	28
1262023	7227.FBpp0271789	5.55	3
1265031	7227.FBpp0304479	915	344
1257063	7227.FBpp0080860	7.87	5
1254998	7227.FBpp0076740	12.9	7
1257174	7227.FBpp0081101	4.93	1
1256184	7227.FBpp0079118	283	382
1253779	7227.FBpp0074259	1.0	1
1251733	7227.FBpp0070224	38.5	9
1264788	7227.FBpp0303688	35.5	14
1256673	7227.FBpp0080077	2.69	7
1252586	7227.FBpp0071893	10.5	8
1257279	7227.FBpp0081306	11.6	2
1256771	7227.FBpp0080265	8.84	11
1260896	7227.FBpp0088926	201	111
1256095	7227.FBpp0078917	27.1	15
1256357	7227.FBpp0079470	17.6	3
1257028	7227.FBpp0080787	3.12	5
1255952	7227.FBpp0078634	6.89	8
1259554	7227.FBpp0085706	8.15	5
1252281	7227.FBpp0071277	93.2	61
1251820	7227.FBpp0070409	51.0	37
1264449	7227.FBpp0302874	3.1	1
1252422	7227.FBpp0071562	243	63
1257963	7227.FBpp0082609	3.38	1
1256489	7227.FBpp0079721	5.03	2
1264679	7227.FBpp0303334	3.41	1
1255603	7227.FBpp0077920	1.9	1
1258592	7227.FBpp0083823	13.8	15
1261591	7227.FBpp0111486	29.3	28
1261289	7227.FBpp0100020	27.0	7
1258881	7227.FBpp0084386	2.11	1
1257865	7227.FBpp0082410	7.38	2
1262373	7227.FBpp0289283	1.85	2
1255860	7227.FBpp0078422	14.4	4
1263167	7227.FBpp0291772	54.6	94
1257459	7227.FBpp0081630	4.55	1
1254242	7227.FBpp0075190	1.8	1
1253947	7227.FBpp0074610	23.4	14
1252416	7227.FBpp0071551	47.3	39
1263995	7227.FBpp0297899	12.7	5
1254892	7227.FBpp0076533	3.69	1
1264533	7227.FBpp0303070	2.93	1
1258159	7227.FBpp0082987	2952	1524
1258554	7227.FBpp0083739	3.42	1
1259666	7227.FBpp0085954	46.4	54
1254843	7227.FBpp0076430	13.7	2
1257575	7227.FBpp0081866	1.46	1
1265358	7227.FBpp0305507	12.6	17
1258195	7227.FBpp0083068	19.7	16
1259948	7227.FBpp0086563	13.0	2
1253729	7227.FBpp0074166	1.27	1
1264610	7227.FBpp0303194	8.48	7
1264874	7227.FBpp0303949	29.1	108
1264582	7227.FBpp0303136	82.9	44
1261991	7227.FBpp0271715	59.2	19
1256370	7227.FBpp0079491	6.23	1
1253263	7227.FBpp0073267	53.7	49
1255982	7227.FBpp0078703	0.912	1
1253593	7227.FBpp0073891	1.81	2
1261888	7227.FBpp0112469	20.3	13
1260587	7227.FBpp0087879	0.732	1
1264551	7227.FBpp0303091	5.15	6
1251977	7227.FBpp0070704	2.4	1
1259354	7227.FBpp0085332	4.13	3
1252875	7227.FBpp0072455	643	331
1253516	7227.FBpp0073761	3.9	1
1262508	7227.FBpp0289571	5.1	10
1254005	7227.FBpp0074721	24.3	24
1264170	7227.FBpp0300818	23.4	3
1257812	7227.FBpp0082311	2.23	2
1253334	7227.FBpp0073415	114	10
1256186	7227.FBpp0079122	155	5
1257485	7227.FBpp0081693	14.8	5
1260466	7227.FBpp0087649	8.61	6
1260679	7227.FBpp0088057	2.35	1
1259739	7227.FBpp0086114	1.12	1
1256537	7227.FBpp0079818	40.1	80
1253452	7227.FBpp0073631	710	279
1259436	7227.FBpp0085512	83.6	37
1262474	7227.FBpp0289513	605	336
1255305	7227.FBpp0077346	3.5	9
1265261	7227.FBpp0305224	34.2	12
1257807	7227.FBpp0082298	116	43
1256957	7227.FBpp0080663	4.99	4
1259921	7227.FBpp0086503	1.35	3
1254201	7227.FBpp0075117	148	67
1254138	7227.FBpp0074980	1.91	2
1253054	7227.FBpp0072842	27.2	19
1265507	7227.FBpp0305981	3.51	2
1259617	7227.FBpp0085851	78.5	20
1252738	7227.FBpp0072156	1.61	1
1253250	7227.FBpp0073246	1.25	1
1256179	7227.FBpp0079110	16.8	3
1252974	7227.FBpp0072659	38.4	12
1260265	7227.FBpp0087186	1390	523
1264123	7227.FBpp0300435	1.92	3
1251950	7227.FBpp0070652	64.3	87
1261983	7227.FBpp0271694	3.63	3
1258799	7227.FBpp0084231	113	86
1258087	7227.FBpp0082851	2.36	1
1258234	7227.FBpp0083132	15.7	12
1257721	7227.FBpp0082134	39.6	24
1262788	7227.FBpp0290414	2.11	1
1263679	7227.FBpp0293933	2.05	2
1256656	7227.FBpp0080049	154	130
1254102	7227.FBpp0074919	1.88	3
1254450	7227.FBpp0075612	1643	463
1264138	7227.FBpp0300565	5.9	8
1258545	7227.FBpp0083730	4.41	3
1256710	7227.FBpp0080138	21.1	34
1256180	7227.FBpp0079111	27.8	24
1258659	7227.FBpp0083957	3.12	2
1262033	7227.FBpp0271819	1.05	1
1252168	7227.FBpp0071072	8.92	15
1253904	7227.FBpp0074523	1.95	2
1252175	7227.FBpp0071087	1711	366
1262887	7227.FBpp0290803	13.5	22
1252075	7227.FBpp0070880	15.7	10
1263917	7227.FBpp0297664	31.8	16
1253449	7227.FBpp0073623	1205	306
1259193	7227.FBpp0084989	17.7	5
1264234	7227.FBpp0301099	298	374
1251793	7227.FBpp0070363	2.27	3
1264804	7227.FBpp0303739	16.8	5
1256684	7227.FBpp0080097	14.8	12
1259670	7227.FBpp0085978	2.53	1
1257936	7227.FBpp0082563	1.92	1
1257638	7227.FBpp0082005	1.0	1
1265344	7227.FBpp0305448	134	64
1251995	7227.FBpp0070745	46.4	15
1253699	7227.FBpp0074115	13.4	3
1252577	7227.FBpp0071883	5.36	2
1259692	7227.FBpp0086013	312	460
1254735	7227.FBpp0076201	14.2	12
1261448	7227.FBpp0110582	2.9	2
1257635	7227.FBpp0081993	106	56
1259237	7227.FBpp0085084	35.4	13
1255902	7227.FBpp0078516	2.31	1
1256061	7227.FBpp0078861	16.2	18
1256990	7227.FBpp0080714	3.64	3
1259292	7227.FBpp0085181	2.58	3
1257006	7227.FBpp0080735	0.783	1
1253041	7227.FBpp0072808	83.3	142
1254811	7227.FBpp0076363	5.18	10
1253741	7227.FBpp0074189	7.21	19
1263779	7227.FBpp0297164	25.1	31
1260875	7227.FBpp0088836	41.1	15
1256852	7227.FBpp0080440	2.71	1
1262226	7227.FBpp0288819	1.24	1
1260072	7227.FBpp0086793	1.16	1
1260152	7227.FBpp0086974	137	17
1265438	7227.FBpp0305753	32.6	15
1258324	7227.FBpp0083290	26.1	19
1265185	7227.FBpp0304961	6.5	3
1259008	7227.FBpp0084639	11.8	6
1263262	7227.FBpp0292193	2.13	1
1264067	7227.FBpp0298358	2.91	16
1254966	7227.FBpp0076691	3.74	4
1262771	7227.FBpp0290365	6.23	2
1263490	7227.FBpp0293086	1.9	2
1261905	7227.FBpp0112656	103	52
1257290	7227.FBpp0081324	146	154
1251688	7227.FBpp0070144	3.18	1
1253326	7227.FBpp0073392	2.23	2
1259578	7227.FBpp0085773	21.1	19
1253476	7227.FBpp0073678	1.0	2
1265019	7227.FBpp0304454	6.55	10
1252667	7227.FBpp0072037	11.8	4
1256122	7227.FBpp0078971	27.4	88
1255716	7227.FBpp0078150	159	314
1252400	7227.FBpp0071533	10.7	12
1262864	7227.FBpp0290722	2.92	1
1260657	7227.FBpp0088018	44.1	31
