#name: D.melanogaster - Whole organism, SC (PeptideAtlas,June,2010)
#score: 8.77
#weight: 50%
#description: abundance based on Spectral counting, from<a href="http://www.peptideatlas.org/builds/drosophila//index.php" target="_blank">PeptideAtlas,June,2010</a><br/><b>Interaction consistency score</b>: 8.77&nbsp<b>Coverage</b>: 49
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 49
#publication_year: 2010
#filename: drosophila_peptideatlas_June_2010.new.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
1254970	7227.FBpp0076701	2263	634
1254969	7227.FBpp0076700	607	60
1262837	7227.FBpp0290554	58.9	663
1254971	7227.FBpp0076702	2263	634
1262839	7227.FBpp0290558	0.724	4
1254976	7227.FBpp0076708	52.2	64
1262838	7227.FBpp0290556	104	112
1265327	7227.FBpp0305410	8.87	12
1265328	7227.FBpp0305416	356	529
1265335	7227.FBpp0305434	125	7
1258859	7227.FBpp0084340	2825	13
1262801	7227.FBpp0290461	4.33	1
1258861	7227.FBpp0084342	5.73	5
1260886	7227.FBpp0088883	4.2	2
1261704	7227.FBpp0111894	285	164
1256158	7227.FBpp0079072	146	75
1256159	7227.FBpp0079077	4.74	2
1257901	7227.FBpp0082471	19.9	1
1257902	7227.FBpp0082476	274	118
1257903	7227.FBpp0082477	433	54
1252956	7227.FBpp0072621	39.4	21
1252957	7227.FBpp0072625	1.89	2
1255985	7227.FBpp0078708	3.26	1
1255981	7227.FBpp0078701	0.949	1
1255984	7227.FBpp0078706	1.84	1
1255983	7227.FBpp0078704	1.26	1
1260419	7227.FBpp0087539	350	634
1260415	7227.FBpp0087533	4.58	3
1260417	7227.FBpp0087536	67.6	80
1260416	7227.FBpp0087535	39.2	25
1254170	7227.FBpp0075054	105	40
1260177	7227.FBpp0087027	16.7	5
1256249	7227.FBpp0079258	65.7	27
1256247	7227.FBpp0079256	371	60
1256248	7227.FBpp0079257	34.7	51
1256246	7227.FBpp0079254	10.3	17
1256245	7227.FBpp0079253	1.6	1
1256244	7227.FBpp0079251	1034	232
1257766	7227.FBpp0082215	80.1	32
1257763	7227.FBpp0082211	23.9	32
1257769	7227.FBpp0082219	694	414
1252551	7227.FBpp0071822	12.1	8
1261261	7227.FBpp0099910	2.63	1
1264469	7227.FBpp0302933	0.781	2
1255814	7227.FBpp0078333	16.0	13
