#id: 264
#name: D.rerio - Embryo (Integrated)
#score: 15.06
#weight: 
#description: integrated dataset: weighted average of all D.rerio EMBRYO datasets<br/><b>Interaction consistency score</b>: 15.06&nbsp<b>Coverage</b>: 10
#organ: EMBRYO
#integrated : true
#coverage: 10
#publication_year: 2017
#filename: 7955-EMBRYO-integrated.txt
#
#internal_id	string_external_id	abundance
1506620	7955.ENSDARP00000124595	21.9
1485932	7955.ENSDARP00000050257	156
1505315	7955.ENSDARP00000121065	269
1487522	7955.ENSDARP00000060362	1156
1490002	7955.ENSDARP00000073858	1.88
1486158	7955.ENSDARP00000052125	97.4
1502419	7955.ENSDARP00000113539	15.7
1489447	7955.ENSDARP00000071305	18.4
1483297	7955.ENSDARP00000020358	3936
1490111	7955.ENSDARP00000074422	374
1484563	7955.ENSDARP00000034534	247
1483641	7955.ENSDARP00000023679	298
1505783	7955.ENSDARP00000122226	20.3
1486376	7955.ENSDARP00000053431	243
1504448	7955.ENSDARP00000118774	893
1483439	7955.ENSDARP00000021916	50.9
1482983	7955.ENSDARP00000017326	830
1487491	7955.ENSDARP00000060202	35.0
1503994	7955.ENSDARP00000117653	0.082
1484252	7955.ENSDARP00000030237	3.32
1504463	7955.ENSDARP00000118823	16.6
1485027	7955.ENSDARP00000040396	2608
1485329	7955.ENSDARP00000043659	39.0
1483964	7955.ENSDARP00000026717	22.7
1506186	7955.ENSDARP00000123299	323
1482575	7955.ENSDARP00000013329	2141
1492867	7955.ENSDARP00000090874	15.1
1489378	7955.ENSDARP00000070803	50.0
1500157	7955.ENSDARP00000109284	148
1483925	7955.ENSDARP00000026327	2.96
1499841	7955.ENSDARP00000108727	312
1486630	7955.ENSDARP00000055135	5123
1493300	7955.ENSDARP00000092727	25.3
1506145	7955.ENSDARP00000123183	1461
1488803	7955.ENSDARP00000067895	901
1483952	7955.ENSDARP00000026575	406
1482235	7955.ENSDARP00000010482	505
1482861	7955.ENSDARP00000016160	156
1493936	7955.ENSDARP00000095384	19.1
1494094	7955.ENSDARP00000096118	144
1495293	7955.ENSDARP00000099498	0.843
1484929	7955.ENSDARP00000039201	6.4
1490041	7955.ENSDARP00000074035	285
1487314	7955.ENSDARP00000059193	322
1482228	7955.ENSDARP00000010427	89.3
1481628	7955.ENSDARP00000004795	8.68
1489054	7955.ENSDARP00000069096	1366
1489278	7955.ENSDARP00000070277	15.1
1483334	7955.ENSDARP00000020775	815
1492856	7955.ENSDARP00000090833	417
1490150	7955.ENSDARP00000074623	226
1483298	7955.ENSDARP00000020361	79.4
1484618	7955.ENSDARP00000035273	1735
1488215	7955.ENSDARP00000064522	890
1485845	7955.ENSDARP00000049263	31.3
1488096	7955.ENSDARP00000063836	23.7
1484415	7955.ENSDARP00000032583	5.02
1500699	7955.ENSDARP00000110252	0.091
1483346	7955.ENSDARP00000020860	115
1482334	7955.ENSDARP00000011311	53.2
1486949	7955.ENSDARP00000057020	129
1499109	7955.ENSDARP00000107467	441
1499047	7955.ENSDARP00000107355	22.5
1496152	7955.ENSDARP00000101525	657
1500894	7955.ENSDARP00000110558	692
1501849	7955.ENSDARP00000112199	2245
1481782	7955.ENSDARP00000006207	741
1497282	7955.ENSDARP00000104181	11.6
1493307	7955.ENSDARP00000092760	391
1485539	7955.ENSDARP00000045887	255
1502811	7955.ENSDARP00000114555	136
1503171	7955.ENSDARP00000115511	14.7
1496634	7955.ENSDARP00000102682	901
1488693	7955.ENSDARP00000067373	330
1492920	7955.ENSDARP00000091097	1.34
1486190	7955.ENSDARP00000052354	222
1495313	7955.ENSDARP00000099550	531
1485582	7955.ENSDARP00000046375	7.09
1496859	7955.ENSDARP00000103208	578
1482474	7955.ENSDARP00000012454	1123
1498074	7955.ENSDARP00000105632	757
1493415	7955.ENSDARP00000093291	87.4
1482220	7955.ENSDARP00000010384	311
1499394	7955.ENSDARP00000107946	1474
1495894	7955.ENSDARP00000100931	10.2
1490115	7955.ENSDARP00000074464	563
1486674	7955.ENSDARP00000055339	7.04
1494004	7955.ENSDARP00000095645	7.41
1490116	7955.ENSDARP00000074466	9.55
1481928	7955.ENSDARP00000007584	26.1
1486266	7955.ENSDARP00000052760	4939
1488754	7955.ENSDARP00000067646	5.24
1501757	7955.ENSDARP00000112050	30.4
1484171	7955.ENSDARP00000029090	0.944
1499915	7955.ENSDARP00000108873	58.7
1484805	7955.ENSDARP00000037758	307
1503932	7955.ENSDARP00000117497	830
1493196	7955.ENSDARP00000092307	28.1
1482065	7955.ENSDARP00000008860	17.1
1481854	7955.ENSDARP00000006875	77.6
1490596	7955.ENSDARP00000076637	3.44
1484412	7955.ENSDARP00000032575	1547
1497435	7955.ENSDARP00000104502	3.83
1485131	7955.ENSDARP00000041530	235
1488177	7955.ENSDARP00000064310	356
1492125	7955.ENSDARP00000087500	840
1491277	7955.ENSDARP00000081419	6.55
1490312	7955.ENSDARP00000075482	20.4
1486677	7955.ENSDARP00000055379	1779
1485880	7955.ENSDARP00000049625	43.4
1505693	7955.ENSDARP00000122009	657
1503589	7955.ENSDARP00000116598	102
1482942	7955.ENSDARP00000016922	8.36
1502325	7955.ENSDARP00000113290	77.8
1486864	7955.ENSDARP00000056522	2.22
1487416	7955.ENSDARP00000059795	149
1503705	7955.ENSDARP00000116905	165
1483465	7955.ENSDARP00000022134	81.2
1503428	7955.ENSDARP00000116175	8.99
1493429	7955.ENSDARP00000093331	7.8
1482375	7955.ENSDARP00000011656	672
1481901	7955.ENSDARP00000007315	3.01
1489900	7955.ENSDARP00000073437	76.0
1481383	7955.ENSDARP00000002576	1.81
1483937	7955.ENSDARP00000026454	36.1
1500967	7955.ENSDARP00000110687	20.2
1501565	7955.ENSDARP00000111715	13.4
1505081	7955.ENSDARP00000120420	278
1507414	7955.ENSDARP00000126522	3.82
1503030	7955.ENSDARP00000115147	1503
1504782	7955.ENSDARP00000119693	25.2
1490489	7955.ENSDARP00000076216	159
1489647	7955.ENSDARP00000072363	133
1483738	7955.ENSDARP00000024492	518
1491297	7955.ENSDARP00000081533	140
1491693	7955.ENSDARP00000084389	0.328
1506307	7955.ENSDARP00000123611	16.5
1497460	7955.ENSDARP00000104545	133
1501634	7955.ENSDARP00000111828	68.1
1483273	7955.ENSDARP00000020119	2.21
1490974	7955.ENSDARP00000079241	2.5
1494459	7955.ENSDARP00000097572	572
1484928	7955.ENSDARP00000039188	96.7
1491298	7955.ENSDARP00000081539	541
1486263	7955.ENSDARP00000052745	74.2
1483505	7955.ENSDARP00000022486	458
1482635	7955.ENSDARP00000014003	54.2
1484470	7955.ENSDARP00000033328	62.2
1483313	7955.ENSDARP00000020522	373
1486595	7955.ENSDARP00000054875	22.2
1495393	7955.ENSDARP00000099727	147
1486245	7955.ENSDARP00000052638	14.1
1481288	7955.ENSDARP00000000514	64.4
1483932	7955.ENSDARP00000026420	135
1491754	7955.ENSDARP00000084839	3.43
1495369	7955.ENSDARP00000099664	303
1488274	7955.ENSDARP00000064895	199
1493067	7955.ENSDARP00000091816	560
1485862	7955.ENSDARP00000049424	138
