#id: 145
#name: D.rerio - Head, SC (Kelkar,MCP,2014)
#score: 15.5
#weight: 100%
#description: abundance based on Spectral counting, from<a href="http://www.ncbi.nlm.nih.gov/pubmed/25060758" target="_blank">Kelkar,MCP,2014</a><br/><b>Interaction consistency score</b>: 15.5&nbsp<b>Coverage</b>: 9
#organ: HEAD
#integrated: false
#coverage: 9
#publication_year: 2014
#filename: 7955-ZF_Head_Kelkar_2014_SEQUEST.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
1496963	7955.ENSDARP00000103447	0.885	4
1483760	7955.ENSDARP00000024693	17.8	1
1485932	7955.ENSDARP00000050257	252	21
1505202	7955.ENSDARP00000120742	6216	655
1505315	7955.ENSDARP00000121065	105	70
1487522	7955.ENSDARP00000060362	142	5
1496597	7955.ENSDARP00000102588	0.139	3
1501866	7955.ENSDARP00000112231	0.821	1
1486255	7955.ENSDARP00000052682	11.8	9
1496634	7955.ENSDARP00000102682	1578	433
1490111	7955.ENSDARP00000074422	315	14
1497271	7955.ENSDARP00000104161	132	6
1497750	7955.ENSDARP00000105055	0.164	3
1505783	7955.ENSDARP00000122226	47.2	4
1503787	7955.ENSDARP00000117097	47.1	1
1488853	7955.ENSDARP00000068111	91.4	6
1486376	7955.ENSDARP00000053431	75.3	2
1504448	7955.ENSDARP00000118774	160	34
1498675	7955.ENSDARP00000106669	599	154
1497428	7955.ENSDARP00000104487	0.096	1
1482983	7955.ENSDARP00000017326	358	158
1487491	7955.ENSDARP00000060202	6.91	2
1504431	7955.ENSDARP00000118741	6.15	2
1491709	7955.ENSDARP00000084502	14.9	4
1485027	7955.ENSDARP00000040396	505	13
1504592	7955.ENSDARP00000119169	103	6
1483964	7955.ENSDARP00000026717	27.9	2
1500871	7955.ENSDARP00000110522	44.1	1
1506186	7955.ENSDARP00000123299	182	112
1482575	7955.ENSDARP00000013329	1431	65
1498335	7955.ENSDARP00000106083	0.059	2
1483925	7955.ENSDARP00000026327	12.8	1
1499841	7955.ENSDARP00000108727	138	48
1499886	7955.ENSDARP00000108822	106	1
1490572	7955.ENSDARP00000076508	37.3	1
1506145	7955.ENSDARP00000123183	153	6
1488803	7955.ENSDARP00000067895	1572	431
1491652	7955.ENSDARP00000084055	2.45	1
1504820	7955.ENSDARP00000119791	0.117	3
1494094	7955.ENSDARP00000096118	36.2	3
1492498	7955.ENSDARP00000089210	18.5	1
1506060	7955.ENSDARP00000122950	4.4	2
1484013	7955.ENSDARP00000027115	76.4	4
1486256	7955.ENSDARP00000052687	145	34
1497987	7955.ENSDARP00000105492	59.7	1
1507353	7955.ENSDARP00000126372	0.029	1
1486398	7955.ENSDARP00000053567	60.4	1
1483334	7955.ENSDARP00000020775	459	40
1500974	7955.ENSDARP00000110701	29.6	1
1485820	7955.ENSDARP00000048939	3.86	1
1490011	7955.ENSDARP00000073908	51.6	1
1488215	7955.ENSDARP00000064522	302	14
1483302	7955.ENSDARP00000020396	10.2	1
1488096	7955.ENSDARP00000063836	53.4	2
1493861	7955.ENSDARP00000095111	2616	74
1492955	7955.ENSDARP00000091324	160	33
1486949	7955.ENSDARP00000057020	169	12
1499047	7955.ENSDARP00000107355	3.51	1
1496152	7955.ENSDARP00000101525	599	154
1500894	7955.ENSDARP00000110558	17.6	2
1501849	7955.ENSDARP00000112199	16131	302
1481782	7955.ENSDARP00000006207	575	29
1500780	7955.ENSDARP00000110377	815	40
1493307	7955.ENSDARP00000092760	797	31
1485539	7955.ENSDARP00000045887	213	13
1496066	7955.ENSDARP00000101307	14.1	1
1505159	7955.ENSDARP00000120625	0.201	3
1488693	7955.ENSDARP00000067373	23.1	1
1492920	7955.ENSDARP00000091097	20.9	2
1493758	7955.ENSDARP00000094658	1.88	1
1496631	7955.ENSDARP00000102675	8.31	1
1486190	7955.ENSDARP00000052354	9.63	2
1485889	7955.ENSDARP00000049792	679	30
1482474	7955.ENSDARP00000012454	367	23
1504118	7955.ENSDARP00000117945	0.042	1
1484563	7955.ENSDARP00000034534	152	3
1487302	7955.ENSDARP00000059062	487	18
1499394	7955.ENSDARP00000107946	572	109
1497137	7955.ENSDARP00000103850	12.5	2
1481855	7955.ENSDARP00000006882	22.2	2
1490116	7955.ENSDARP00000074466	24.6	4
1500146	7955.ENSDARP00000109264	1.14	1
1488087	7955.ENSDARP00000063816	139	2
1485681	7955.ENSDARP00000047408	12.0	28
1488172	7955.ENSDARP00000064273	0.262	1
1484805	7955.ENSDARP00000037758	1840	29
1503932	7955.ENSDARP00000117497	347	15
1502798	7955.ENSDARP00000114517	0.039	1
1494104	7955.ENSDARP00000096178	1160	16
1489142	7955.ENSDARP00000069608	483	3
1495693	7955.ENSDARP00000100431	6.32	1
1484412	7955.ENSDARP00000032575	783	52
1499155	7955.ENSDARP00000107547	572	109
1489173	7955.ENSDARP00000069745	8.64	1
1492125	7955.ENSDARP00000087500	1382	25
1485677	7955.ENSDARP00000047376	23.4	1
1490312	7955.ENSDARP00000075482	49.9	1
1486922	7955.ENSDARP00000056852	375	762
1501599	7955.ENSDARP00000111771	1.98	1
1505693	7955.ENSDARP00000122009	599	154
1500689	7955.ENSDARP00000110234	213	11
