#name: B.taurus - Whole organism (Integrated)
#score: 13.03
#weight: 
#description: integrated dataset: weighted average of all B.taurus WHOLE_ORGANISM datasets<br/><b>Interaction consistency score</b>: 13.03&nbsp<b>Coverage</b>: 54
#organ: WHOLE_ORGANISM
#integrated : true
#coverage: 54
#publication_year: 2015
#filename: 9913-WHOLE_ORGANISM-integrated.txt
#
#internal_id	string_external_id	abundance
2048035	9913.ENSBTAP00000023537	0.323
2050503	9913.ENSBTAP00000029616	0.001
2050502	9913.ENSBTAP00000029613	0.169
2053022	9913.ENSBTAP00000043379	0.002
2050504	9913.ENSBTAP00000029618	0.159
2046579	9913.ENSBTAP00000020061	0.179
2048972	9913.ENSBTAP00000025764	0.027
2046580	9913.ENSBTAP00000020062	0.168
2046581	9913.ENSBTAP00000020065	58.5
2048971	9913.ENSBTAP00000025763	1.98
2052220	9913.ENSBTAP00000040572	5.01
2055476	9913.ENSBTAP00000052965	0.775
2047175	9913.ENSBTAP00000021448	0.137
2039640	9913.ENSBTAP00000003225	0.094
2049856	9913.ENSBTAP00000027875	4.27
2039638	9913.ENSBTAP00000003220	0.414
2049854	9913.ENSBTAP00000027871	0.151
2040202	9913.ENSBTAP00000004503	40.7
2047172	9913.ENSBTAP00000021440	0.153
2039641	9913.ENSBTAP00000003229	5.66
2040266	9913.ENSBTAP00000004643	0.411
2044770	9913.ENSBTAP00000015716	122
2044573	9913.ENSBTAP00000015242	0.117
2044767	9913.ENSBTAP00000015713	68.2
2038284	9913.ENSBTAP00000000088	17.9
2040268	9913.ENSBTAP00000004645	2.76
2040267	9913.ENSBTAP00000004644	2.8
2038281	9913.ENSBTAP00000000085	1.75
2038280	9913.ENSBTAP00000000084	0.06
2038283	9913.ENSBTAP00000000087	0.348
2038282	9913.ENSBTAP00000000086	9.93
2038279	9913.ENSBTAP00000000081	35.9
2038278	9913.ENSBTAP00000000080	0.546
2053292	9913.ENSBTAP00000044478	0.025
2048887	9913.ENSBTAP00000025588	4.14
2038472	9913.ENSBTAP00000000556	3379
2052393	9913.ENSBTAP00000041150	0.08
2048882	9913.ENSBTAP00000025580	2.7
2038474	9913.ENSBTAP00000000558	0
2048884	9913.ENSBTAP00000025584	0.111
2048885	9913.ENSBTAP00000025586	67.8
2048973	9913.ENSBTAP00000025765	0.929
2050176	9913.ENSBTAP00000028690	0.033
2041184	9913.ENSBTAP00000006868	7.87
2041181	9913.ENSBTAP00000006865	0.925
2041182	9913.ENSBTAP00000006866	179
2048974	9913.ENSBTAP00000025766	0.074
2049326	9913.ENSBTAP00000026580	0.299
2049327	9913.ENSBTAP00000026582	27.1
2046182	9913.ENSBTAP00000019149	1.86
2046180	9913.ENSBTAP00000019146	0
2049168	9913.ENSBTAP00000026230	0.095
2049169	9913.ENSBTAP00000026236	1.0
2049170	9913.ENSBTAP00000026237	0.002
2047370	9913.ENSBTAP00000021914	0.11
2038383	9913.ENSBTAP00000000333	0.311
2038382	9913.ENSBTAP00000000331	0.132
2047021	9913.ENSBTAP00000021045	128
2043687	9913.ENSBTAP00000012945	0.725
2038386	9913.ENSBTAP00000000339	0.15
2043685	9913.ENSBTAP00000012940	0
2047803	9913.ENSBTAP00000022939	9.02
2050097	9913.ENSBTAP00000028520	50.9
2050098	9913.ENSBTAP00000028521	1.84
2050099	9913.ENSBTAP00000028522	0.336
2049793	9913.ENSBTAP00000027728	16.7
2047799	9913.ENSBTAP00000022931	0.084
2047798	9913.ENSBTAP00000022930	0
2047800	9913.ENSBTAP00000022932	0.447
2047801	9913.ENSBTAP00000022935	0.049
2049792	9913.ENSBTAP00000027722	0.509
2047802	9913.ENSBTAP00000022936	4.69
2053957	9913.ENSBTAP00000047871	7.52
2054254	9913.ENSBTAP00000048878	0
2038532	9913.ENSBTAP00000000697	0.488
2040588	9913.ENSBTAP00000005450	0.14
2051667	9913.ENSBTAP00000037070	1.63
2051668	9913.ENSBTAP00000037071	26.7
2039829	9913.ENSBTAP00000003652	0.038
2049102	9913.ENSBTAP00000026058	0.257
2038970	9913.ENSBTAP00000001687	0.128
2049100	9913.ENSBTAP00000026056	36.5
2049101	9913.ENSBTAP00000026057	0.076
2049099	9913.ENSBTAP00000026055	0.052
2049098	9913.ENSBTAP00000026053	110
2049095	9913.ENSBTAP00000026050	0
2051147	9913.ENSBTAP00000033821	0.122
2051146	9913.ENSBTAP00000033820	0.35
2040139	9913.ENSBTAP00000004354	0.163
2041547	9913.ENSBTAP00000007735	0.109
2054473	9913.ENSBTAP00000049613	98.7
2054472	9913.ENSBTAP00000049611	12.2
2053918	9913.ENSBTAP00000047700	0.019
2054474	9913.ENSBTAP00000049614	0.807
2044128	9913.ENSBTAP00000014044	540
2040650	9913.ENSBTAP00000005592	0.22
2044129	9913.ENSBTAP00000014047	0.521
2047191	9913.ENSBTAP00000021488	0.276
2044127	9913.ENSBTAP00000014043	0.038
2044130	9913.ENSBTAP00000014049	0.07
2041006	9913.ENSBTAP00000006440	77.5
2038690	9913.ENSBTAP00000001064	0.232
