#id: 202
#name: B.taurus - Whole organism, SC (PeptideAtlas,Dec,2011)
#score: 4.89
#weight: 40%
#description: abundance based on Spectral counting, from<a href="www.peptideatlas.org/builds/cow/201112/atlas_build_320.mysql.gz" target="_blank">PeptideAtlas, Dec,2011</a><br/><b>Interaction consistency score</b>: 4.89&nbsp<b>Coverage</b>: 12
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 12
#publication_year: 2011
#filename: 9913-cow_atlas_build_320.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
2044950	9913.ENSBTAP00000016111	11.6	12
2047104	9913.ENSBTAP00000021267	4.69	2
2038830	9913.ENSBTAP00000001373	6.47	15
2051577	9913.ENSBTAP00000036487	99.9	144
2053874	9913.ENSBTAP00000047554	78.5	20
2039328	9913.ENSBTAP00000002491	17.7	5
2050855	9913.ENSBTAP00000031959	21.9	3
2052762	9913.ENSBTAP00000042411	122	37
2042426	9913.ENSBTAP00000009864	51.5	23
2050602	9913.ENSBTAP00000030260	3.47	1
2042899	9913.ENSBTAP00000011016	44.3	2
2043538	9913.ENSBTAP00000012544	214	53
2040059	9913.ENSBTAP00000004181	2.12	1
2038974	9913.ENSBTAP00000001698	59.9	23
2044305	9913.ENSBTAP00000014560	361	442
2039077	9913.ENSBTAP00000001948	330	615
2055179	9913.ENSBTAP00000052086	12.0	4
2053400	9913.ENSBTAP00000044924	5.65	55
2041830	9913.ENSBTAP00000008386	437	146
2055102	9913.ENSBTAP00000051846	44.9	20
2046597	9913.ENSBTAP00000020092	16.2	2
2049446	9913.ENSBTAP00000026871	4.36	1
2055198	9913.ENSBTAP00000052124	5.71	3
2045252	9913.ENSBTAP00000016937	12.1	2
2040732	9913.ENSBTAP00000005782	109	28
2046420	9913.ENSBTAP00000019703	0.809	1
2046735	9913.ENSBTAP00000020363	93.8	21
2052740	9913.ENSBTAP00000042343	1.14	1
2056735	9913.ENSBTAP00000054759	261	394
2041492	9913.ENSBTAP00000007616	7.57	1
2057371	9913.ENSBTAP00000055574	21.4	3
2041655	9913.ENSBTAP00000007976	18.2	5
2051231	9913.ENSBTAP00000034349	25.2	4
2049735	9913.ENSBTAP00000027565	73.5	12
2048762	9913.ENSBTAP00000025318	30.6	6
2045431	9913.ENSBTAP00000017332	260	18
2051926	9913.ENSBTAP00000038769	3.14	6
