#name: S.cerevisiae - Whole organism, SC (PeptideAtlas,April,2009)
#score: 18.58
#weight: 90%
#description: abundance based on Spectral counting, from<a href="http://www.peptideatlas.org/builds/yeast/index.php" target="_blank">PeptideAtlas,April,2009</a><br/><b>Interaction consistency score</b>: 18.58&nbsp<b>Coverage</b>: 60
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 60
#publication_year: 2009
#filename: peptidesatalas_build_April_2009_yeast.new.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
629238	4932.YBR177C	41.2	111
631959	4932.YIL140W	1.05	5
633163	4932.YLR268W	50.4	54
634527	4932.YOR011W	0.23	3
632207	4932.YJL155C	2.63	5
633086	4932.YLR197W	1012	2675
628802	4932.YAL008W	0.935	1
634282	4932.YNR028W	2.54	6
633654	4932.YMR111C	9.1	24
632170	4932.YJL122W	86.3	82
631318	4932.YGR148C	3277	1486
632258	4932.YJL204C	0.141	1
634005	4932.YNL103W	3.36	9
635088	4932.YPL144W	4.13	4
633893	4932.YMR323W	21.1	283
629194	4932.YBR135W	71.5	58
633125	4932.YLR233C	6.25	29
629220	4932.YBR160W	91.5	156
629811	4932.YDL238C	0.288	1
632130	4932.YJL082W	3.83	18
632440	4932.YJR153W	0.955	2
631999	4932.YIR004W	10.0	26
632655	4932.YKL190W	66.7	71
633071	4932.YLR182W	15.6	78
630974	4932.YGL084C	5.43	24
630160	4932.YDR312W	16.5	83
633251	4932.YLR348C	4.26	6
632530	4932.YKL074C	4.42	13
634323	4932.YNR067C	0.232	2
634059	4932.YNL152W	7.15	11
633288	4932.YLR382C	2.13	11
632517	4932.YKL063C	21.6	9
630796	4932.YFL045C	919	1798
630753	4932.YFL010C	78.3	76
629974	4932.YDR141C	9.43	125
632181	4932.YJL131C	0.802	1
629742	4932.YDL170W	6.09	16
629172	4932.YBR117C	3.11	17
632311	4932.YJR028W	39.6	3757
633108	4932.YLR219W	1.15	4
635050	4932.YPL108W	1.26	1
631032	4932.YGL141W	1.05	6
629913	4932.YDR083W	43.9	79
633543	4932.YMR009W	46.2	45
634646	4932.YOR123C	13.2	33
632232	4932.YJL179W	9.65	4
633972	4932.YNL072W	2.24	5
630770	4932.YFL021W	5.09	17
632273	4932.YJL219W	0.231	8
630165	4932.YDR316W-A	26.2	3162
633266	4932.YLR362W	1.62	6
634964	4932.YPL024W	4.76	6
