#name: D.rerio - Whole organism, SC (PeptideAtlas,March,2014)
#score: 18.45
#weight: 100%
#description: abundance based on Spectral counting, from<a href="http://www.peptideatlas.org/builds/" target="_blank">PeptideAtlas,March,2014</a><br/><b>Interaction consistency score</b>: 18.45&nbsp<b>Coverage</b>: 43
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 43
#publication_year: 2014
#filename: 7955-PA_201403.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
1502636	7955.ENSDARP00000114104	0.115	1
1500412	7955.ENSDARP00000109737	56.0	119
1502637	7955.ENSDARP00000114107	0.433	2
1502634	7955.ENSDARP00000114101	23.9	57
1501419	7955.ENSDARP00000111462	0.141	1
1502635	7955.ENSDARP00000114103	1.91	13
1493138	7955.ENSDARP00000092027	46.5	96
1501424	7955.ENSDARP00000111469	7.73	17
1493136	7955.ENSDARP00000092020	74.2	100
1483975	7955.ENSDARP00000026819	25.6	136
1483672	7955.ENSDARP00000023878	1.7	2
1501422	7955.ENSDARP00000111467	0.836	6
1504636	7955.ENSDARP00000119275	4.76	10
1493720	7955.ENSDARP00000094508	3.01	40
1501971	7955.ENSDARP00000112410	1.44	12
1493719	7955.ENSDARP00000094506	2.83	27
1493718	7955.ENSDARP00000094505	78.1	293
1483671	7955.ENSDARP00000023877	178	831
1499992	7955.ENSDARP00000109011	1.16	1
1484875	7955.ENSDARP00000038651	85.4	493
1504925	7955.ENSDARP00000120051	0.593	11
1501420	7955.ENSDARP00000111463	6.64	41
1484877	7955.ENSDARP00000038658	1284	1033
1484850	7955.ENSDARP00000038308	0.392	1
1486472	7955.ENSDARP00000054065	0.886	1
1486471	7955.ENSDARP00000054063	6.69	53
1490632	7955.ENSDARP00000076810	115	371
1490633	7955.ENSDARP00000076812	0.539	4
1490635	7955.ENSDARP00000076815	0.292	6
1490634	7955.ENSDARP00000076814	142	35
1490527	7955.ENSDARP00000076360	0.491	1
1482327	7955.ENSDARP00000011269	215	30715
1485261	7955.ENSDARP00000042900	19.5	124
1484402	7955.ENSDARP00000032422	30.1	140
1485516	7955.ENSDARP00000045627	0.061	2
1496473	7955.ENSDARP00000102304	0.515	3
1498222	7955.ENSDARP00000105900	1.08	10
1496472	7955.ENSDARP00000102301	29.2	49
1496471	7955.ENSDARP00000102300	0.166	3
1498223	7955.ENSDARP00000105905	12.2	98
1498226	7955.ENSDARP00000105908	1.85	1
1487603	7955.ENSDARP00000060897	16.3	14
1505957	7955.ENSDARP00000122666	2.19	11
1505958	7955.ENSDARP00000122669	2.1	23
1505077	7955.ENSDARP00000120407	67.3	124
1497224	7955.ENSDARP00000104054	0.066	1
1505184	7955.ENSDARP00000120695	0.134	1
1496168	7955.ENSDARP00000101572	2.09	15
1497222	7955.ENSDARP00000104051	1.17	5
1484279	7955.ENSDARP00000030680	121	357
1490339	7955.ENSDARP00000075613	0.276	2
1486533	7955.ENSDARP00000054451	0.094	1
1481979	7955.ENSDARP00000008006	78.7	458
1506676	7955.ENSDARP00000124791	0.749	3
1482287	7955.ENSDARP00000011002	43.7	166
1483670	7955.ENSDARP00000023871	63.6	91
1505407	7955.ENSDARP00000121314	235	320
1504352	7955.ENSDARP00000118549	4.71	11
1506054	7955.ENSDARP00000122934	37.8	36
1495584	7955.ENSDARP00000100192	8.84	199
1485426	7955.ENSDARP00000044682	89.3	296
1500877	7955.ENSDARP00000110534	77.8	139
1488522	7955.ENSDARP00000066449	0.484	1
1495585	7955.ENSDARP00000100195	1655	23984
1487974	7955.ENSDARP00000063127	0.661	19
1488497	7955.ENSDARP00000066330	0.054	2
1488521	7955.ENSDARP00000066445	23.5	752
1491650	7955.ENSDARP00000084042	19.8	198
1487973	7955.ENSDARP00000063120	4.36	11
1484810	7955.ENSDARP00000037790	1.11	3
1503170	7955.ENSDARP00000115509	0.414	9
1484811	7955.ENSDARP00000037794	13.9	15
1484014	7955.ENSDARP00000027118	920	3620
1490305	7955.ENSDARP00000075439	0.056	2
1493905	7955.ENSDARP00000095276	0.702	42
1496917	7955.ENSDARP00000103355	0.968	3
1503165	7955.ENSDARP00000115501	0.004	1
1484013	7955.ENSDARP00000027115	977	1720
1503168	7955.ENSDARP00000115506	0.005	1
1503167	7955.ENSDARP00000115504	52.0	231
1498086	7955.ENSDARP00000105651	0.649	1
1493021	7955.ENSDARP00000091595	0.449	22
1483881	7955.ENSDARP00000025843	8.81	21
1499125	7955.ENSDARP00000107505	1.4	2
1486761	7955.ENSDARP00000055854	0.837	2
1486762	7955.ENSDARP00000055858	119	967
1484472	7955.ENSDARP00000033337	11.6	10
1495598	7955.ENSDARP00000100229	8.22	97
1482121	7955.ENSDARP00000009432	20.6	31
1501095	7955.ENSDARP00000110904	8.25	93
1501096	7955.ENSDARP00000110906	148	248
1497007	7955.ENSDARP00000103553	103	688
1481706	7955.ENSDARP00000005448	246	1207
1481705	7955.ENSDARP00000005444	13.5	28
1504037	7955.ENSDARP00000117775	11.5	124
1499424	7955.ENSDARP00000108010	27.3	86
1498350	7955.ENSDARP00000106107	8.79	16
1485204	7955.ENSDARP00000042270	0.092	2
1496672	7955.ENSDARP00000102775	535	10514
1491353	7955.ENSDARP00000081908	7.91	14
1488964	7955.ENSDARP00000068663	24.6	157
1488963	7955.ENSDARP00000068662	134	893
1488965	7955.ENSDARP00000068664	0.692	4
1488082	7955.ENSDARP00000063788	1417	1802
1481317	7955.ENSDARP00000001565	487	1109
1506156	7955.ENSDARP00000123222	14.8	44
1486315	7955.ENSDARP00000053101	9.86	27
1506158	7955.ENSDARP00000123226	92.9	708
1506157	7955.ENSDARP00000123225	0.003	6
1497154	7955.ENSDARP00000103886	0.117	1
1506197	7955.ENSDARP00000123323	535	10514
1492893	7955.ENSDARP00000090972	1.09	14
1492892	7955.ENSDARP00000090970	1.09	14
1492894	7955.ENSDARP00000090977	0.98	8
1507403	7955.ENSDARP00000126491	0.302	1
1506706	7955.ENSDARP00000124899	0.855	10
1492014	7955.ENSDARP00000086776	1.4	11
1488187	7955.ENSDARP00000064375	1161	1297
1491535	7955.ENSDARP00000083241	0.167	2
1500741	7955.ENSDARP00000110315	1.08	3
1488188	7955.ENSDARP00000064379	1.56	5
1506700	7955.ENSDARP00000124890	15.8	35
1506701	7955.ENSDARP00000124893	5.38	6
1491294	7955.ENSDARP00000081527	1.29	16
1488661	7955.ENSDARP00000067173	1.14	2
1488662	7955.ENSDARP00000067174	2.93	5
1498430	7955.ENSDARP00000106245	874	14160
1488664	7955.ENSDARP00000067178	15.7	14
1486473	7955.ENSDARP00000054069	6.83	5
1507189	7955.ENSDARP00000125946	2.92	4
1507190	7955.ENSDARP00000125947	11.0	48
1488102	7955.ENSDARP00000063876	540	1091
