#name: D.vulgaris - Whole organism, Formate-Exponential (Zhang,Proteomics,2006)
#score: 2.47
#weight: 100%
#description: abundance based on MAPPED_BY_AUTHORS, Formate-Exponential, from<a href="http://eutils.ncbi.nlm.nih.gov/entrez/eutils/elink.fcgi?dbfrom=pubmed&id=16819729&retmode=ref&cmd=prlinks" target="_blank">Zhang,Proteomics,2006</a><br/><b>Interaction consistency score</b>: 2.47&nbsp<b>Coverage</b>: 28
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 28
#publication_year: 2006
#filename: Desulfo_Form_Exp_SC_zhang_2006.txt
#
#internal_id	string_external_id	abundance
4574	882.DVU0956	4535
4575	882.DVU0957	2084
4572	882.DVU0954	0
4573	882.DVU0955	1003
4571	882.DVU0953	256
4569	882.DVU0951	78.0
6961	882.DVU3373	591
4576	882.DVU0958	1593
5392	882.DVU1783	813
3676	882.DVU0046	256
3677	882.DVU0047	145
5393	882.DVU1784	925
6387	882.DVU2794	223
4304	882.DVU0682	368
4305	882.DVU0683	969
5235	882.DVU1623	1192
5234	882.DVU1622	0
4306	882.DVU0684	1192
4307	882.DVU0685	0
4381	882.DVU0761	591
4811	882.DVU1196	1448
4384	882.DVU0764	1638
5241	882.DVU1629	0
4386	882.DVU0766	223
6413	882.DVU2820	0
6814	882.DVU3223	0
6536	882.DVU2943	189
6535	882.DVU2942	747
6938	882.DVU3349	1036
4107	882.DVU0481	145
4113	882.DVU0487	891
4114	882.DVU0488	858
6645	882.DVU3053	891
4982	882.DVU1368	412
5020	882.DVU1406	145
6647	882.DVU3055	0
4977	882.DVU1363	0
4974	882.DVU1360	925
5022	882.DVU1408	301
4980	882.DVU1366	0
4981	882.DVU1367	145
4978	882.DVU1364	0
5180	882.DVU1568	1783
5181	882.DVU1569	1894
4812	882.DVU1197	301
6705	882.DVU3113	301
5173	882.DVU1560	145
3967	882.DVU0341	702
5298	882.DVU1688	78.0
5450	882.DVU1843	189
5449	882.DVU1842	0
5448	882.DVU1841	301
5662	882.DVU2059	0
5661	882.DVU2058	256
5658	882.DVU2055	111
5660	882.DVU2057	111
4056	882.DVU0430	0
4058	882.DVU0432	0
5531	882.DVU1924	0
5534	882.DVU1927	891
6280	882.DVU2684	0
4443	882.DVU0823	111
5529	882.DVU1922	9504
6619	882.DVU3027	446
6617	882.DVU3025	5270
6905	882.DVU3316	189
4933	882.DVU1319	412
4932	882.DVU1318	2674
4931	882.DVU1317	1192
4012	882.DVU0386	702
4929	882.DVU1315	2596
4928	882.DVU1314	0
4927	882.DVU1313	368
4926	882.DVU1312	858
4925	882.DVU1311	1003
6620	882.DVU3028	0
3773	882.DVU0143	111
3772	882.DVU0142	813
6212	882.DVU2616	0
6345	882.DVU2752	3788
3889	882.DVU0261	3643
3890	882.DVU0262	111
5434	882.DVU1826	223
6349	882.DVU2756	0
3893	882.DVU0265	0
3894	882.DVU0266	2006
6348	882.DVU2755	0
6130	882.DVU2533	1148
6127	882.DVU2530	1370
6128	882.DVU2531	334
5302	882.DVU1692	189
6134	882.DVU2537	412
6131	882.DVU2534	669
6132	882.DVU2535	780
6135	882.DVU2538	1036
6037	882.DVU2439	0
6798	882.DVU3207	0
6797	882.DVU3206	189
6795	882.DVU3204	1226
5825	882.DVU2223	111
6029	882.DVU2430	479
4309	882.DVU0687	0
4126	882.DVU0501	301
4125	882.DVU0500	111
4128	882.DVU0503	2596
4129	882.DVU0504	2707
4762	882.DVU1144	0
4133	882.DVU0508	524
6955	882.DVU3367	635
4843	882.DVU1228	1482
3938	882.DVU0312	0
4838	882.DVU1223	78.0
4837	882.DVU1222	0
3945	882.DVU0319	3042
5752	882.DVU2150	145
5919	882.DVU2318	1003
4264	882.DVU0642	0
4387	882.DVU0767	0
5830	882.DVU2228	0
6137	882.DVU2540	524
5828	882.DVU2226	0
5829	882.DVU2227	78.0
4346	882.DVU0726	145
4341	882.DVU0721	0
5520	882.DVU1913	334
4343	882.DVU0723	0
4342	882.DVU0722	446
5278	882.DVU1668	223
6364	882.DVU2771	412
6577	882.DVU2985	256
6575	882.DVU2983	145
6574	882.DVU2982	111
6573	882.DVU2981	301
4752	882.DVU1134	0
4657	882.DVU1039	479
6862	882.DVU3271	2117
6883	882.DVU3293	557
6884	882.DVU3294	557
4648	882.DVU1030	1036
6689	882.DVU3097	0
6686	882.DVU3094	1816
3791	882.DVU0161	145
6691	882.DVU3099	0
4584	882.DVU0966	3376
4582	882.DVU0964	1972
4581	882.DVU0963	189
4579	882.DVU0961	78.0
6623	882.DVU3031	78.0
4708	882.DVU1090	446
3663	882.DVU0033	223
3664	882.DVU0034	334
5194	882.DVU1582	78.0
6507	882.DVU2914	78.0
6505	882.DVU2912	111
5229	882.DVU1617	0
5911	882.DVU2309	256
4246	882.DVU0624	301
4022	882.DVU0396	223
4247	882.DVU0625	2674
5569	882.DVU1962	223
5227	882.DVU1615	368
4483	882.DVU0865	145
4914	882.DVU1300	3900
5912	882.DVU2310	145
6243	882.DVU2647	368
6236	882.DVU2640	78.0
5918	882.DVU2317	0
6239	882.DVU2643	524
4250	882.DVU0628	0
4912	882.DVU1298	256
4913	882.DVU1299	3677
4018	882.DVU0392	0
4905	882.DVU1290	780
5367	882.DVU1758	0
4909	882.DVU1295	32456
5206	882.DVU1594	78.0
3737	882.DVU0107	2262
5208	882.DVU1596	0
5072	882.DVU1458	1036
5073	882.DVU1459	0
5205	882.DVU1593	189
5204	882.DVU1592	0
6654	882.DVU3062	0
6653	882.DVU3061	0
5071	882.DVU1457	813
6739	882.DVU3148	334
5210	882.DVU1598	0
6657	882.DVU3065	189
5067	882.DVU1453	111
5401	882.DVU1792	78.0
5400	882.DVU1791	111
3788	882.DVU0158	446
5404	882.DVU1795	3487
5408	882.DVU1799	0
5558	882.DVU1951	145
5209	882.DVU1597	669
4801	882.DVU1186	223
6204	882.DVU2608	111
4172	882.DVU0547	1638
5426	882.DVU1818	223
4432	882.DVU0812	111
4796	882.DVU1180	111
5968	882.DVU2368	111
5967	882.DVU2367	145
6731	882.DVU3140	0
5424	882.DVU1816	145
5425	882.DVU1817	1337
4439	882.DVU0819	0
3730	882.DVU0100	813
4089	882.DVU0463	0
4086	882.DVU0460	223
3985	882.DVU0359	189
5069	882.DVU1455	747
3976	882.DVU0350	0
3978	882.DVU0352	301
6078	882.DVU2481	111
3980	882.DVU0354	0
3979	882.DVU0353	557
6293	882.DVU2697	189
5862	882.DVU2260	0
5710	882.DVU2108	1638
6658	882.DVU3066	111
6061	882.DVU2464	0
4230	882.DVU0608	813
4231	882.DVU0609	78.0
4222	882.DVU0600	189
6656	882.DVU3064	0
4229	882.DVU0607	1749
6101	882.DVU2504	0
4690	882.DVU1072	0
4136	882.DVU0511	0
6849	882.DVU3258	111
4695	882.DVU1077	301
6979	882.DVU3392	3421
6111	882.DVU2514	2228
4696	882.DVU1078	111
4428	882.DVU0808	334
6844	882.DVU3253	145
4795	882.DVU1179	702
4893	882.DVU1278	301
4894	882.DVU1279	0
4790	882.DVU1174	78.0
6784	882.DVU3193	0
5842	882.DVU2240	0
6781	882.DVU3190	1036
4545	882.DVU0927	747
6785	882.DVU3194	0
4547	882.DVU0929	111
4546	882.DVU0928	0
4396	882.DVU0776	1526
4397	882.DVU0777	8914
5817	882.DVU2215	9058
4395	882.DVU0775	18462
5814	882.DVU2212	78.0
3706	882.DVU0076	111
4398	882.DVU0778	78.0
4399	882.DVU0779	702
6027	882.DVU2428	669
5248	882.DVU1636	10362
4707	882.DVU1089	1114
4297	882.DVU0675	925
4293	882.DVU0671	78.0
5062	882.DVU1448	0
4625	882.DVU1007	0
4623	882.DVU1005	145
6405	882.DVU2812	256
6543	882.DVU2951	223
6718	882.DVU3127	111
6485	882.DVU2892	412
6709	882.DVU3117	145
5026	882.DVU1412	145
5032	882.DVU1418	0
6719	882.DVU3128	0
5172	882.DVU1559	10551
6674	882.DVU3082	1448
5905	882.DVU2303	0
6347	882.DVU2754	223
6692	882.DVU3100	0
6693	882.DVU3101	0
5165	882.DVU1552	0
6696	882.DVU3104	13927
6699	882.DVU3107	412
4409	882.DVU0789	256
6177	882.DVU2580	334
4400	882.DVU0780	111
5457	882.DVU1850	256
5458	882.DVU1851	368
5921	882.DVU2320	0
6331	882.DVU2738	1783
5927	882.DVU2326	0
5926	882.DVU2325	111
5464	882.DVU1857	1036
6328	882.DVU2735	111
5929	882.DVU2329	446
4211	882.DVU0589	0
4049	882.DVU0423	2150
4047	882.DVU0421	111
5518	882.DVU1911	223
4470	882.DVU0851	4234
4469	882.DVU0850	969
4476	882.DVU0857	1638
4475	882.DVU0856	669
4474	882.DVU0855	0
4473	882.DVU0854	145
6627	882.DVU3035	189
6628	882.DVU3036	0
6629	882.DVU3037	78.0
6622	882.DVU3030	1114
4923	882.DVU1309	2373
3881	882.DVU0253	1894
6625	882.DVU3033	669
4918	882.DVU1304	3120
4919	882.DVU1305	969
4920	882.DVU1306	2707
4921	882.DVU1307	1304
3887	882.DVU0259	3086
4916	882.DVU1302	1894
4917	882.DVU1303	2262
3725	882.DVU0095	747
3721	882.DVU0091	78.0
3720	882.DVU0090	111
3786	882.DVU0156	0
5427	882.DVU1819	858
5592	882.DVU1985	256
4431	882.DVU0811	8167
5957	882.DVU2357	0
5806	882.DVU2204	6875
4430	882.DVU0810	524
5954	882.DVU2354	0
5740	882.DVU2138	446
6801	882.DVU3210	78.0
6803	882.DVU3212	2674
6377	882.DVU2784	3978
6380	882.DVU2787	145
6019	882.DVU2420	256
5454	882.DVU1847	0
6021	882.DVU2422	223
6944	882.DVU3356	479
6026	882.DVU2427	334
6947	882.DVU3359	256
5192	882.DVU1580	189
5964	882.DVU2364	189
4079	882.DVU0453	256
6695	882.DVU3103	412
5593	882.DVU1986	256
6941	882.DVU3352	0
6943	882.DVU3355	189
4135	882.DVU0510	591
5588	882.DVU1981	145
4853	882.DVU1238	635
3949	882.DVU0323	479
3948	882.DVU0322	6797
4437	882.DVU0817	0
5420	882.DVU1812	0
3953	882.DVU0327	78.0
3952	882.DVU0326	0
3951	882.DVU0325	334
5233	882.DVU1621	189
6776	882.DVU3185	7944
4255	882.DVU0633	256
4253	882.DVU0631	78.0
6903	882.DVU3314	78.0
6148	882.DVU2551	0
6149	882.DVU2552	524
4352	882.DVU0732	635
5853	882.DVU2251	412
5852	882.DVU2250	223
4356	882.DVU0736	0
4354	882.DVU0734	1036
5856	882.DVU2254	0
5379	882.DVU1770	1003
5384	882.DVU1775	0
5280	882.DVU1670	925
5281	882.DVU1671	0
6588	882.DVU2996	0
6589	882.DVU2997	78.0
6582	882.DVU2990	1337
5808	882.DVU2206	111
6584	882.DVU2992	0
5287	882.DVU1677	256
4739	882.DVU1121	0
4661	882.DVU1043	891
3778	882.DVU0148	111
5142	882.DVU1529	223
4662	882.DVU1044	1304
5580	882.DVU1973	111
3870	882.DVU0241	557
5805	882.DVU2203	1415
6276	882.DVU2680	1003
4596	882.DVU0978	479
4597	882.DVU0979	4758
4593	882.DVU0975	0
3815	882.DVU0186	813
5910	882.DVU2308	111
5803	882.DVU2201	7721
4445	882.DVU0825	412
4491	882.DVU0873	891
4365	882.DVU0745	2006
4362	882.DVU0742	223
4361	882.DVU0741	111
5528	882.DVU1921	1705
6514	882.DVU2921	78.0
6513	882.DVU2920	15042
6516	882.DVU2923	78.0
6515	882.DVU2922	78.0
6518	882.DVU2925	1928
6517	882.DVU2924	635
6520	882.DVU2927	8056
6519	882.DVU2926	1148
6522	882.DVU2929	2863
6521	882.DVU2928	2485
4516	882.DVU0898	334
6267	882.DVU2671	635
4514	882.DVU0896	0
6269	882.DVU2673	78.0
4512	882.DVU0894	446
4511	882.DVU0893	702
4509	882.DVU0891	813
4508	882.DVU0890	256
4956	882.DVU1342	111
6558	882.DVU2966	702
4958	882.DVU1344	368
4959	882.DVU1345	479
6246	882.DVU2650	0
6362	882.DVU2769	1526
6762	882.DVU3171	111
5082	882.DVU1468	969
6764	882.DVU3173	189
6763	882.DVU3172	635
5197	882.DVU1585	78.0
5075	882.DVU1461	0
5074	882.DVU1460	78.0
5200	882.DVU1588	111
5201	882.DVU1589	0
3921	882.DVU0295	111
5081	882.DVU1467	78.0
3922	882.DVU0296	557
4286	882.DVU0664	479
5431	882.DVU1823	111
4287	882.DVU0665	368
4014	882.DVU0388	78.0
4936	882.DVU1322	1861
5676	882.DVU2073	111
5390	882.DVU1781	256
5391	882.DVU1782	446
5673	882.DVU2070	145
5680	882.DVU2077	1337
5679	882.DVU2076	0
5397	882.DVU1788	368
6561	882.DVU2969	145
5681	882.DVU2078	0
5777	882.DVU2175	78.0
4175	882.DVU0550	0
4176	882.DVU0551	78.0
6908	882.DVU3319	2752
5979	882.DVU2379	0
6904	882.DVU3315	78.0
5428	882.DVU1820	1783
5976	882.DVU2376	223
5430	882.DVU1822	78.0
5970	882.DVU2370	368
4429	882.DVU0809	111
5973	882.DVU2373	1036
4044	882.DVU0418	1003
3988	882.DVU0362	0
4038	882.DVU0412	111
4036	882.DVU0410	189
6351	882.DVU2758	145
4041	882.DVU0415	1226
4040	882.DVU0414	858
6363	882.DVU2770	0
3796	882.DVU0166	0
3795	882.DVU0165	145
6367	882.DVU2774	1081
3792	882.DVU0162	145
6369	882.DVU2776	3933
4943	882.DVU1329	1783
3799	882.DVU0169	6875
6151	882.DVU2554	111
4505	882.DVU0887	189
5901	882.DVU2299	145
5899	882.DVU2297	189
5897	882.DVU2295	3008
5895	882.DVU2293	145
5893	882.DVU2291	780
5892	882.DVU2290	189
6115	882.DVU2518	2785
6116	882.DVU2519	2930
5711	882.DVU2109	18574
6346	882.DVU2753	223
5709	882.DVU2107	702
5707	882.DVU2105	1304
5706	882.DVU2104	3788
5705	882.DVU2103	1861
6112	882.DVU2515	145
6113	882.DVU2516	111
5702	882.DVU2100	591
4152	882.DVU0527	0
3914	882.DVU0286	189
4147	882.DVU0522	0
6972	882.DVU3384	635
3892	882.DVU0264	1593
4703	882.DVU1085	0
6853	882.DVU3262	256
6855	882.DVU3264	0
6490	882.DVU2897	0
6350	882.DVU2757	0
4856	882.DVU1241	0
6179	882.DVU2582	780
4857	882.DVU1242	223
6183	882.DVU2586	1448
6182	882.DVU2585	0
4864	882.DVU1249	702
4863	882.DVU1248	479
4781	882.DVU1165	223
3911	882.DVU0283	557
6771	882.DVU3180	0
6772	882.DVU3181	256
6773	882.DVU3182	78.0
6774	882.DVU3183	12958
4553	882.DVU0935	813
6778	882.DVU3187	4201
3909	882.DVU0281	0
4323	882.DVU0703	0
4322	882.DVU0702	111
4321	882.DVU0701	1192
4327	882.DVU0707	256
5286	882.DVU1676	301
4324	882.DVU0704	78.0
3692	882.DVU0062	479
6133	882.DVU2536	111
3690	882.DVU0060	591
3691	882.DVU0061	189
3694	882.DVU0064	0
6556	882.DVU2964	78.0
5214	882.DVU1602	0
4290	882.DVU0668	223
5216	882.DVU1604	223
6555	882.DVU2963	78.0
5221	882.DVU1609	78.0
5220	882.DVU1608	78.0
4282	882.DVU0660	0
4284	882.DVU0662	145
4285	882.DVU0663	256
4630	882.DVU1012	2228
4631	882.DVU1013	7577
3741	882.DVU0111	78.0
5675	882.DVU2072	111
6726	882.DVU3135	78.0
6725	882.DVU3134	2228
6728	882.DVU3137	0
6727	882.DVU3136	223
5043	882.DVU1429	111
4598	882.DVU0980	368
5154	882.DVU1541	0
5039	882.DVU1425	524
5038	882.DVU1424	524
5041	882.DVU1427	368
5040	882.DVU1426	223
5034	882.DVU1420	145
5037	882.DVU1423	111
5036	882.DVU1422	25370
5191	882.DVU1579	301
3649	882.DVU0019	813
5620	882.DVU2014	1560
5157	882.DVU1544	223
4419	882.DVU0799	38997
6671	882.DVU3079	78.0
4663	882.DVU1045	301
4411	882.DVU0791	0
4414	882.DVU0794	334
4415	882.DVU0795	0
4416	882.DVU0796	111
5042	882.DVU1428	368
5930	882.DVU2330	0
5514	882.DVU1907	334
5511	882.DVU1904	891
4217	882.DVU0595	223
5476	882.DVU1869	635
5510	882.DVU1903	0
5936	882.DVU2336	256
4213	882.DVU0591	1749
5939	882.DVU2339	0
6723	882.DVU3132	145
4220	882.DVU0598	0
4467	882.DVU0848	2641
4468	882.DVU0849	5493
4460	882.DVU0840	301
4461	882.DVU0841	702
4463	882.DVU0843	223
4685	882.DVU1067	1114
4465	882.DVU0846	6941
4466	882.DVU0847	34284
4953	882.DVU1339	78.0
3872	882.DVU0243	78.0
6595	882.DVU3003	301
6594	882.DVU3002	0
6597	882.DVU3005	78.0
4945	882.DVU1331	111
6600	882.DVU3008	0
4948	882.DVU1334	3933
4951	882.DVU1337	479
4606	882.DVU0988	111
3714	882.DVU0084	111
3715	882.DVU0085	0
6106	882.DVU2509	0
3710	882.DVU0080	78.0
3712	882.DVU0082	0
6231	882.DVU2635	0
6232	882.DVU2636	0
3755	882.DVU0125	111
5745	882.DVU2143	1081
5744	882.DVU2142	78.0
6015	882.DVU2416	223
6010	882.DVU2411	189
6009	882.DVU2410	780
5597	882.DVU1990	223
5600	882.DVU1993	747
6936	882.DVU3347	368
6819	882.DVU3228	111
6390	882.DVU2797	256
6818	882.DVU3227	0
6388	882.DVU2795	0
6385	882.DVU2792	1526
6811	882.DVU3220	0
6937	882.DVU3348	145
6813	882.DVU3222	1816
4820	882.DVU1205	256
4819	882.DVU1204	1972
4822	882.DVU1207	145
4821	882.DVU1206	368
4067	882.DVU0441	1114
4818	882.DVU1203	2563
4184	882.DVU0561	0
4074	882.DVU0448	891
4189	882.DVU0566	1003
4188	882.DVU0565	5237
4792	882.DVU1176	145
3866	882.DVU0237	78.0
3965	882.DVU0339	702
