#name: M.musculus - Whole organism, SC (PeptideAtlas,June,2011)
#score: 12.75
#weight: 100%
#description: abundance based on Spectral counting, from<a href="https://db.systemsbiology.net/sbeams/cgi/PeptideAtlas/defaultBuildsPepsProts?_subtab=3" target="_blank">PeptideAtlas,June,2011</a><br/><b>Interaction consistency score</b>: 12.75&nbsp<b>Coverage</b>: 26
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 26
#publication_year: 2011
#filename: Mouse_PeptideAtlas_2011-06_Ens62.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
2093102	10090.ENSMUSP00000000365	2.44	8
2095514	10090.ENSMUSP00000022507	45.7	129
2108131	10090.ENSMUSP00000088285	677	7703
2108132	10090.ENSMUSP00000088287	1210	9024
2108130	10090.ENSMUSP00000088281	677	7703
2099689	10090.ENSMUSP00000036849	0.542	4
2108133	10090.ENSMUSP00000088288	1402	8555
2110479	10090.ENSMUSP00000100044	996	4261
2095834	10090.ENSMUSP00000023455	0.57	2
2095833	10090.ENSMUSP00000023453	326	448
2098148	10090.ENSMUSP00000031319	128	128
2095831	10090.ENSMUSP00000023450	150	507
2098145	10090.ENSMUSP00000031314	8717	38717
2093486	10090.ENSMUSP00000003386	3.52	7
2105783	10090.ENSMUSP00000072829	599	1193
2113417	10090.ENSMUSP00000127148	11.0	36
2110830	10090.ENSMUSP00000102078	2450	3350
2101440	10090.ENSMUSP00000046302	1.78	3
2105782	10090.ENSMUSP00000072826	0.148	1
2104354	10090.ENSMUSP00000063217	0.121	2
2110673	10090.ENSMUSP00000101004	33.9	24
2110672	10090.ENSMUSP00000101002	8.4	19
2108554	10090.ENSMUSP00000091685	30.0	82
2112802	10090.ENSMUSP00000120115	356	1252
2110482	10090.ENSMUSP00000100048	996	4261
2108332	10090.ENSMUSP00000090086	1.47	2
2113451	10090.ENSMUSP00000127368	4.28	16
2096445	10090.ENSMUSP00000025885	3.49	4
2114350	10090.ENSMUSP00000132725	1.91	3
2105234	10090.ENSMUSP00000069699	1.96	8
2110807	10090.ENSMUSP00000101913	0.243	2
2107117	10090.ENSMUSP00000080256	4.46	33
2104981	10090.ENSMUSP00000067774	0.166	6
2104982	10090.ENSMUSP00000067779	0.804	3
2093226	10090.ENSMUSP00000001365	46.8	129
2108294	10090.ENSMUSP00000089664	22.7	40
2105185	10090.ENSMUSP00000069350	0.278	3
2096187	10090.ENSMUSP00000025083	3.01	36
2108428	10090.ENSMUSP00000090884	0.082	1
2098835	10090.ENSMUSP00000033640	1.42	6
2111207	10090.ENSMUSP00000104725	20.9	120
2097780	10090.ENSMUSP00000030192	285	427
2114173	10090.ENSMUSP00000131584	33.0	27
2112644	10090.ENSMUSP00000117045	294	331
2094769	10090.ENSMUSP00000020107	3.94	68
2107036	10090.ENSMUSP00000079752	79.6	2391
2098332	10090.ENSMUSP00000031868	4.57	10
2093204	10090.ENSMUSP00000001181	12.1	51
2093205	10090.ENSMUSP00000001183	45.2	148
2098331	10090.ENSMUSP00000031866	307	294
2093209	10090.ENSMUSP00000001187	248	639
2098329	10090.ENSMUSP00000031862	38.1	105
2093754	10090.ENSMUSP00000005953	2.72	14
2108773	10090.ENSMUSP00000092836	7.31	281
2093755	10090.ENSMUSP00000005954	32.4	29
2093313	10090.ENSMUSP00000001989	160	1322
2115431	10090.ENSMUSP00000137297	82.0	322
2112722	10090.ENSMUSP00000118704	3.15	2
2110523	10090.ENSMUSP00000100531	1.76	1
2101808	10090.ENSMUSP00000048218	568	12026
2101189	10090.ENSMUSP00000044955	33.9	70
2110529	10090.ENSMUSP00000100538	197	321
2102808	10090.ENSMUSP00000053943	407	453
2110349	10090.ENSMUSP00000099776	15.7	43
2109833	10090.ENSMUSP00000097534	0.183	7
2109832	10090.ENSMUSP00000097531	0.183	7
2110347	10090.ENSMUSP00000099770	3.04	43
2111841	10090.ENSMUSP00000109312	0.662	2
2099919	10090.ENSMUSP00000038063	0.278	1
2098534	10090.ENSMUSP00000032597	347	156
2099920	10090.ENSMUSP00000038069	77.5	167
2093878	10090.ENSMUSP00000007005	90.5	525
2105826	10090.ENSMUSP00000073061	778	712
2110060	10090.ENSMUSP00000098796	2.51	7
2095198	10090.ENSMUSP00000021506	637	7446
2104241	10090.ENSMUSP00000062539	134	62
2097942	10090.ENSMUSP00000030731	1.75	1
2097944	10090.ENSMUSP00000030734	56.1	187
2099739	10090.ENSMUSP00000037075	1.13	2
2097946	10090.ENSMUSP00000030739	4.05	25
2101175	10090.ENSMUSP00000044877	20.5	16
2101317	10090.ENSMUSP00000045571	7615	924
2110432	10090.ENSMUSP00000099953	0.305	5
2109616	10090.ENSMUSP00000097093	0.081	1
2098573	10090.ENSMUSP00000032779	15.5	62
2106452	10090.ENSMUSP00000076538	4.21	25
2095385	10090.ENSMUSP00000022082	397	165
2105743	10090.ENSMUSP00000072620	1299	6582
2097104	10090.ENSMUSP00000028106	2.28	16
2106843	10090.ENSMUSP00000078661	2.51	5
2097101	10090.ENSMUSP00000028102	1.02	25
2114233	10090.ENSMUSP00000131964	9.67	418
2110370	10090.ENSMUSP00000099823	0.482	2
2106893	10090.ENSMUSP00000078886	2.09	4
2109475	10090.ENSMUSP00000096487	2.01	3
2104764	10090.ENSMUSP00000066238	96.1	341
2102935	10090.ENSMUSP00000054702	0.207	2
2093621	10090.ENSMUSP00000004587	1.0	2
2095447	10090.ENSMUSP00000022268	339	1132
2114384	10090.ENSMUSP00000132922	7.37	8
2112137	10090.ENSMUSP00000111309	76.1	53
2095446	10090.ENSMUSP00000022264	4.62	50
2103574	10090.ENSMUSP00000058391	0.38	1
2112316	10090.ENSMUSP00000112978	0.277	3
2112315	10090.ENSMUSP00000112972	0.005	3
2111171	10090.ENSMUSP00000104532	2.44	38
2093565	10090.ENSMUSP00000004054	7.66	35
2093567	10090.ENSMUSP00000004057	125	99
2094192	10090.ENSMUSP00000014263	27.2	863
2093634	10090.ENSMUSP00000004729	1672	2002
2106561	10090.ENSMUSP00000077223	1.49	22
2112023	10090.ENSMUSP00000110574	13.2	30
2094487	10090.ENSMUSP00000018186	1611	3270
2094486	10090.ENSMUSP00000018184	3.34	8
2112654	10090.ENSMUSP00000117231	0.735	3
2096127	10090.ENSMUSP00000024906	0.541	1
2098038	10090.ENSMUSP00000030993	0.775	2
2111669	10090.ENSMUSP00000108190	48.9	34
2106279	10090.ENSMUSP00000075573	2.37	9
2103276	10090.ENSMUSP00000056643	62.9	94
2099882	10090.ENSMUSP00000037858	1.76	11
2104799	10090.ENSMUSP00000066492	1.05	12
2105416	10090.ENSMUSP00000070871	1.76	8
2096319	10090.ENSMUSP00000025506	0.884	2
2096317	10090.ENSMUSP00000025503	1.35	5
2110849	10090.ENSMUSP00000102264	0.417	4
2102012	10090.ENSMUSP00000049303	2.97	35
2110072	10090.ENSMUSP00000098880	2.43	4
2101415	10090.ENSMUSP00000046172	0.507	2
2107594	10090.ENSMUSP00000083722	706	282
2107595	10090.ENSMUSP00000083725	2.34	10
2104946	10090.ENSMUSP00000067541	678	3481
2104887	10090.ENSMUSP00000067013	30.1	64
2100900	10090.ENSMUSP00000043424	22.9	192
2099371	10090.ENSMUSP00000035158	1064	11300
2098075	10090.ENSMUSP00000031103	72.7	325
2098074	10090.ENSMUSP00000031101	0.338	1
2099369	10090.ENSMUSP00000035155	0.636	3
2098076	10090.ENSMUSP00000031104	4.77	43
2095460	10090.ENSMUSP00000022310	1.47	6
2093151	10090.ENSMUSP00000000804	126	683
2113524	10090.ENSMUSP00000127808	652	10634
2108565	10090.ENSMUSP00000091768	3.29	5
2097990	10090.ENSMUSP00000030858	6.21	16
2114131	10090.ENSMUSP00000131355	5.85	41
2095462	10090.ENSMUSP00000022314	261	505
2107965	10090.ENSMUSP00000086948	4.6	28
2100685	10090.ENSMUSP00000042088	5.64	7
2104593	10090.ENSMUSP00000064893	0.271	1
2107345	10090.ENSMUSP00000081663	156	746
2108962	10090.ENSMUSP00000093945	41.9	241
2099208	10090.ENSMUSP00000034689	23.3	25
2097873	10090.ENSMUSP00000030501	1.95	2
2100290	10090.ENSMUSP00000040022	0.254	1
2110764	10090.ENSMUSP00000101616	122	238
2111233	10090.ENSMUSP00000104889	0.598	4
2107821	10090.ENSMUSP00000085763	1.53	5
2094405	10090.ENSMUSP00000017188	6.31	22
2093707	10090.ENSMUSP00000005548	0.692	2
2111408	10090.ENSMUSP00000106025	2.42	2
2113518	10090.ENSMUSP00000127774	86.5	172
2106793	10090.ENSMUSP00000078410	14.4	68
2114895	10090.ENSMUSP00000136357	996	4261
2100336	10090.ENSMUSP00000040244	8.14	21
2108208	10090.ENSMUSP00000088935	5.05	4
2100338	10090.ENSMUSP00000040246	696	1120
2106089	10090.ENSMUSP00000074560	291	247
2099085	10090.ENSMUSP00000034355	115	581
2094847	10090.ENSMUSP00000020372	2.86	2
2100132	10090.ENSMUSP00000039109	37.9	309
2094848	10090.ENSMUSP00000020375	1.02	2
2115369	10090.ENSMUSP00000137194	5.02	30
2115370	10090.ENSMUSP00000137195	305	3389
2114253	10090.ENSMUSP00000132117	0.827	3
2112528	10090.ENSMUSP00000114906	5.09	8
2112038	10090.ENSMUSP00000110684	8.46	44
2093321	10090.ENSMUSP00000002043	7.12	16
2093322	10090.ENSMUSP00000002044	0.274	1
2093323	10090.ENSMUSP00000002048	29.4	59
2093388	10090.ENSMUSP00000002518	2.0	3
2100482	10090.ENSMUSP00000041049	5.05	13
2104267	10090.ENSMUSP00000062670	23.0	70
2114435	10090.ENSMUSP00000133245	2.3	14
2093058	10090.ENSMUSP00000000109	5.3	50
