#name: C.jejuni - Whole organism, SC (PRIDE,PRD000441,2011)
#score: 7.6
#weight: 100%
#description: abundance based on Spectral counting, from<a href="http://www.ebi.ac.uk/pride/archive/projects/PRD000441" target="_blank">PRIDE,PRD000441,2011</a><br/><b>Interaction consistency score</b>: 7.6&nbsp<b>Coverage</b>: 47
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 47
#publication_year: 2011
#filename: Campylobacter_jejuni_SC_biomart_17684_E__1reps.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
3469722	192222.Cj0265c	1393	29
3469492	192222.Cj0005c	57.8	3
3469506	192222.Cj0019c	509	44
3470081	192222.Cj0637c	35.2	1
3470897	192222.Cj1503c	121	14
3469656	192222.Cj0183	218	6
3470801	192222.Cj1403c	1683	71
3470363	192222.Cj0950c	383	7
3470902	192222.Cj1508c	919	31
3469817	192222.Cj0365c	734	42
3470479	192222.Cj1071	669	12
3470478	192222.Cj1070	4278	42
3470484	192222.Cj1076	39.7	1
3470483	192222.Cj1075	612	7
3469670	192222.Cj0197c	607	10
3470278	192222.Cj0856	53.9	1
3470201	192222.Cj0779	11682	271
3470200	192222.Cj0778	1551	33
3470406	192222.Cj0996	95.1	2
3469955	192222.Cj0508	68.9	6
3470507	192222.Cj1099	10.8	1
3469602	192222.Cj0127c	184	6
3469751	192222.Cj0298c	164	4
3470040	192222.Cj0595c	216	6
3469552	192222.Cj0075c	516	19
3470387	192222.Cj0977	132	2
3470433	192222.Cj1023c	906	35
3470843	192222.Cj1445c	249	11
3470310	192222.Cj0896c	485	44
3470120	192222.Cj0687c	64.0	2
3470481	192222.Cj1073c	475	37
3470675	192222.Cj1269c	264	15
3470696	192222.Cj1291c	1378	14
3470411	192222.Cj1001	128	7
3470057	192222.Cj0612c	3513	55
3470104	192222.Cj0665c	3339	112
3470832	192222.Cj1434c	154	10
3470759	192222.Cj1356c	158	3
3469785	192222.Cj0332c	3563	36
3470404	192222.Cj0994c	661	24
3470670	192222.Cj1264c	650	11
3470005	192222.Cj0559	1880	77
3469863	192222.Cj0411	24.6	2
3469866	192222.Cj0414	973	30
3469867	192222.Cj0415	1910	123
3469532	192222.Cj0053c	344	13
3469997	192222.Cj0551	1002	17
3470004	192222.Cj0558c	56.3	4
3469899	192222.Cj0450c	831	5
3469648	192222.Cj0175c	2033	68
3470000	192222.Cj0554	333	10
3470501	192222.Cj1093c	532	22
3469848	192222.Cj0396c	670	25
3470709	192222.Cj1304	972	3
3470957	192222.Cj1574c	501	10
3470713	192222.Cj1308	264	2
3470335	192222.Cj0922c	603	8
3470456	192222.Cj1046c	407	16
3470193	192222.Cj0771c	1485	27
3470881	192222.Cj1486c	910	2
3471083	192222.Cj1703c	223	3
3470744	192222.Cj1341c	29.2	5
3470185	192222.Cj0763c	57.7	1
3469749	192222.Cj0296c	426	8
3470886	192222.Cj1491c	403	14
3469852	192222.Cj0400	1870	29
3469711	192222.Cj0254	93.9	5
3469713	192222.Cj0256	44.6	2
3470619	192222.Cj1213c	219	15
3470502	192222.Cj1094c	579	5
3470429	192222.Cj1019c	2673	49
3470415	192222.Cj1005c	50.5	4
3469697	192222.Cj0239c	802	32
3470082	192222.Cj0638c	4838	56
3470940	192222.Cj1553c	71.5	4
3471062	192222.Cj1681c	58.1	2
3469666	192222.Cj0193c	7802	299
3469543	192222.Cj0064c	419	24
3470576	192222.Cj1170c	2774	133
3470226	192222.Cj0804	351	16
3470229	192222.Cj0807	963	32
3470228	192222.Cj0806	1101	31
3469627	192222.Cj0152c	559	19
3470225	192222.Cj0803	101	4
3470224	192222.Cj0802	60.1	3
3469692	192222.Cj0234c	4878	16
3471018	192222.Cj1635c	365	8
3469718	192222.Cj0261c	157	4
3470132	192222.Cj0699c	2294	97
3470991	192222.Cj1608	34.8	2
3470992	192222.Cj1609	103	5
3470639	192222.Cj1233	61.5	2
3470641	192222.Cj1235	170	4
3469556	192222.Cj0079c	332	8
3470983	192222.Cj1600	176	4
3470644	192222.Cj1238	316	8
3470985	192222.Cj1602	70.9	2
3470987	192222.Cj1604	232	4
3470990	192222.Cj1607	314	14
3470596	192222.Cj1190c	4333	247
3470076	192222.Cj0632	2900	101
3471079	192222.Cj1699c	1716	7
3469737	192222.Cj0281c	351	11
3469779	192222.Cj0326	790	29
3469780	192222.Cj0327	81.2	1
3470153	192222.Cj0720c	1256	28
3469908	192222.Cj0459c	433	3
3470604	192222.Cj1198	1734	34
3469637	192222.Cj0162c	300	5
3470109	192222.Cj0671	369	8
3470524	192222.Cj1116c	1109	67
3470490	192222.Cj1082c	112	3
3469545	192222.Cj0066c	353	5
3470528	192222.Cj1120c	15.7	1
3470343	192222.Cj0930	239	11
3470307	192222.Cj0893c	1972	100
3469892	192222.Cj0440c	118	5
3471007	192222.Cj1624c	1346	52
3470909	192222.Cj1516	680	39
3469952	192222.Cj0505c	39.5	2
3470366	192222.Cj0953c	163	10
3470911	192222.Cj1518	107	2
3470912	192222.Cj1519	218	10
3470967	192222.Cj1584c	187	11
3470689	192222.Cj1284	61.7	1
3470325	192222.Cj0912c	788	26
3470685	192222.Cj1279c	2441	97
3469516	192222.Cj0029	108	3
3469514	192222.Cj0027	437	24
3470589	192222.Cj1183c	57.9	3
3469511	192222.Cj0024	513	47
3469510	192222.Cj0023	643	31
3470694	192222.Cj1289	558	16
3470548	192222.Cj1140	74.2	2
3470578	192222.Cj1172c	550	10
3470625	192222.Cj1219c	589	58
3470828	192222.Cj1430c	268	5
3470961	192222.Cj1578c	83.2	2
3469789	192222.Cj0336c	538	15
3470196	192222.Cj0774c	335	12
3470469	192222.Cj1059c	788	33
3471086	192222.Cj1706c	1911	29
3471090	192222.Cj1710c	189	12
3470837	192222.Cj1439c	228	10
3470610	192222.Cj1204c	788	6
3470859	192222.Cj1462	37.9	2
3469771	192222.Cj0318	184	14
3471078	192222.Cj1698c	3211	12
3470464	192222.Cj1054c	307	10
3470814	192222.Cj1416c	54.2	2
3470798	192222.Cj1400c	1650	52
3470122	192222.Cj0689	2217	114
3470121	192222.Cj0688	1167	61
3470907	192222.Cj1514c	391	11
3469767	192222.Cj0314	126	4
3470115	192222.Cj0682	250	2
3470114	192222.Cj0681	156	1
3470889	192222.Cj1494c	488	21
3469818	192222.Cj0366c	501	41
3469769	192222.Cj0316	82.4	3
3470516	192222.Cj1108	132	8
3469588	192222.Cj0113	10735	156
3469587	192222.Cj0112	1188	53
3469586	192222.Cj0111	65.5	2
3469893	192222.Cj0441	564	6
3470357	192222.Cj0944c	23.6	1
3469590	192222.Cj0115	4223	83
3469589	192222.Cj0114	2165	58
3470884	192222.Cj1489c	3854	95
3471066	192222.Cj1686c	141	11
3469725	192222.Cj0268c	1240	64
3470220	192222.Cj0798c	42.2	2
3469741	192222.Cj0285c	6133	225
3470768	192222.Cj1365c	4.64	1
3469562	192222.Cj0087	11684	332
3469539	192222.Cj0060c	28.5	1
3469508	192222.Cj0021c	49.0	1
3470901	192222.Cj1507c	531	12
3470996	192222.Cj1613c	616	14
3471028	192222.Cj1645	361	28
3471024	192222.Cj1641	153	9
3470430	192222.Cj1020c	136	3
3471026	192222.Cj1643	223	12
3469680	192222.Cj0207	994	18
3470311	192222.Cj0897c	459	18
3469677	192222.Cj0204	75.4	3
3469703	192222.Cj0246c	250	85
3469816	192222.Cj0364	1496	18
3469812	192222.Cj0360	1102	57
3470186	192222.Cj0764c	205	11
3470850	192222.Cj1453c	61.8	2
3469643	192222.Cj0169	1048	27
3471022	192222.Cj1639	269	2
3469538	192222.Cj0059c	45.6	2
3470841	192222.Cj1443c	27.8	1
3469838	192222.Cj0386	161	8
3469898	192222.Cj0449c	2688	16
3470878	192222.Cj1483c	897	11
3470043	192222.Cj0598	533	22
3469621	192222.Cj0146c	544	16
3469840	192222.Cj0388	159	5
3469841	192222.Cj0389	1795	66
3470628	192222.Cj1222c	2.55	1
3471076	192222.Cj1696c	3299	11
3470535	192222.Cj1127c	129	4
3469548	192222.Cj0069	3769	128
3470654	192222.Cj1248	452	28
3470655	192222.Cj1249	71.4	5
3470142	192222.Cj0709	409	23
3470268	192222.Cj0846	62.3	2
3470135	192222.Cj0702	567	8
3470136	192222.Cj0703	490	10
3470133	192222.Cj0700	565	9
3470134	192222.Cj0701	124	5
3470139	192222.Cj0706	1434	29
3470370	192222.Cj0957c	25.1	1
