#name: A.thaliana - Seed, SC (Baerenfaller,IntegrBiol,2011)
#score: 2.53
#weight: 100%
#description: abundance based on Spectral counting, Spectral counting, from<a href="http://pubs.rsc.org/en/Content/ArticleLanding/2011/IB/c0ib00078g" target="_blank">Baerenfaller, IntegrBiol,2011</a><br/><b>Interaction consistency score</b>: 2.53&nbsp<b>Coverage</b>: 14
#organ: SEED
#integrated: false
#coverage: 14
#publication_year: 2011
#filename: Arabidopsis_seed_Baerenfaller_2011_IntegrBiol.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
116456	3702.AT1G11750.2	56.2	7
138110	3702.AT5G19860.1	346	19
128042	3702.AT3G14040.1	6.11	1
122454	3702.AT2G01730.1	7.22	1
128674	3702.AT3G19760.1	45.3	6
123611	3702.AT2G19900.1	1515	199
132541	3702.AT4G04690.1	5.47	1
128298	3702.AT3G16340.1	6.42	1
122427	3702.AT2G01470.1	78.6	10
122234	3702.AT1G79530.1	44.5	4
127707	3702.AT3G11130.1	17.5	11
131762	3702.AT3G60820.1	582	39
132097	3702.AT4G00260.1	12.5	1
128417	3702.AT3G17440.1	55.5	2
135188	3702.AT4G30810.1	14.5	3
122717	3702.AT2G04410.1	83.4	1
131376	3702.AT3G57010.1	14.9	2
115556	3702.AT1G03360.1	13.8	1
118442	3702.AT1G31730.1	28.8	8
136929	3702.AT5G07990.1	18.0	2
121583	3702.AT1G73190.1	1441	44
127782	3702.AT3G11830.1	253	36
129099	3702.AT3G23620.1	16.1	1
115741	3702.AT1G05150.1	9.48	2
125760	3702.AT2G40030.1	1.71	2
126328	3702.AT2G45290.1	509	93
121500	3702.AT1G72370.1	787	51
138077	3702.AT5G19550.1	697	67
131753	3702.AT3G60730.1	504	82
133806	3702.AT4G18100.1	270	6
121662	3702.AT1G73940.1	20.5	1
134469	3702.AT4G24190.1	384	81
120028	3702.AT1G56580.1	26.1	1
126104	3702.AT2G43210.1	8.11	1
136708	3702.AT5G05870.1	10.7	1
130028	3702.AT3G44300.1	116	12
118244	3702.AT1G29760.1	3.65	1
139789	3702.AT5G42650.1	28.6	5
121693	3702.AT1G74210.1	83.7	11
124131	3702.AT2G24765.1	59.6	4
128673	3702.AT3G19740.1	4.86	1
136444	3702.AT5G03400.1	35.3	1
128785	3702.AT3G20790.1	61.3	8
141255	3702.AT5G55940.1	121	4
135355	3702.AT4G32300.1	4.77	1
115964	3702.AT1G07260.1	18.6	3
132098	3702.AT4G00270.1	14.3	1
118519	3702.AT1G32440.1	11.9	2
