#name: Z.mays - Leaf, Zone1, SC (Facette,PlantCell,2013)
#score: 2.97
#weight: 100%
#description: abundance based on Spectral counting, zone1, from<a href="http://www.ncbi.nlm.nih.gov/pubmed/23933881" target="_blank">Facette,Plant Cell,2013</a><br/><b>Interaction consistency score</b>: 2.97&nbsp<b>Coverage</b>: 14
#organ: LEAF
#integrated: false
#coverage: 14
#publication_year: 2013
#filename: Mays_SC_zone1_rep1234_Facette_2013.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
489691	4577.GRMZM2G025977_P01	1.55	1
562517	4577.GRMZM5G890451_P01	10.5	8
532421	4577.GRMZM2G393039_P01	1.54	3
484948	4577.GRMZM2G004211_P01	13.9	17
501183	4577.GRMZM2G078569_P03	3.43	3
532928	4577.GRMZM2G398506_P02	0.847	5
495187	4577.GRMZM2G051367_P01	73.3	95
508400	4577.GRMZM2G111648_P01	3.63	2
536732	4577.GRMZM2G438840_P01	0.36	18
487460	4577.GRMZM2G015610_P01	2.65	4
536214	4577.GRMZM2G433199_P01	0.434	2
509680	4577.GRMZM2G117360_P01	24.9	11
515331	4577.GRMZM2G143767_P01	26.5	15
493714	4577.GRMZM2G044472_P01	16.8	79
496755	4577.GRMZM2G058479_P01	40.2	11
541167	4577.GRMZM2G484880_P01	31.0	25
517212	4577.GRMZM2G152438_P01	63.1	25
511779	4577.GRMZM2G127101_P01	83.2	141
523400	4577.GRMZM2G180990_P02	107	61
492132	4577.GRMZM2G037272_P02	12.3	163
519906	4577.GRMZM2G164735_P01	7.4	7
518930	4577.GRMZM2G160327_P01	16.5	17
561193	4577.GRMZM5G875864_P06	6.32	7
562304	4577.GRMZM5G888230_P01	12.2	8
506456	4577.GRMZM2G102944_P02	0.566	1
484803	4577.GRMZM2G003595_P01	119	66
500134	4577.GRMZM2G073882_P01	3.26	6
505685	4577.GRMZM2G099355_P01	68.7	731
520090	4577.GRMZM2G165633_P01	0.872	2
503070	4577.GRMZM2G087364_P01	8.45	4
498301	4577.GRMZM2G065430_P01	4.14	10
489399	4577.GRMZM2G024612_P01	6.07	31
484647	4577.GRMZM2G002830_P01	55.2	10
496949	4577.GRMZM2G059363_P01	59.7	87
504439	4577.GRMZM2G093436_P01	0.403	1
516084	4577.GRMZM2G147241_P01	82.6	149
507616	4577.GRMZM2G108138_P02	10.8	10
498690	4577.GRMZM2G067303_P01	136	105
488939	4577.GRMZM2G022359_P01	11.0	8
485782	4577.GRMZM2G007933_P01	7.28	3
486618	4577.GRMZM2G011636_P02	40.7	44
553716	4577.GRMZM2G702080_P01	10.2	7
530937	4577.GRMZM2G377165_P01	28.3	80
516562	4577.GRMZM2G149414_P01	261	57
537624	4577.GRMZM2G448507_P02	4.69	15
514233	4577.GRMZM2G138616_P01	21.8	37
538805	4577.GRMZM2G460638_P01	2.2	17
524118	4577.GRMZM2G305809_P01	1.09	2
496126	4577.GRMZM2G055785_P02	1.07	2
510204	4577.GRMZM2G119894_P01	1.36	32
502763	4577.GRMZM2G085924_P01	8.48	9
508734	4577.GRMZM2G113093_P01	2.43	2
512267	4577.GRMZM2G129415_P01	0.952	1
559463	4577.GRMZM5G856720_P01	4.38	8
530523	4577.GRMZM2G372475_P02	1.93	2
532611	4577.GRMZM2G395279_P01	11.9	97
483440	4577.AC231180.2_FGP006	24.6	14
560142	4577.GRMZM5G864266_P01	47.2	300
506361	4577.GRMZM2G102488_P01	102	20
520265	4577.GRMZM2G166507_P01	11.1	41
492626	4577.GRMZM2G039650_P01	0.487	1
486330	4577.GRMZM2G010342_P01	4.77	15
505135	4577.GRMZM2G096806_P01	68.3	145
514721	4577.GRMZM2G140867_P01	75.7	37
520946	4577.GRMZM2G169648_P01	9.59	14
524389	4577.GRMZM2G308570_P02	3.08	9
522710	4577.GRMZM2G177928_P01	81.9	97
538737	4577.GRMZM2G459874_P02	84.8	23
529691	4577.GRMZM2G363545_P04	3.4	5
513236	4577.GRMZM2G134162_P01	0.038	1
501652	4577.GRMZM2G080725_P01	11.3	11
507610	4577.GRMZM2G108118_P01	2.18	1
521191	4577.GRMZM2G170842_P01	8.86	29
502228	4577.GRMZM2G083374_P01	0.237	1
504651	4577.GRMZM2G094581_P01	49.1	30
510099	4577.GRMZM2G119492_P01	0.799	3
503305	4577.GRMZM2G088396_P01	48.9	28
539102	4577.GRMZM2G463887_P01	4.51	8
536409	4577.GRMZM2G435294_P01	0.683	13
533189	4577.GRMZM2G401050_P01	3.91	8
489381	4577.GRMZM2G024530_P01	0.518	6
506202	4577.GRMZM2G101675_P01	196	622
499848	4577.GRMZM2G072589_P01	3.6	15
523860	4577.GRMZM2G303244_P01	2.0	3
512472	4577.GRMZM2G130477_P01	0.602	1
518564	4577.GRMZM2G158562_P01	11.2	10
499674	4577.GRMZM2G071768_P01	3.65	8
526307	4577.GRMZM2G328035_P01	0.243	2
528401	4577.GRMZM2G350447_P01	29.8	124
513918	4577.GRMZM2G137286_P02	2.74	2
484637	4577.GRMZM2G002807_P01	128	187
519507	4577.GRMZM2G162956_P01	20.3	127
508423	4577.GRMZM2G111760_P01	1.05	2
527291	4577.GRMZM2G338631_P01	1.6	7
538750	4577.GRMZM2G460078_P01	22.9	40
535347	4577.GRMZM2G424053_P02	198	70
500713	4577.GRMZM2G076415_P01	55.6	31
484155	4577.GRMZM2G000610_P01	6.14	6
532164	4577.GRMZM2G390181_P01	0.311	1
502467	4577.GRMZM2G084513_P01	3.63	2
505597	4577.GRMZM2G098973_P01	6.44	10
487039	4577.GRMZM2G013619_P01	317	262
554354	4577.GRMZM2G704370_P01	0.581	1
487817	4577.GRMZM2G017305_P01	8.72	19
511014	4577.GRMZM2G123815_P01	0.747	1
534568	4577.GRMZM2G416142_P02	41.4	99
526564	4577.GRMZM2G330690_P02	21.9	20
501013	4577.GRMZM2G077844_P03	14.0	12
486611	4577.GRMZM2G011620_P01	161	63
532152	4577.GRMZM2G390050_P01	1.41	6
506352	4577.GRMZM2G102447_P02	10.8	18
496070	4577.GRMZM2G055538_P02	40.4	24
515688	4577.GRMZM2G145396_P01	162	21
493454	4577.GRMZM2G043275_P01	13.5	23
548499	4577.GRMZM2G549512_P01	49.1	42
