#name: M.tuberculosis - Whole organism, SC (PeptideAtlas,Feb,2012)
#score: 11.32
#weight: 10%
#description: abundance based on Spectral counting, from<a href="http://www.peptideatlas.org/builds/" target="_blank">PeptideAtlas,Feb,2012</a><br/><b>Interaction consistency score</b>: 11.32&nbsp<b>Coverage</b>: 81
#organ: WHOLE_ORGANISM
#integrated: false
#coverage: 81
#publication_year: 2012
#filename: M.tuberculosis_atlas_build_330.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
3010167	83332.Rv0239	37.5	11
3010166	83332.Rv0238	75.5	59
3011375	83332.Rv1427c	83.3	165
3012899	83332.Rv2928	276	387
3011272	83332.Rv1324	713	855
3011268	83332.Rv1321	30.5	30
3010158	83332.Rv0231	488	1206
3010960	83332.Rv1019	109	85
3010160	83332.Rv0233	22.9	36
3010159	83332.Rv0232	42.0	34
3011269	83332.Rv1322	70.1	17
3010165	83332.Rv0237	539	430
3012316	83332.Rv2352c	2.46	1
3011271	83332.Rv1323	1022	1312
3010630	83332.Rv0693	8.38	9
3010565	83332.Rv0630c	18.7	81
3013517	83332.Rv3534c	157	196
3013237	83332.Rv3256c	128	163
3010819	83332.Rv0878c	1.08	1
3010350	83332.Rv0422c	27.8	30
3011826	83332.Rv1871c	878	393
3010383	83332.Rv0455c	377	275
3010868	83332.Rv0927c	283	226
3010172	83332.Rv0244c	172	564
3013819	83332.Rv3830c	7.22	7
3013200	83332.Rv3221c	48.9	19
3010105	83332.Rv0179c	35.2	50
3013222	83332.Rv3241c	116	121
3011545	83332.Rv1592c	89.7	95
3011200	83332.Rv1254	1.26	2
3011276	83332.Rv1328	679	1802
3012646	83332.Rv2677c	107	135
3011478	83332.Rv1525	2.56	3
3010237	83332.Rv0309	464	181
3010236	83332.Rv0308	155	130
3012552	83332.Rv2585c	47.6	65
3011199	83332.Rv1253	26.7	65
3010142	83332.Rv0215c	40.0	56
3010234	83332.Rv0306	3.32	4
3010229	83332.Rv0301	69.7	49
3010228	83332.Rv0300	114	38
3010231	83332.Rv0303	117	109
3010230	83332.Rv0302	6.76	7
3010051	83332.Rv0125	6571	2194
3010053	83332.Rv0127	153	306
3010052	83332.Rv0126	212	453
3010049	83332.Rv0123	243	103
3010048	83332.Rv0122	4.64	2
3012848	83332.Rv2878c	1296	969
3010054	83332.Rv0128	20.6	9
3012921	83332.Rv2949c	219	204
3009967	83332.Rv0042c	242	180
3013769	83332.Rv3780	407	275
3013770	83332.Rv3781	62.6	83
3013771	83332.Rv3782	45.6	63
3013772	83332.Rv3783	6.86	11
3013773	83332.Rv3784	23.4	27
3013774	83332.Rv3785	6.03	8
3013386	83332.Rv3403c	2.0	6
3013777	83332.Rv3788	891	339
3013486	83332.Rv3503c	372	77
3012590	83332.Rv2621c	3.91	2
3010308	83332.Rv0380c	22.2	19
3011057	83332.Rv1113	386	87
3012926	83332.Rv2954c	91.8	96
3012871	83332.Rv2901c	583	215
3012771	83332.Rv2801c	29.2	13
3011396	83332.Rv1448c	1022	1231
3011629	83332.Rv1675c	7.3	7
3013215	83332.Rv3234c	52.1	50
3010139	83332.Rv0212c	3.96	6
3011228	83332.Rv1282c	4.48	2
3012167	83332.Rv2210c	224	445
3012467	83332.Rv2501c	60.7	137
3013542	83332.Rv3559c	44.4	51
3011740	83332.Rv1784	271	955
3013240	83332.Rv3259	33.7	16
3012179	83332.Rv2221c	59.6	246
3013255	83332.Rv3274c	1159	1688
3010482	83332.Rv0549c	33.0	21
3013235	83332.Rv3254	36.1	57
3012627	83332.Rv2658c	99.8	49
3011046	83332.Rv1102c	3.73	1
3009945	83332.Rv0020c	1122	2012
3012276	83332.Rv2313c	14.8	20
3011456	83332.Rv1505c	37.4	29
3010529	83332.Rv0595c	19.5	13
3012886	83332.Rv2916c	277	505
3012687	83332.Rv2718c	231	109
3013312	83332.Rv3330	43.6	50
3011194	83332.Rv1248c	558	2352
3013279	83332.Rv3298c	42.6	40
3013316	83332.Rv3334	29.5	12
3013319	83332.Rv3337	8.32	5
3013320	83332.Rv3338	20.1	22
3010170	83332.Rv0242c	1207	2329
3013879	83332.Rv3890c	219	55
3012559	83332.Rv2592c	90.5	105
3012864	83332.Rv2894c	27.1	31
3010766	83332.Rv0825c	153	142
3010034	83332.Rv0108c	114	51
3010671	83332.Rv0733	1211	985
3010353	83332.Rv0425c	13.5	56
3011395	83332.Rv1447c	137	262
3012464	83332.Rv2498c	267	269
3012476	83332.Rv2510c	86.2	180
3011218	83332.Rv1272c	5.53	12
3013673	83332.Rv3688c	323	155
3013603	83332.Rv3619c	347	631
3011854	83332.Rv1898	125	46
3011851	83332.Rv1895	5.55	9
3011916	83332.Rv1960c	16.7	5
3011849	83332.Rv1893	918	258
3011847	83332.Rv1891	345	126
3012451	83332.Rv2485c	2.65	4
3011074	83332.Rv1129c	12.9	25
3011477	83332.Rv1524	23.9	47
3011884	83332.Rv1928c	73.0	54
3013907	83332.Rv3918c	86.1	119
3013624	83332.Rv3640c	0.439	1
3011042	83332.Rv1098c	1832	2054
3013512	83332.Rv3529c	15.3	28
3011473	83332.Rv1520	4.31	7
3013592	83332.Rv3608c	60.8	84
3011474	83332.Rv1521	208	588
3013876	83332.Rv3887c	23.2	34
3009936	83332.Rv0011c	367	18
3010490	83332.Rv0557	2.52	2
3010196	83332.Rv0268c	1.13	1
3011205	83332.Rv1259	45.5	54
3011582	83332.Rv1629	150	618
3011347	83332.Rv1399c	89.5	70
3012067	83332.Rv2111c	1496	307
3012705	83332.Rv2736c	3.53	3
3013655	83332.Rv3671c	291	316
3012416	83332.Rv2450c	9.55	2
3012216	83332.Rv2258c	611	612
3013608	83332.Rv3624c	64.4	66
3013793	83332.Rv3804c	5428	4976
3011938	83332.Rv1982c	15.5	5
3012768	83332.Rv2798c	2.65	1
3011277	83332.Rv1329c	12.0	39
3010019	83332.Rv0093c	13.5	14
3011684	83332.Rv1729c	12.2	23
3012433	83332.Rv2467	885	2322
3012115	83332.Rv2159c	3474	4021
3013374	83332.Rv3392c	273	703
3012386	83332.Rv2421c	119	82
3013345	83332.Rv3363c	13.5	8
3012892	83332.Rv2922A	184	98
3012984	83332.Rv3010c	640	551
3013749	83332.Rv3762c	15.4	39
3012218	83332.Rv2260	392	70
3012244	83332.Rv2286c	25.0	18
3012221	83332.Rv2263	78.4	122
3012132	83332.Rv2175c	289	177
3012224	83332.Rv2266	1.01	2
3013476	83332.Rv3493c	154	92
3011753	83332.Rv1798	70.9	172
3013463	83332.Rv3480c	34.7	65
3012569	83332.Rv2601A	22.4	10
3010131	83332.Rv0204c	7.46	5
3011948	83332.Rv1991c	29.0	13
3011746	83332.Rv1790	0.833	2
3011748	83332.Rv1793	504	836
3011750	83332.Rv1795	193	285
3011749	83332.Rv1794	480	597
3011752	83332.Rv1797	137	171
3011751	83332.Rv1796	93.0	158
3012091	83332.Rv2135c	121	116
3012383	83332.Rv2418c	71.2	68
3012003	83332.Rv2046	182	127
3013590	83332.Rv3606c	60.6	38
3013746	83332.Rv3759c	140	88
3011004	83332.Rv1062	26.5	24
3013689	83332.Rv3704c	17.5	20
3011002	83332.Rv1060	126	82
3011915	83332.Rv1959c	25.4	8
3013393	83332.Rv3410c	398	501
3011007	83332.Rv1065	2.98	2
3013284	83332.Rv3303c	180	200
3013650	83332.Rv3666c	45.0	53
3010716	83332.Rv0776c	3.91	5
3012503	83332.Rv2536	674	334
3011619	83332.Rv1665	92.0	164
3011618	83332.Rv1664	6.47	22
3011615	83332.Rv1661	13.6	114
3011614	83332.Rv1660	34.1	63
3011616	83332.Rv1662	1.35	11
3011026	83332.Rv1084	50.1	129
3012822	83332.Rv2852c	92.1	177
3011028	83332.Rv1086	18.0	17
3011025	83332.Rv1083	67.7	27
3011024	83332.Rv1082	122	167
3011031	83332.Rv1088	3.22	1
3011845	83332.Rv1889c	0.198	1
3011435	83332.Rv1486c	46.5	40
3011809	83332.Rv1854c	58.0	93
3012920	83332.Rv2948c	81.3	229
3012968	83332.Rv2995c	678	676
3011798	83332.Rv1843c	955	1777
3013385	83332.Rv3402c	1.15	1
3012955	83332.Rv2982c	189	166
3012981	83332.Rv3007c	33.2	13
3011275	83332.Rv1327c	160	476
3010315	83332.Rv0387c	4.82	1
3013082	83332.Rv3107c	68.6	167
3010875	83332.Rv0934	6616	4993
3010876	83332.Rv0935	2.65	2
3010874	83332.Rv0933	125	145
3011357	83332.Rv1409	283	432
3011356	83332.Rv1408	201	65
3012927	83332.Rv2955c	92.1	144
3010887	83332.Rv0946c	396	803
3011349	83332.Rv1401	6.06	4
3012827	83332.Rv2857c	342	180
3011350	83332.Rv1402	12.3	29
3011352	83332.Rv1404	210	159
3011355	83332.Rv1407	20.2	45
3011354	83332.Rv1406	118	98
3013412	83332.Rv3429	1.32	2
3011265	83332.Rv1318c	17.2	37
3011287	83332.Rv1339	258	273
3011286	83332.Rv1338	84.4	100
3011284	83332.Rv1336	61.9	71
3011283	83332.Rv1335	264	116
3011282	83332.Rv1334	237	134
3011281	83332.Rv1333	104	80
3013363	83332.Rv3381c	39.5	172
3011279	83332.Rv1331	90.9	51
3012659	83332.Rv2690c	13.1	29
3011632	83332.Rv1678	17.8	11
3011274	83332.Rv1326c	203	605
3010957	83332.Rv1016c	38.9	41
3011799	83332.Rv1844c	79.3	128
3010625	83332.Rv0688	414	566
3010618	83332.Rv0681	88.2	55
3010619	83332.Rv0682	889	174
3010620	83332.Rv0683	2660	1286
3010621	83332.Rv0684	961	2624
3010622	83332.Rv0685	6489	11513
3010623	83332.Rv0686	288	269
3010624	83332.Rv0687	97.6	90
3011488	83332.Rv1535	7.31	2
3011188	83332.Rv1242	67.0	49
