#name: H.sapiens - Cell line, HepG2, SC (Geiger,MCP,2012)
#score: 9.24
#weight: 100%
#description: abundance based on Spectral counting, HepG2, from<a href="http://www.mcponline.org/cgi/doi/10.1074/mcp.M111.014050" target="_blank">Geiger,MCP,2012</a><br/><b>Interaction consistency score</b>: 9.24&nbsp<b>Coverage</b>: 15
#organ: CELL_LINE
#integrated: false
#coverage: 15
#publication_year: 2012
#filename: HepG2_Geiger_2012.txt
#
#internal_id	string_external_id	abundance	raw_spectral_count
1853414	9606.ENSP00000349259	336	1836014183
1846508	9606.ENSP00000276646	2.51	9664802
1850907	9606.ENSP00000327255	6.9	13150007
1855881	9606.ENSP00000362409	19.8	26109123
1858464	9606.ENSP00000380336	45.8	26276438
1843719	9606.ENSP00000244519	0.089	482619
1845647	9606.ENSP00000264933	998	350107041
1845646	9606.ENSP00000264932	610	663472813
1845645	9606.ENSP00000264930	2.5	3445966
1851181	9606.ENSP00000329748	5.48	63412011
1842631	9606.ENSP00000216962	148	341825121
1843223	9606.ENSP00000229812	3.37	2482601
1858827	9606.ENSP00000383333	0.682	1490089
1855225	9606.ENSP00000359364	137	129452070
1855226	9606.ENSP00000359368	1.12	1236360
1854982	9606.ENSP00000358224	2136	-1636395621
1843808	9606.ENSP00000246151	4.85	1886240
1843898	9606.ENSP00000248098	292	130958302
1851568	9606.ENSP00000333277	34.2	48998970
1862256	9606.ENSP00000443772	33.0	10449993
1849679	9606.ENSP00000314067	138	79021436
1846700	9606.ENSP00000281038	76.9	53532786
1860801	9606.ENSP00000409612	160	98446590
1849310	9606.ENSP00000310561	0.019	65560
1850377	9606.ENSP00000321711	0.05	115620
1850078	9606.ENSP00000318804	0.304	254089
1842424	9606.ENSP00000205061	11.2	29271418
1852406	9606.ENSP00000341044	4.19	31657309
1861281	9606.ENSP00000417257	1.17	1593740
1858515	9606.ENSP00000380795	315	164350912
1849367	9606.ENSP00000310966	14.1	8006307
1853891	9606.ENSP00000352706	164	197210968
1845052	9606.ENSP00000262056	272	178168037
1850212	9606.ENSP00000320171	2255	-870342352
1842128	9606.ENSP00000005257	195	47726488
1855795	9606.ENSP00000362063	31.4	20053906
1845628	9606.ENSP00000264832	11.4	9145995
1858005	9606.ENSP00000376215	14.6	15088579
1854968	9606.ENSP00000358160	34.2	48998970
1857846	9606.ENSP00000374332	711	485699170
1854969	9606.ENSP00000358162	1221	-138955710
1843254	9606.ENSP00000230449	3.58	9737190
1843228	9606.ENSP00000229922	112	326240240
1854136	9606.ENSP00000354518	1.02	614070
1844184	9606.ENSP00000253003	91.0	24257493
1844185	9606.ENSP00000253004	173	141457702
1861311	9606.ENSP00000417653	99.8	67263716
1853785	9606.ENSP00000351947	5.97	10594896
1847482	9606.ENSP00000294383	2.3	8206840
1853711	9606.ENSP00000351410	52.5	242920359
1842785	9606.ENSP00000220496	0.108	56458
1850194	9606.ENSP00000319977	31.1	15112895
1856128	9606.ENSP00000363621	53.6	37661326
1855566	9606.ENSP00000360939	60.4	40294535
1860141	9606.ENSP00000399168	29.9	70425965
1853374	9606.ENSP00000348933	25.9	10235503
1853016	9606.ENSP00000346120	301	662787475
1859595	9606.ENSP00000391774	8.17	9325047
1844250	9606.ENSP00000253792	625	1389981125
1846831	9606.ENSP00000283109	0.056	64432
1847622	9606.ENSP00000295767	57.1	14187256
1845462	9606.ENSP00000264028	307	329369830
1856813	9606.ENSP00000367343	1.33	2942417
1853222	9606.ENSP00000347836	234	37758292
1844337	9606.ENSP00000254908	16.3	5843604
1861824	9606.ENSP00000430236	11.7	4594899
1857811	9606.ENSP00000373918	606	747152806
1853098	9606.ENSP00000346839	88.2	249179455
1843993	9606.ENSP00000250113	0.235	255100
1852440	9606.ENSP00000341285	1421	2026972513
1859759	9606.ENSP00000393953	69.7	88172705
1855279	9606.ENSP00000359540	0.634	258969
1842512	9606.ENSP00000215832	669	536655041
1852441	9606.ENSP00000341289	2145	-1748875470
1848098	9606.ENSP00000299736	80.0	44441453
1847629	9606.ENSP00000295834	563	181288978
1846135	9606.ENSP00000270176	3.04	2216899
1847414	9606.ENSP00000293406	41.5	8368199
1861595	9606.ENSP00000423563	749	394631474
1852191	9606.ENSP00000339245	3.57	3183709
1843162	9606.ENSP00000228825	269	94963904
1844259	9606.ENSP00000253861	1.79	5095532
1859399	9606.ENSP00000389087	4.82	2650908
1844059	9606.ENSP00000251413	13.9	15778292
1853029	9606.ENSP00000346236	60.3	110805144
1842307	9606.ENSP00000169551	13.4	7020550
1856298	9606.ENSP00000364589	40.0	69441067
1854326	9606.ENSP00000355206	1025	63076026
1846518	9606.ENSP00000276914	550	404680564
1855052	9606.ENSP00000358549	2.01	3650519
1848708	9606.ENSP00000305161	1.16	2401577
1852214	9606.ENSP00000339399	661	408594179
1844926	9606.ENSP00000261503	0.017	61025
1856297	9606.ENSP00000364582	31.9	29017697
1855050	9606.ENSP00000358547	0.589	465360
1844927	9606.ENSP00000261507	741	191372638
1852151	9606.ENSP00000338862	41.4	24945595
1846175	9606.ENSP00000270776	1495	1119845146
1850081	9606.ENSP00000318822	14.2	8266505
1857873	9606.ENSP00000374574	18.1	36637047
1853986	9606.ENSP00000353472	18.8	55734106
1856120	9606.ENSP00000363573	77.4	72868551
1856398	9606.ENSP00000365040	77.3	75125978
1857270	9606.ENSP00000370074	12.5	12970602
1863137	9606.ENSP00000457654	0.336	124890
1862850	9606.ENSP00000453973	2.32	1921299
1843706	9606.ENSP00000244230	20.7	16511937
1856927	9606.ENSP00000368030	7.05	22914011
1863848	9606.ENSP00000464036	7.09	22647781
1859555	9606.ENSP00000391397	86.1	71827016
1855985	9606.ENSP00000362873	39.4	9767209
1860087	9606.ENSP00000398526	9.9	52827869
1861079	9606.ENSP00000414359	344	360993650
1848840	9606.ENSP00000306397	368	198641214
1862728	9606.ENSP00000450909	418	158587913
1848835	9606.ENSP00000306361	209	180399350
1851020	9606.ENSP00000328287	2.32	3076620
1845428	9606.ENSP00000263864	97.5	30776979
1855778	9606.ENSP00000361990	3.16	9636334
1855779	9606.ENSP00000361993	149	36145480
1850781	9606.ENSP00000325905	1566	673348872
1848775	9606.ENSP00000305810	0.732	447960
1844568	9606.ENSP00000258091	301	337730112
1846084	9606.ENSP00000269321	1935	536161447
1857854	9606.ENSP00000374399	65.2	27970979
1845501	9606.ENSP00000264202	293	169926917
1856744	9606.ENSP00000366974	1221	-138955710
1857851	9606.ENSP00000374372	0.946	9940942
1842465	9606.ENSP00000211287	2.33	1009501
1845727	9606.ENSP00000265335	5.22	13485491
1862032	9606.ENSP00000436455	25.2	25909006
1854608	9606.ENSP00000356476	12.0	14447849
1855868	9606.ENSP00000362361	3.22	1733999
1846136	9606.ENSP00000270202	0.23	260089
1847883	9606.ENSP00000297540	11.8	9146053
1849495	9606.ENSP00000312122	537	152326441
1854474	9606.ENSP00000355895	33.1	17961890
1853437	9606.ENSP00000349415	19.1	50960012
1851101	9606.ENSP00000329002	32.1	17004098
1854472	9606.ENSP00000355890	331	1046827955
1848529	9606.ENSP00000303427	11.5	29302691
1847164	9606.ENSP00000289352	1221	-138955710
1848527	9606.ENSP00000303423	15.3	8136501
1849993	9606.ENSP00000317904	7.14	5435639
