#id: 82
#name: A.thaliana - Shoot (Integrated)
#score: 7.49
#weight: 
#description: integrated dataset: weighted average of all A.thaliana SHOOT datasets<br/><b>Interaction consistency score</b>: 7.49&nbsp<b>Coverage</b>: 21
#organ: SHOOT
#integrated : true
#coverage: 21
#publication_year: 2017
#filename: 3702-SHOOT-integrated.txt
#
#internal_id	string_external_id	abundance
132303	3702.AT4G02030.2	18.1
129605	3702.AT3G28200.1	90.4
116638	3702.AT1G13440.1	435
120675	3702.AT1G64500.1	34.3
127857	3702.AT3G12550.1	2.97
116881	3702.AT1G15710.1	13.8
140355	3702.AT5G47690.3	21.8
141288	3702.AT5G56260.1	12.9
134515	3702.AT4G24620.1	271
138066	3702.AT5G19460.1	13.2
131839	3702.AT3G61490.1	2.46
140892	3702.AT5G52650.1	27.5
129439	3702.AT3G26720.1	46.2
121518	3702.AT1G72560.1	2.58
120726	3702.AT1G64980.1	47.1
135374	3702.AT4G32470.1	1217
133611	3702.AT4G16370.1	6.95
118077	3702.AT1G27970.2	213
126634	3702.AT3G01060.1	8.78
128699	3702.AT3G20000.1	148
123097	3702.AT2G14290.1	4.0
126050	3702.AT2G42690.1	27.9
142026	3702.AT5G63180.1	9.8
138654	3702.AT5G25754.1	53.9
142313	3702.AT5G65840.1	67.5
116028	3702.AT1G07830.1	54.6
117912	3702.AT1G26460.1	17.5
135502	3702.AT4G33650.2	8.1
137514	3702.AT5G14260.1	88.4
120993	3702.AT1G67500.2	1.6
125623	3702.AT2G38730.1	9.33
123084	3702.AT2G14120.3	14.9
118657	3702.AT1G34000.1	344
131635	3702.AT3G59540.1	1473
137330	3702.AT5G12110.1	94.7
133644	3702.AT4G16630.1	3.42
127166	3702.AT3G05730.1	941
116238	3702.AT1G09770.1	14.3
120794	3702.AT1G65590.1	80.6
138873	3702.AT5G28020.1	115
139222	3702.AT5G37380.1	11.4
134580	3702.AT4G25240.1	2.54
128773	3702.AT3G20670.1	77.9
142536	3702.ATCG00430.1	179
126994	3702.AT3G04240.1	2.66
134504	3702.AT4G24510.1	54.6
128074	3702.AT3G14310.1	266
120871	3702.AT1G66330.1	18.9
116724	3702.AT1G14250.1	44.5
135762	3702.AT4G36020.1	116
132149	3702.AT4G00710.1	1.23
139539	3702.AT5G40390.1	30.5
136871	3702.AT5G07440.1	220
128527	3702.AT3G18420.1	147
118682	3702.AT1G34220.1	2.21
133316	3702.AT4G14070.1	57.5
123498	3702.AT2G18790.1	5.16
141589	3702.AT5G59030.1	14.7
135384	3702.AT4G32570.1	6.95
131977	3702.AT3G62750.1	10.7
125309	3702.AT2G35820.1	84.3
135698	3702.AT4G35470.1	67.7
142597	3702.ATCG01300.1	262
132359	3702.AT4G02520.1	1979
141491	3702.AT5G58100.1	9.09
118945	3702.AT1G43890.1	55.9
125540	3702.AT2G37970.1	205
117488	3702.AT1G21670.1	79.6
120330	3702.AT1G61250.1	105
130230	3702.AT3G46220.2	9.69
126777	3702.AT3G02260.1	2.64
140201	3702.AT5G46280.1	2.9
133686	3702.AT4G16990.2	4.57
140950	3702.AT5G53170.1	17.3
137259	3702.AT5G11420.1	208
138833	3702.AT5G27650.1	4.27
128373	3702.AT3G17020.1	176
125383	3702.AT2G36530.1	1724
124600	3702.AT2G29320.1	22.3
129318	3702.AT3G25680.1	55.0
122421	3702.AT2G01410.1	14.9
