#id: 444
#name: A.thaliana - Root (Integrated)
#score: 13.5
#weight: 
#description: integrated dataset: weighted average of all A.thaliana ROOT datasets<br/><b>Interaction consistency score</b>: 13.5&nbsp<b>Coverage</b>: 43
#organ: ROOT
#integrated : true
#coverage: 43
#publication_year: 2017
#filename: 3702-ROOT-integrated.txt
#
#internal_id	string_external_id	abundance
117609	3702.AT1G22800.1	1.9
138113	3702.AT5G19880.1	108
127849	3702.AT3G12480.1	33.1
117850	3702.AT1G25375.1	7.93
132715	3702.AT4G08360.1	0.563
117117	3702.AT1G18000.1	1.45
126063	3702.AT2G42820.1	6.57
120675	3702.AT1G64500.1	4.86
119866	3702.AT1G55130.1	5.24
132303	3702.AT4G02030.2	24.5
116881	3702.AT1G15710.1	10.5
140355	3702.AT5G47690.3	69.2
131704	3702.AT3G60260.1	0.481
116522	3702.AT1G12330.1	0.133
124202	3702.AT2G25480.1	5.06
138066	3702.AT5G19460.1	0.533
131839	3702.AT3G61490.1	0.548
140892	3702.AT5G52650.1	16.6
140430	3702.AT5G48400.2	0.227
129517	3702.AT3G27380.1	183
118168	3702.AT1G29020.1	0.143
121518	3702.AT1G72560.1	13.1
120726	3702.AT1G64980.1	41.2
129431	3702.AT3G26640.1	2.35
135374	3702.AT4G32470.1	1555
133611	3702.AT4G16370.1	1.09
140268	3702.AT5G46890.1	21.7
133689	3702.AT4G17020.3	0.439
118077	3702.AT1G27970.2	669
130006	3702.AT3G44110.1	228
117251	3702.AT1G19350.3	0.797
137787	3702.AT5G16890.1	0.956
138654	3702.AT5G25754.1	86.1
142313	3702.AT5G65840.1	16.2
117912	3702.AT1G26460.1	61.3
140965	3702.AT5G53310.1	3.88
142325	3702.AT5G65950.1	29.2
129516	3702.AT3G27360.1	10.4
131389	3702.AT3G57120.1	0.628
134179	3702.AT4G21590.1	8.99
131635	3702.AT3G59540.1	693
137330	3702.AT5G12110.1	146
117909	3702.AT1G26420.1	6.51
139998	3702.AT5G44460.1	28.1
116238	3702.AT1G09770.1	50.3
138873	3702.AT5G28020.1	178
139057	3702.AT5G35570.1	4.67
119571	3702.AT1G52370.1	1.56
134580	3702.AT4G25240.1	54.2
115679	3702.AT1G04590.2	22.9
136740	3702.AT5G06160.1	22.8
126994	3702.AT3G04240.1	0.112
115478	3702.AT1G02640.1	3.0
118049	3702.AT1G27660.1	0.419
120703	3702.AT1G64750.3	69.3
128074	3702.AT3G14310.1	274
125976	3702.AT2G41945.3	29.3
120871	3702.AT1G66330.1	1.18
119356	3702.AT1G50300.1	0.766
117753	3702.AT1G24150.1	0.144
134463	3702.AT4G24140.1	0.472
134966	3702.AT4G28730.1	17.6
133316	3702.AT4G14070.1	5.88
128993	3702.AT3G22690.1	0.144
131977	3702.AT3G62750.1	0.275
125309	3702.AT2G35820.1	8.44
142597	3702.ATCG01300.1	2.57
128969	3702.AT3G22440.1	1.36
134564	3702.AT4G25090.1	8.73
119975	3702.AT1G56090.1	2.84
134238	3702.AT4G22120.1	6.38
125544	3702.AT2G38000.1	6.92
125540	3702.AT2G37970.1	618
117488	3702.AT1G21670.1	10.4
127412	3702.AT3G07980.1	0.216
127005	3702.AT3G04350.1	0.468
138297	3702.AT5G22370.1	0.411
131714	3702.AT3G60330.1	8.9
137755	3702.AT5G16570.1	11.6
138870	3702.AT5G27990.1	19.8
139079	3702.AT5G35735.1	0.331
116710	3702.AT1G14140.1	0.898
127446	3702.AT3G08750.1	0.594
138833	3702.AT5G27650.1	4.69
128373	3702.AT3G17020.1	1196
124600	3702.AT2G29320.1	10.3
139159	3702.AT5G36690.1	0.492
135737	3702.AT4G35790.1	122
135453	3702.AT4G33210.1	0.182
122699	3702.AT2G04190.1	0.485
142495	3702.AT5G67490.1	142
122406	3702.AT2G01260.1	0.723
129495	3702.AT3G27190.1	41.4
119411	3702.AT1G50840.1	2.53
128734	3702.AT3G20330.1	159
135210	3702.AT4G30993.2	1.26
118059	3702.AT1G27750.1	0.452
126991	3702.AT3G04210.1	0.192
123424	3702.AT2G18080.1	4.13
123427	3702.AT2G18110.1	1102
142519	3702.ATCG00140.1	110
118295	3702.AT1G30240.2	2.94
119570	3702.AT1G52360.2	43.3
135555	3702.AT4G34138.1	145
140117	3702.AT5G45500.1	35.1
134933	3702.AT4G28450.1	0.364
131645	3702.AT3G59650.2	37.9
136961	3702.AT5G08290.1	61.6
119463	3702.AT1G51360.1	35.7
140562	3702.AT5G49560.1	0.968
119506	3702.AT1G51760.1	86.6
137076	3702.AT5G09710.1	0.657
134537	3702.AT4G24830.1	434
129404	3702.AT3G26420.1	128
128162	3702.AT3G15120.1	0.917
137593	3702.AT5G15050.1	0.492
119937	3702.AT1G55750.1	0.905
120452	3702.AT1G62390.1	46.5
141809	3702.AT5G61150.1	3.57
139190	3702.AT5G37020.1	0.184
121937	3702.AT1G76690.1	13.9
135204	3702.AT4G30940.1	0.422
139542	3702.AT5G40410.1	5.69
118586	3702.AT1G33140.1	1975
125449	3702.AT2G37080.1	5.3
121728	3702.AT1G74540.1	2.01
141345	3702.AT5G56790.1	0.558
130561	3702.AT3G49400.1	0.38
128949	3702.AT3G22270.1	0.577
129221	3702.AT3G24650.1	0.314
132763	3702.AT4G08870.1	0.251
140249	3702.AT5G46750.1	210
127160	3702.AT3G05690.1	10.9
138589	3702.AT5G25080.1	2.1
134956	3702.AT4G28650.1	0.132
135952	3702.AT4G37840.1	0.181
130711	3702.AT3G50760.1	0.474
129834	3702.AT3G31430.1	9.89
136222	3702.AT5G01270.2	4.44
122129	3702.AT1G78510.1	13.4
120613	3702.AT1G63940.2	1121
117805	3702.AT1G24620.1	1.11
137365	3702.AT5G12440.1	0.142
142062	3702.AT5G63570.1	75.8
136999	3702.AT5G08590.1	26.8
137574	3702.AT5G14880.1	7.3
124180	3702.AT2G25290.1	3.16
125736	3702.AT2G39830.1	9.47
140650	3702.AT5G50370.1	216
134981	3702.AT4G28860.1	1.41
122362	3702.AT1G80810.2	1.91
116371	3702.AT1G10950.1	92.5
136917	3702.AT5G07870.1	10.5
127383	3702.AT3G07690.1	31.7
118071	3702.AT1G27910.1	0.209
122363	3702.AT1G80820.1	0.157
135452	3702.AT4G33200.1	0.723
141759	3702.AT5G60670.1	29.9
124534	3702.AT2G28620.1	0.125
119837	3702.AT1G54820.1	0.569
124353	3702.AT2G26920.1	0.749
117770	3702.AT1G24280.1	40.8
136949	3702.AT5G08170.1	2.02
119970	3702.AT1G56050.1	11.3
136823	3702.AT5G06970.1	35.9
128341	3702.AT3G16730.1	6.53
119075	3702.AT1G47480.1	92.5
140325	3702.AT5G47420.1	25.1
137664	3702.AT5G15740.1	0.153
136357	3702.AT5G02560.2	211
